,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_decay_rate,params_decay_steps,params_ffn_dropout_at_input_no_act,params_ffn_dropout_p,params_ffn_hidden_list,params_initial_lr_rate,params_loss_aggr_type,params_message_aggregator_type,params_num_step_message_passing,params_weight_decay,state
33,33,0.819856916,55:52.5,24:06.8,0 days 01:28:14.339694,25,0.893174079,764,FALSE,0.301065871,"(512, 512)",0.009674021,sum,max,5,1.05E-06,COMPLETE
34,34,0.678151062,00:17.8,08:46.4,0 days 00:08:28.654913,25,0.598382811,764,FALSE,0.274557272,"(392, 392)",0.009800775,sum,sum,5,2.32E-05,PRUNED
35,35,0.653468977,08:46.4,17:45.9,0 days 00:08:59.491009,25,0.614315399,764,FALSE,0.008923029,"(392, 392)",0.008148663,sum,sum,5,2.66E-05,PRUNED
36,36,0.653053438,08:46.4,17:08.6,0 days 00:08:22.181274,25,0.363347205,764,FALSE,0.492575478,"(256, 256)",0.001213858,sum,mean,4,2.22E-05,PRUNED
37,37,0.674497184,10:34.6,19:01.2,0 days 00:08:26.549186,25,0.341881349,764,FALSE,0.497814564,"(256, 256)",0.000956132,sum,mean,4,2.19E-05,PRUNED
38,38,0.655365231,17:02.7,25:59.9,0 days 00:08:57.213846,25,0.377843225,764,FALSE,0.498188265,"(256, 256)",0.000864211,sum,mean,4,1.54E-05,PRUNED
39,39,0.65679267,17:08.6,25:29.3,0 days 00:08:20.694666,25,0.259034618,764,FALSE,0.446572716,"(256, 256)",0.00086321,sum,mean,4,1.44E-05,PRUNED
40,40,0.667094803,17:45.9,26:38.4,0 days 00:08:52.575077,25,0.267907533,384,FALSE,0.433085583,"(256, 256)",0.000799153,sum,mean,4,2.42E-06,PRUNED
41,41,0.666676626,19:01.2,27:33.7,0 days 00:08:32.569160,25,0.236443781,384,FALSE,0.455269317,"(256, 256)",0.000818751,sum,mean,4,2.18E-06,PRUNED
42,42,0.609527855,25:29.3,32:35.1,0 days 00:07:05.748343,32,0.240303646,384,FALSE,0.453834988,"(256, 256)",0.000654938,sum,mean,3,2.15E-06,PRUNED
43,43,0.820108148,25:59.9,02:45.0,0 days 01:36:45.107908,32,0.236618195,384,FALSE,0.314104233,"(512, 512)",0.001356711,sum,mean,3,2.03E-06,COMPLETE
44,44,0.829436784,26:38.5,10:19.8,0 days 01:43:41.312560,32,0.223439697,384,FALSE,0.393209625,"(512, 512)",0.004040918,sum,mean,3,3.94E-05,COMPLETE
45,45,0.840030943,27:33.7,20:44.6,0 days 01:53:10.868126,32,0.479262561,384,FALSE,0.310658366,"(512, 512)",0.003955385,sum,mean,3,3.59E-05,COMPLETE
46,46,0.827193664,32:12.3,02:25.1,0 days 01:30:12.798321,32,0.693804476,96,FALSE,0.124119078,"(392, 392)",0.002977813,sum,max,2,3.80E-05,COMPLETE
47,47,0.814026962,32:35.1,59:03.5,0 days 01:26:28.403965,16,0.748110506,96,FALSE,0.099983889,"(392, 392)",0.001351123,sum,max,2,3.95E-05,COMPLETE
48,48,0.802190297,33:15.9,42:48.3,0 days 01:09:32.390367,16,0.722932945,96,FALSE,0.140255182,"(392, 392)",0.001322691,sum,max,2,6.24E-05,PRUNED
49,49,0.811603508,34:17.6,55:02.7,0 days 01:20:45.077889,16,0.733475721,96,FALSE,0.139086338,"(392, 392)",0.001438173,sum,max,2,4.03E-05,PRUNED
50,50,0.793224151,44:45.0,25:47.4,0 days 00:41:02.473810,25,0.450132796,384,FALSE,0.142844346,"(512, 512)",0.000390109,sum,max,3,4.69E-05,PRUNED
51,51,0.835902735,52:54.1,14:32.5,0 days 01:21:38.359493,16,0.454196422,764,FALSE,0.148581155,"(512, 512)",0.001338435,sum,max,5,4.91E-05,COMPLETE
52,52,0.663442479,00:58.7,18:36.8,0 days 00:17:38.058188,25,0.688263639,384,FALSE,0.120124572,"(512, 512)",0.004157909,sum,max,5,5.68E-05,PRUNED
53,53,0.750608436,10:47.8,28:38.8,0 days 00:17:50.971909,25,0.718658464,764,FALSE,0.125435893,"(392, 392)",0.0042353,sum,max,5,5.37E-05,PRUNED
54,54,0.705160126,15:21.6,32:30.8,0 days 00:17:09.184655,25,0.784380864,764,FALSE,0.132932574,"(512, 512)",0.00399427,sum,max,5,6.14E-05,PRUNED
55,55,0.745176559,16:18.0,34:11.8,0 days 00:17:53.774827,25,0.783593094,764,FALSE,0.146007025,"(512, 512)",0.004340419,sum,max,5,1.71E-06,PRUNED
56,56,0.839463427,18:36.8,08:29.6,0 days 00:49:52.783906,25,0.780960197,764,FALSE,0.147333529,"(512, 512)",0.005610922,sum,max,5,1.61E-06,COMPLETE
57,57,0.753864723,21:17.1,38:08.6,0 days 00:16:51.493132,25,0.770525705,764,FALSE,0.147090968,"(512, 512)",0.005395083,sum,max,5,1.45E-06,PRUNED
58,58,0.753401573,24:06.8,45:43.4,0 days 00:21:36.522314,25,0.776969663,764,FALSE,0.139133777,"(512, 512)",0.005083859,sum,max,5,1.73E-06,PRUNED
59,59,0.854611418,25:47.5,17:50.0,0 days 00:52:02.580338,25,0.777099289,764,FALSE,0.154493949,"(512, 512)",0.005390333,sum,max,5,1.39E-06,COMPLETE
