

C1 3.9619696 0.4978438 0.0253841 0.0095039 0.0011035 0.0001450 0.0000213 0.0000042 0.0000060 0.0000023 0.0000002 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.4706571
C2 0.4978438 3.8722312 0.4862981 0.0240782 0.0060934 0.0014907 0.0001609 0.0000840 0.0000731 0.0000125 0.0000014 0.0000003 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0205157
C3 0.0253841 0.4862981 3.8715122 0.4947832 0.0244476 0.0101530 0.0010233 0.0003410 0.0001998 0.0000534 0.0000042 0.0000013 0.0000003 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0100332
C4 0.0095039 0.0240782 0.4947832 3.8721310 0.4807401 0.0231815 0.0055244 0.0002648 0.0009062 0.0002487 0.0000131 0.0000086 0.0000007 0.0000004 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0042256
C5 0.0011035 0.0060934 0.0244476 0.4807401 3.8763181 0.4976515 0.0219804 0.0028694 0.0070169 0.0013086 0.0000841 0.0000386 0.0000066 0.0000019 0.0000003 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0003912
C6 0.0001450 0.0014907 0.0101530 0.0231815 0.4976515 3.8723209 0.5020253 0.0218299 0.0022367 0.0005050 0.0000618 0.0000139 0.0000027 0.0000004 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0002832
C7 0.0000213 0.0001609 0.0010233 0.0055244 0.0219804 0.5020253 3.8701368 0.5019042 0.0245137 0.0111279 0.0009382 0.0003424 0.0000404 0.0000046 0.0000023 0.0000001 0.0000002 0.0000000 0.0000001 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000341
C8 0.0000042 0.0000840 0.0003410 0.0002648 0.0028694 0.0218299 0.5019042 3.8710981 0.5185029 0.0380248 0.0054449 0.0010126 0.0000976 0.0000281 0.0000064 0.0000004 0.0000003 0.0000001 0.0000001 0.0000003 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000043
C9 0.0000060 0.0000731 0.0001998 0.0009062 0.0070169 0.0022367 0.0245137 0.5185029 3.9561204 0.8658054 0.0360462 0.0124020 0.0017325 0.0002569 0.0000656 0.0000043 0.0000044 0.0000009 0.0000015 0.0000041 0.0000001 0.0000001 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000033
C10 0.0000023 0.0000125 0.0000534 0.0002487 0.0013086 0.0005050 0.0111279 0.0380248 0.8658054 3.9648416 0.5157033 0.0286636 0.0089967 0.0010321 0.0000696 0.0000142 0.0000065 0.0000017 0.0000018 0.0000104 0.0000003 0.0000002 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000015
