

C1 3.9559934 0.5029329 0.0393397 0.0057695 0.0007472 0.0001671 0.0001607 0.0005769 0.0002665 0.0000637 0.0028062 0.0007899 0.0021313 0.0004670 0.0000909 0.0000693 0.0174805 0.0203268 0.4727404
C2 0.5029329 3.8828488 0.8662936 0.0288866 0.0058141 0.0007558 0.0016434 0.0082552 0.0029968 0.0004533 0.0292796 0.0047234 0.0041888 0.0009451 0.0002578 0.0001028 0.0215106 0.4933576 0.0213035
C3 0.0393397 0.8662936 3.9920001 0.4890572 0.0429054 0.0045237 0.0038211 0.0242942 0.0035376 0.0004998 0.0118021 0.0019439 0.0009556 0.0002719 0.0000782 0.0000350 0.0044062 0.0294428 0.0112049
C4 0.0057695 0.0288866 0.4890572 3.5556526 0.3981849 0.0121062 0.0244801 0.4715312 0.0250848 0.0053546 0.0021152 0.0002798 0.0000983 0.0000253 0.0000053 0.0000029 0.0001608 0.0026608 0.0007240
O5 0.0007472 0.0058141 0.0429054 0.3981849 7.8939869 0.4591904 0.1457364 0.0389239 0.0064411 0.0010875 0.0004615 0.0001415 0.0000498 0.0000141 0.0000029 0.0000029 0.0000768 0.0004253 0.0001063
C6 0.0001671 0.0007558 0.0045237 0.0121062 0.4591904 2.9772290 0.7019318 0.0047524 0.0007933 0.0002166 0.0000648 0.0000272 0.0000061 0.0000018 0.0000004 0.0000007 0.0000117 0.0000272 0.0000116
O7 0.0001607 0.0016434 0.0038211 0.0244801 0.1457364 0.7019318 8.0979413 0.0032993 0.0007714 0.0001456 0.0001063 0.0000264 0.0000110 0.0000029 0.0000008 0.0000008 0.0000158 0.0000810 0.0000483
C8 0.0005769 0.0082552 0.0242942 0.4715312 0.0389239 0.0047524 0.0032993 3.8732976 0.4804991 0.0276628 0.0257361 0.0041445 0.0006299 0.0001610 0.0000293 0.0000417 0.0002617 0.0018594 0.0003097
C9 0.0002665 0.0029968 0.0035376 0.0250848 0.0064411 0.0007933 0.0007714 0.4804991 3.8146060 0.4820230 0.4723850 0.0202390 0.0035502 0.0006127 0.0000974 0.0002020 0.0045463 0.0254609 0.0000314
C10 0.0000637 0.0004533 0.0004998 0.0053546 0.0010875 0.0002166 0.0001456 0.0276628 0.4820230 3.9470297 0.0242358 0.0186172 0.0019795 0.0005624 0.0000785 0.0000900 0.0010509 0.0044550 0.0000184
C11 0.0028062 0.0292796 0.0118021 0.0021152 0.0004615 0.0000648 0.0001063 0.0257361 0.4723850 0.0242358 3.8086798 0.4778538 0.0235842 0.0039184 0.0012391 0.0006926 0.0238639 0.4654395 0.0004993
C12 0.0007899 0.0047234 0.0019439 0.0002798 0.0001415 0.0000272 0.0000264 0.0041445 0.0202390 0.0186172 0.4778538 3.8872708 0.4976044 0.0297185 0.0107354 0.0053790 0.0219586 0.0257740 0.0001825
C13 0.0021313 0.0041888 0.0009556 0.0000983 0.0000498 0.0000061 0.0000110 0.0006299 0.0035502 0.0019795 0.0235842 0.4976044 3.9164897 0.8475111 0.0331014 0.0332695 0.4966245 0.0275064 0.0003826
C14 0.0004670 0.0009451 0.0002719 0.0000253 0.0000141 0.0000018 0.0000029 0.0001610 0.0006127 0.0005624 0.0039184 0.0297185 0.8475111 3.8988428 0.5054398 0.5157892 0.0312088 0.0048893 0.0001899
C15 0.0000909 0.0002578 0.0000782 0.0000053 0.0000029 0.0000004 0.0000008 0.0000293 0.0000974 0.0000785 0.0012391 0.0107354 0.0331014 0.5054398 3.9702185 0.0242684 0.0058682 0.0007621 0.0000264
C16 0.0000693 0.0001028 0.0000350 0.0000029 0.0000029 0.0000007 0.0000008 0.0000417 0.0002020 0.0000900 0.0006926 0.0053790 0.0332695 0.5157892 0.0242684 3.9664959 0.0110678 0.0012926 0.0000149
C17 0.0174805 0.0215106 0.0044062 0.0001608 0.0000768 0.0000117 0.0000158 0.0002617 0.0045463 0.0010509 0.0238639 0.0219586 0.4966245 0.0312088 0.0058682 0.0110678 3.8876154 0.4777119 0.0019447
C18 0.0203268 0.4933576 0.0294428 0.0026608 0.0004253 0.0000272 0.0000810 0.0018594 0.0254609 0.0044550 0.4654395 0.0257740 0.0275064 0.0048893 0.0007621 0.0012926 0.4777119 3.8216572 0.0033267
