

C1 3.9504335 0.4821760 0.0289630 0.0271378 0.0053188 0.0008995 0.0016776 0.0012403 0.0118614 0.0230241 0.0039605 0.0009662 0.0001999 0.0000382 0.0000126 0.0000056 0.0000063 0.0000065 0.0000064 0.0000170 0.0000565 0.0004005 0.0001163 0.0013325 0.0001030 0.0000290 0.0000174 0.0001312 0.0005323 0.0006657 0.0001838 0.0001148 0.0001411 0.0154124 0.4636541
C2 0.4821760 3.7539493 0.4698867 0.4835171 0.0231088 0.0042303 0.0021212 0.0043283 0.0235848 0.4777421 0.0232749 0.0043102 0.0006510 0.0001106 0.0000393 0.0000148 0.0000187 0.0000163 0.0000188 0.0000462 0.0001775 0.0017859 0.0005851 0.0040468 0.0005368 0.0000785 0.0000786 0.0000770 0.0001509 0.0001254 0.0000403 0.0000266 0.0000442 0.0222118 0.0189247
C3 0.0289630 0.4698867 3.9393817 0.0231854 0.0168899 0.0015795 0.0005716 0.0010162 0.0042343 0.0280585 0.0114117 0.0011263 0.0000821 0.0000392 0.0000034 0.0000030 0.0000010 0.0000024 0.0000013 0.0000051 0.0000216 0.0016655 0.0005478 0.0008626 0.0000943 0.0000267 0.0000327 0.0000140 0.0000584 0.0000576 0.0000063 0.0000102 0.0000083 0.0055530 0.0060154
C4 0.0271378 0.4835171 0.0231854 3.8656183 0.6799675 0.0346653 0.0452004 0.0338751 0.6722054 0.0276043 0.0091161 0.0009069 0.0000639 0.0000445 0.0000076 0.0000029 0.0000029 0.0000024 0.0000025 0.0000057 0.0000204 0.0014930 0.0004788 0.0008015 0.0000742 0.0000351 0.0000172 0.0000142 0.0000261 0.0000143 0.0000082 0.0000163 0.0000249 0.0048351 0.0041485
C5 0.0053188 0.0231088 0.0168899 0.6799675 3.9565482 0.6840255 0.0355197 0.0505774 0.0377095 0.0054902 0.0029564 0.0003054 0.0000408 0.0000941 0.0000044 0.0000018 0.0000010 0.0000012 0.0000013 0.0000037 0.0000146 0.0004245 0.0001491 0.0003335 0.0000367 0.0000197 0.0000059 0.0000049 0.0000080 0.0000044 0.0000044 0.0000040 0.0000062 0.0011209 0.0003334
C6 0.0008995 0.0042303 0.0015795 0.0346653 0.6840255 3.9589977 0.7027241 0.0381185 0.0527681 0.0008836 0.0003440 0.0000477 0.0000084 0.0000672 0.0000025 0.0000011 0.0000005 0.0000006 0.0000007 0.0000018 0.0000062 0.0000909 0.0000334 0.0000694 0.0000069 0.0000041 0.0000019 0.0000015 0.0000017 0.0000011 0.0000012 0.0000013 0.0000020 0.0002981 0.0003448
C7 0.0016776 0.0021212 0.0005716 0.0452004 0.0355197 0.7027241 3.9525817 0.6919178 0.0366535 0.0019643 0.0005432 0.0000696 0.0000125 0.0000282 0.0000010 0.0000009 0.0000004 0.0000005 0.0000007 0.0000014 0.0000051 0.0002575 0.0000892 0.0001248 0.0000143 0.0000085 0.0000014 0.0000015 0.0000042 0.0000017 0.0000022 0.0000014 0.0000021 0.0004714 0.0002897
C8 0.0012403 0.0043283 0.0010162 0.0338751 0.0505774 0.0381185 0.6919178 3.9573462 0.6986280 0.0010091 0.0004120 0.0000940 0.0000087 0.0000301 0.0000017 0.0000009 0.0000006 0.0000007 0.0000009 0.0000017 0.0000054 0.0000759 0.0000307 0.0000355 0.0000032 0.0000028 0.0000011 0.0000011 0.0000086 0.0000036 0.0000011 0.0000011 0.0000013 0.0002692 0.0011302
C9 0.0118614 0.0235848 0.0042343 0.6722054 0.0377095 0.0527681 0.0366535 0.6986280 3.9533072 0.0090464 0.0023314 0.0003110 0.0000312 0.0000366 0.0000030 0.0000019 0.0000011 0.0000013 0.0000020 0.0000034 0.0000128 0.0004851 0.0001518 0.0002635 0.0000231 0.0000168 0.0000063 0.0000068 0.0000531 0.0000215 0.0000040 0.0000051 0.0000073 0.0022080 0.0106336
C10 0.0230241 0.4777421 0.0280585 0.0276043 0.0054902 0.0008836 0.0019643 0.0010091 0.0090464 3.8635795 0.6710052 0.0347593 0.0052688 0.0010799 0.0001786 0.0001003 0.0000682 0.0000927 0.0000810 0.0002856 0.0009352 0.0389887 0.0111465 0.0325694 0.0039902 0.0007075 0.0006628 0.0011546 0.0008467 0.0002348 0.0000599 0.0001532 0.0002720 0.6756841 0.0020683
