

C1 3.9659940 0.5009963 0.0270510 0.0091959 0.0010127 0.0001991 0.0005497 0.0000490 0.0000102 0.0000024 0.0000098 0.4795169
C2 0.5009963 3.8713295 0.4899825 0.0240932 0.0076464 0.0007316 0.0015071 0.0002283 0.0000303 0.0000102 0.0000147 0.0217478
C3 0.0270510 0.4899825 3.8741263 0.4828503 0.0407087 0.0038182 0.0174230 0.0004834 0.0000701 0.0000193 0.0000674 0.0037478
C4 0.0091959 0.0240932 0.4828503 3.6228078 0.4033477 0.0118304 0.0123590 0.0043678 0.0007082 0.0001285 0.0004298 0.0013600
O5 0.0010127 0.0076464 0.0407087 0.4033477 7.9234102 0.4480840 0.1372569 0.0357336 0.0041380 0.0008164 0.0023838 0.0001970
C6 0.0001991 0.0007316 0.0038182 0.0118304 0.4480840 2.9006963 0.6676466 0.4728721 0.0194680 0.0025579 0.0117399 0.0000547
O7 0.0005497 0.0015071 0.0174230 0.0123590 0.1372569 0.6676466 8.0714842 0.0540068 0.0224085 0.0044401 0.0211824 0.0000855
C8 0.0000490 0.0002283 0.0004834 0.0043678 0.0357336 0.4728721 0.0540068 3.9489478 0.4665249 0.0284793 0.0652621 0.0000081
C9 0.0000102 0.0000303 0.0000701 0.0007082 0.0041380 0.0194680 0.0224085 0.4665249 3.1668337 0.4834028 0.7207985 0.0000020
C10 0.0000024 0.0000102 0.0000193 0.0001285 0.0008164 0.0025579 0.0044401 0.0284793 0.4834028 4.0110182 0.0676020 0.0000006
O11 0.0000098 0.0000147 0.0000674 0.0004298 0.0023838 0.0117399 0.0211824 0.0652621 0.7207985 0.0676020 8.1356468 0.0000031
