

C1 4.0333680 0.4866998 0.0700398 0.0270665 0.0029032 0.0005636 0.0001575 0.0000432 0.0000338 0.0000044 0.0000006 0.0000004 0.0000000 0.0000002 0.4678897
C2 0.4866998 3.2059619 0.7055022 0.4782075 0.0247002 0.0046515 0.0008292 0.0001178 0.0001737 0.0000316 0.0000029 0.0000015 0.0000001 0.0000006 0.0254887
O3 0.0700398 0.7055022 8.1732856 0.0638460 0.0211771 0.0026486 0.0004321 0.0002916 0.0001756 0.0000274 0.0000061 0.0000054 0.0000006 0.0000010 0.0155048
C4 0.0270665 0.4782075 0.0638460 3.9232818 0.4789125 0.0240122 0.0076917 0.0013361 0.0010424 0.0000804 0.0000162 0.0000090 0.0000006 0.0000033 0.0018668
C5 0.0029032 0.0247002 0.0211771 0.4789125 3.8731571 0.4992331 0.0201979 0.0091419 0.0047927 0.0013479 0.0001402 0.0001101 0.0000085 0.0000197 0.0008065
C6 0.0005636 0.0046515 0.0026486 0.0240122 0.4992331 3.8549727 0.4700442 0.0255090 0.0307332 0.0053668 0.0005236 0.0002422 0.0000256 0.0000674 0.0000952
C7 0.0001575 0.0008292 0.0004321 0.0076917 0.0201979 0.4700442 3.8151356 0.4853991 0.4852179 0.0206948 0.0032318 0.0004954 0.0000571 0.0003729 0.0000495
C8 0.0000432 0.0001178 0.0002916 0.0013361 0.0091419 0.0255090 0.4853991 3.9578620 0.0259895 0.0029242 0.0144008 0.0043550 0.0002821 0.0003265 0.0000071
C9 0.0000338 0.0001737 0.0001756 0.0010424 0.0047927 0.0307332 0.4852179 0.0259895 3.8647524 0.5008880 0.0257774 0.0108887 0.0008680 0.0015270 0.0000102
C10 0.0000044 0.0000316 0.0000274 0.0000804 0.0013479 0.0053668 0.0206948 0.0029242 0.5008880 3.8777656 0.5129260 0.0329577 0.0053509 0.0150789 0.0000038
C11 0.0000006 0.0000029 0.0000061 0.0000162 0.0001402 0.0005236 0.0032318 0.0144008 0.0257774 0.5129260 3.9585916 0.8504459 0.0371098 0.0327745 0.0000004
C12 0.0000004 0.0000015 0.0000054 0.0000090 0.0001101 0.0002422 0.0004954 0.0043550 0.0108887 0.0329577 0.8504459 3.8992156 0.5166669 0.5096398 0.0000002
C13 0.0000000 0.0000001 0.0000006 0.0000006 0.0000085 0.0000256 0.0000571 0.0002821 0.0008680 0.0053509 0.0371098 0.5166669 3.9655455 0.0233329 0.0000001
C14 0.0000002 0.0000006 0.0000010 0.0000033 0.0000197 0.0000674 0.0003729 0.0003265 0.0015270 0.0150789 0.0327745 0.5096398 0.0233329 3.9667266 0.0000001
