

C1 3.6486410 0.4388464 0.0147771 0.0129143 0.0011971 0.0006366 0.0000772 0.0000298 0.0000081 0.0000068 0.0000013 0.0000005 0.0000058 0.0000002 0.0000002 0.0000001 0.0000000 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000001 0.0000004 0.0000006 0.0010588 0.0043404 0.0008951 0.4559036
O2 0.4388464 7.8971045 0.4558963 0.0535328 0.0076149 0.0109277 0.0006817 0.0007263 0.0001933 0.0001242 0.0000281 0.0000064 0.0000272 0.0000015 0.0000036 0.0000015 0.0000001 0.0000002 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000001 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000001 0.0000022 0.0000085 0.0000062 0.0060291 0.0441869 0.0222243 0.0391131
C3 0.0147771 0.4558963 3.5481699 0.6557458 0.0356138 0.0392975 0.0021446 0.0023189 0.0005460 0.0003345 0.0000818 0.0000128 0.0000829 0.0000028 0.0000068 0.0000029 0.0000002 0.0000002 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000001 0.0000053 0.0000204 0.0000156 0.0313456 0.6306037 0.0474305 0.0032220
C4 0.0129143 0.0535328 0.6557458 3.9461654 0.7002604 0.0340477 0.0043955 0.0009623 0.0001926 0.0001344 0.0000384 0.0000122 0.0001018 0.0000016 0.0000038 0.0000016 0.0000001 0.0000002 0.0000000 0.0000000 0.0000001 0.0000000 0.0000001 0.0000000 0.0000001 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000001 0.0000021 0.0000087 0.0000071 0.0454810 0.0346941 0.0067583 0.0089791
C5 0.0011971 0.0076149 0.0356138 0.7002604 3.9401762 0.6681416 0.0267051 0.0084560 0.0014065 0.0007333 0.0002573 0.0000492 0.0002559 0.0000075 0.0000165 0.0000069 0.0000004 0.0000005 0.0000001 0.0000001 0.0000001 0.0000000 0.0000001 0.0000001 0.0000001 0.0000003 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000001 0.0000000 0.0000002 0.0000129 0.0000535 0.0000319 0.0378047 0.0447347 0.0122600 0.0007769
C6 0.0006366 0.0109277 0.0392975 0.0340477 0.6681416 3.8654147 0.4995978 0.0307755 0.0055145 0.0024621 0.0005830 0.0001177 0.0007125 0.0000161 0.0000350 0.0000158 0.0000007 0.0000008 0.0000001 0.0000000 0.0000001 0.0000000 0.0000000 0.0000001 0.0000001 0.0000006 0.0000002 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000002 0.0000298 0.0001152 0.0000776 0.6815391 0.0340393 0.0085685 0.0008146
C7 0.0000772 0.0006817 0.0021446 0.0043955 0.0267051 0.4995978 3.8677275 0.4767383 0.0281174 0.0157258 0.0030841 0.0008251 0.0068530 0.0001558 0.0002380 0.0001082 0.0000030 0.0000050 0.0000007 0.0000002 0.0000001 0.0000001 0.0000001 0.0000006 0.0000002 0.0000034 0.0000013 0.0000001 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000004 0.0001006 0.0004752 0.0004266 0.0253815 0.0045187 0.0010509 0.0000606
C8 0.0000298 0.0007263 0.0023189 0.0009623 0.0084560 0.0307755 0.4767383 3.8945700 0.4886163 0.0579875 0.0219907 0.0022077 0.0222960 0.0002808 0.0002842 0.0001056 0.0000114 0.0000068 0.0000008 0.0000003 0.0000001 0.0000001 0.0000001 0.0000008 0.0000003 0.0000034 0.0000012 0.0000001 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000016 0.0006393 0.0031019 0.0010659 0.0077779 0.0009474 0.0001879 0.0000471
C9 0.0000081 0.0001933 0.0005460 0.0001926 0.0014065 0.0055145 0.0281174 0.4886163 3.3062147 0.7123859 0.5261717 0.0247144 0.0080468 0.0050321 0.0037785 0.0016949 0.0000710 0.0000822 0.0000104 0.0000037 0.0000009 0.0000008 0.0000003 0.0000083 0.0000022 0.0000475 0.0000189 0.0000008 0.0000013 0.0000003 0.0000001 0.0000000 0.0000001 0.0000001 0.0000001 0.0000002 0.0000033 0.0040320 0.0247828 0.0096374 0.0012620 0.0001983 0.0000426 0.0000128
O10 0.0000068 0.0001242 0.0003345 0.0001344 0.0007333 0.0024621 0.0157258 0.0579875 0.7123859 7.9570924 0.0642307 0.0203652 0.0044559 0.0034461 0.0087677 0.0032876 0.0000732 0.0001501 0.0000215 0.0000073 0.0000026 0.0000013 0.0000007 0.0000129 0.0000033 0.0000831 0.0000324 0.0000021 0.0000024 0.0000006 0.0000001 0.0000001 0.0000002 0.0000001 0.0000005 0.0000005 0.0000116 0.0018368 0.0214001 0.0716440 0.0008648 0.0001732 0.0000515 0.0000088
C11 0.0000013 0.0000281 0.0000818 0.0000384 0.0002573 0.0005830 0.0030841 0.0219907 0.5261717 0.0642307 3.8834975 0.6354349 0.0468257 0.0300408 0.0307527 0.0087042 0.0003007 0.0003773 0.0000520 0.0000159 0.0000034 0.0000027 0.0000010 0.0000283 0.0000075 0.0002007 0.0000660 0.0000049 0.0000044 0.0000013 0.0000002 0.0000001 0.0000002 0.0000002 0.0000003 0.0000007 0.0000220 0.0281969 0.6183796 0.0429868 0.0001472 0.0000292 0.0000082 0.0000021
C12 0.0000005 0.0000064 0.0000128 0.0000122 0.0000492 0.0001177 0.0008251 0.0022077 0.0247144 0.0203652 0.6354349 3.5553732 0.4561435 0.6679721 0.0347346 0.0076050 0.0008799 0.0003102 0.0000476 0.0000154 0.0000038 0.0000031 0.0000015 0.0000259 0.0000065 0.0001740 0.0000609 0.0000042 0.0000044 0.0000010 0.0000001 0.0000001 0.0000001 0.0000002 0.0000003 0.0000010 0.0000428 0.0365811 0.0360523 0.0060587 0.0000688 0.0000146 0.0000043 0.0000006
