

C1 4.0204156 0.4921346 0.0657365 0.0267881 0.0039941 0.0029770 0.0005531 0.0001186 0.0000683 0.0000950 0.0009971 0.0000549 0.0000507 0.0000661 0.0000063 0.0005612 0.0001572 0.0000786 0.0001076 0.0044270 0.0034907 0.4629473
C2 0.4921346 3.2518465 0.7293381 0.4728556 0.0233917 0.0105884 0.0038328 0.0007949 0.0003855 0.0004411 0.0016253 0.0001028 0.0000907 0.0001003 0.0000128 0.0038930 0.0008274 0.0004027 0.0003952 0.0249284 0.0110444 0.0244382
O3 0.0657365 0.7293381 8.0421129 0.0590351 0.0126248 0.0097550 0.0015486 0.0006347 0.0004733 0.0003340 0.0024419 0.0001414 0.0001569 0.0001493 0.0000136 0.0015864 0.0005186 0.0003592 0.0003532 0.0132517 0.0086394 0.0155717
C4 0.0267881 0.4728556 0.0590351 3.8721864 0.6604645 0.0248086 0.0335639 0.0045579 0.0021009 0.0019031 0.0373376 0.0019565 0.0018395 0.0020718 0.0001624 0.0349355 0.0046818 0.0018641 0.0019993 0.6741331 0.0249687 0.0016465
C5 0.0039941 0.0233917 0.0126248 0.6604645 3.8449899 0.5062223 0.6438824 0.0397752 0.0168384 0.0126656 0.0264547 0.0033844 0.0005953 0.0007070 0.0008490 0.0404474 0.0032604 0.0031106 0.0032739 0.0342304 0.0044412 0.0004213
C6 0.0029770 0.0105884 0.0097550 0.0248086 0.5062223 3.9972458 0.0236827 0.0139768 0.0119236 0.0040346 0.0035853 0.0006168 0.0001163 0.0000633 0.0002163 0.0023392 0.0002133 0.0001914 0.0002144 0.0045665 0.0007298 0.0004362
C7 0.0005531 0.0038328 0.0015486 0.0335639 0.6438824 0.0236827 3.6839674 0.4165935 0.0418054 0.0361892 0.6257480 0.0226862 0.0080029 0.0083454 0.0047239 0.0387891 0.0048498 0.0014711 0.0016985 0.0432893 0.0027091 0.0000606
N8 0.0001186 0.0007949 0.0006347 0.0045579 0.0397752 0.0139768 0.4165935 4.6690953 0.8241391 0.7809180 0.0301150 0.0065786 0.0129306 0.0047710 0.0006183 0.0042853 0.0008407 0.0002818 0.0004185 0.0037156 0.0002694 0.0000172
O9 0.0000683 0.0003855 0.0004733 0.0021009 0.0168384 0.0119236 0.0418054 0.8241391 7.1945583 0.2251064 0.0122043 0.0013048 0.0137400 0.0016114 0.0002507 0.0016277 0.0004193 0.0002151 0.0002183 0.0039860 0.0002768 0.0000122
O10 0.0000950 0.0004411 0.0003340 0.0019031 0.0126656 0.0040346 0.0361892 0.7809180 0.2251064 7.2510775 0.0092253 0.0026556 0.0044051 0.0236233 0.0004651 0.0014207 0.0003045 0.0000635 0.0002791 0.0032342 0.0002248 0.0000173
C11 0.0009971 0.0016253 0.0024419 0.0373376 0.0264547 0.0035853 0.6257480 0.0301150 0.0122043 0.0092253 3.8111448 0.4969789 0.0277661 0.0288361 0.0224513 0.6630121 0.0332469 0.0118558 0.0116973 0.0262932 0.0036742 0.0000924
C12 0.0000549 0.0001028 0.0001414 0.0019565 0.0033844 0.0006168 0.0226862 0.0065786 0.0013048 0.0026556 0.4969789 3.7636456 0.4651904 0.4726117 0.4779779 0.0210152 0.0043988 0.0017876 0.0009382 0.0033116 0.0006406 0.0000076
C13 0.0000507 0.0000907 0.0001569 0.0018395 0.0005953 0.0001163 0.0080029 0.0129306 0.0137400 0.0044051 0.0277661 0.4651904 3.9750684 0.0259175 0.0314484 0.0060797 0.0005562 0.0004707 0.0005204 0.0006781 0.0001205 0.0000052
C14 0.0000661 0.0001003 0.0001493 0.0020718 0.0007070 0.0000633 0.0083454 0.0047710 0.0016114 0.0236233 0.0288361 0.4726117 0.0259175 3.9576171 0.0305604 0.0063255 0.0005529 0.0006187 0.0005536 0.0007184 0.0000953 0.0000052
C15 0.0000063 0.0000128 0.0000136 0.0001624 0.0008490 0.0002163 0.0047239 0.0006183 0.0002507 0.0004651 0.0224513 0.4779779 0.0314484 0.0305604 3.9516162 0.0044082 0.0157780 0.0202782 0.0073212 0.0002347 0.0001044 0.0000011
C16 0.0005612 0.0038930 0.0015864 0.0349355 0.0404474 0.0023392 0.0387891 0.0042853 0.0016277 0.0014207 0.6630121 0.0210152 0.0060797 0.0063255 0.0044082 3.6920515 0.4117873 0.0412156 0.0411055 0.6271859 0.0236126 0.0001448
N17 0.0001572 0.0008274 0.0005186 0.0046818 0.0032604 0.0002133 0.0048498 0.0008407 0.0004193 0.0003045 0.0332469 0.0043988 0.0005562 0.0005529 0.0157780 0.4117873 4.6184249 0.8577283 0.7574454 0.0361632 0.0127472 0.0000372
O18 0.0000786 0.0004027 0.0003592 0.0018641 0.0031106 0.0001914 0.0014711 0.0002818 0.0002151 0.0000635 0.0118558 0.0017876 0.0004707 0.0006187 0.0202782 0.0412156 0.8577283 7.1781079 0.2220235 0.0121998 0.0038284 0.0000224
O19 0.0001076 0.0003952 0.0003532 0.0019993 0.0032739 0.0002144 0.0016985 0.0004185 0.0002183 0.0002791 0.0116973 0.0009382 0.0005204 0.0005536 0.0073212 0.0411055 0.7574454 0.2220235 7.3217709 0.0131723 0.0113300 0.0000319
C20 0.0044270 0.0249284 0.0132517 0.6741331 0.0342304 0.0045665 0.0432893 0.0037156 0.0039860 0.0032342 0.0262932 0.0033116 0.0006781 0.0007184 0.0002347 0.6271859 0.0361632 0.0121998 0.0131723 3.8404270 0.5099497 0.0005823
