

C1 3.9901893 0.4880877 0.0537662 0.0346376 0.0040716 0.0006313 0.0001656 0.0001154 0.0001643 0.0000296 0.0006324 0.4733742
C2 0.4880877 2.9726288 0.6957393 0.4362763 0.0109863 0.0050683 0.0006406 0.0014744 0.0006430 0.0001031 0.0051460 0.0223103
O3 0.0537662 0.6957393 8.0593307 0.1387734 0.0242844 0.0084335 0.0011646 0.0010194 0.0011435 0.0001156 0.0086651 0.0118032
O4 0.0346376 0.4362763 0.1387734 7.9161024 0.4150935 0.0470553 0.0064164 0.0072700 0.0064350 0.0008155 0.0482547 0.0039919
C5 0.0040716 0.0109863 0.0242844 0.4150935 3.5709358 0.6651670 0.0356302 0.0470318 0.0343227 0.0045426 0.6642886 0.0002051
C6 0.0006313 0.0050683 0.0084335 0.0470553 0.6651670 3.9335863 0.6952630 0.0362721 0.0469002 0.0028320 0.0342993 0.0001089
C7 0.0001656 0.0006406 0.0011646 0.0064164 0.0356302 0.6952630 3.9457643 0.6951276 0.0362810 0.0053552 0.0487616 0.0000214
C8 0.0001154 0.0014744 0.0010194 0.0072700 0.0470318 0.0362721 0.6951276 3.9595237 0.6761284 0.0303750 0.0357238 0.0000209
C9 0.0001643 0.0006430 0.0011435 0.0064350 0.0343227 0.0469002 0.0362810 0.6761284 3.8610634 0.5131775 0.6813152 0.0000172
C10 0.0000296 0.0001031 0.0001156 0.0008155 0.0045426 0.0028320 0.0053552 0.0303750 0.5131775 3.9698812 0.0277705 0.0000037
C11 0.0006324 0.0051460 0.0086651 0.0482547 0.6642886 0.0342993 0.0487616 0.0357238 0.6813152 0.0277705 3.9324761 0.0001213
