

C1 3.9600991 0.4868518 0.0263675 0.0042116 0.0010735 0.0002175 0.0001715 0.0000475 0.0000176 0.0000016 0.0000126 0.0000037 0.0000258 0.0000098 0.0003416 0.0015874 0.0004474 0.0045715 0.0245405 0.4754440
C2 0.4868518 3.8058206 0.4849099 0.0223763 0.0056405 0.0007722 0.0007036 0.0001766 0.0000452 0.0000039 0.0000274 0.0000111 0.0000679 0.0000258 0.0040594 0.0197864 0.0052344 0.0016979 0.4884096 0.0215921
C3 0.0263675 0.4849099 3.8862716 0.4641496 0.0457258 0.0047364 0.0031116 0.0006117 0.0002682 0.0000220 0.0001660 0.0000443 0.0003542 0.0001348 0.0248380 0.0061696 0.0007809 0.0006467 0.0203134 0.0055294
C4 0.0042116 0.0223763 0.4641496 3.5379591 0.4003214 0.0112716 0.0242653 0.0034046 0.0007216 0.0000570 0.0001350 0.0001371 0.0007028 0.0002710 0.4749191 0.0221443 0.0023243 0.0029110 0.0168632 0.0007001
O5 0.0010735 0.0056405 0.0457258 0.4003214 7.8845074 0.4300790 0.1347666 0.0353118 0.0184741 0.0015654 0.0023021 0.0013024 0.0068985 0.0028240 0.0379760 0.0057595 0.0004859 0.0008312 0.0019485 0.0000730
C6 0.0002175 0.0007722 0.0047364 0.0112716 0.4300790 2.9276826 0.6377518 0.5148460 0.0283938 0.0053873 0.0054632 0.0039339 0.0291564 0.0100223 0.0041417 0.0006668 0.0000932 0.0001317 0.0001407 0.0000129
O7 0.0001715 0.0007036 0.0031116 0.0242653 0.1347666 0.6377518 8.1388122 0.0501860 0.0148501 0.0029432 0.0067371 0.0011435 0.0151724 0.0419558 0.0028041 0.0005628 0.0001522 0.0001423 0.0002877 0.0000225
C8 0.0000475 0.0001766 0.0006117 0.0034046 0.0353118 0.5148460 0.0501860 3.8825823 0.6380895 0.0345355 0.0383094 0.0300608 0.6534595 0.0565587 0.0005772 0.0001947 0.0000156 0.0000377 0.0000300 0.0000027
C9 0.0000176 0.0000452 0.0002682 0.0007216 0.0184741 0.0283938 0.0148501 0.6380895 3.9526457 0.7238946 0.0404377 0.0529809 0.0333877 0.0084678 0.0002219 0.0000372 0.0000056 0.0000104 0.0000196 0.0000015
C10 0.0000016 0.0000039 0.0000220 0.0000570 0.0015654 0.0053873 0.0029432 0.0345355 0.7238946 3.9511410 0.6719758 0.0350185 0.0381080 0.0120352 0.0000183 0.0000029 0.0000007 0.0000009 0.0000020 0.0000002
C11 0.0000126 0.0000274 0.0001660 0.0001350 0.0023021 0.0054632 0.0067371 0.0383094 0.0404377 0.6719758 3.9413628 0.7216164 0.0390941 0.0093112 0.0001407 0.0000194 0.0000037 0.0000066 0.0000051 0.0000008
C12 0.0000037 0.0000111 0.0000443 0.0001371 0.0013024 0.0039339 0.0011435 0.0300608 0.0529809 0.0350185 0.7216164 3.9432288 0.6275322 0.0573304 0.0000413 0.0000114 0.0000014 0.0000025 0.0000018 0.0000004
C13 0.0000258 0.0000679 0.0003542 0.0007028 0.0068985 0.0291564 0.0151724 0.6534595 0.0333877 0.0381080 0.0390941 0.6275322 3.5118205 0.4686914 0.0003099 0.0000589 0.0000083 0.0000151 0.0000098 0.0000015
O14 0.0000098 0.0000258 0.0001348 0.0002710 0.0028240 0.0100223 0.0419558 0.0565587 0.0084678 0.0120352 0.0093112 0.0573304 0.4686914 8.1850544 0.0001174 0.0000198 0.0000035 0.0000062 0.0000044 0.0000041
C15 0.0003416 0.0040594 0.0248380 0.4749191 0.0379760 0.0041417 0.0028041 0.0005772 0.0002219 0.0000183 0.0001407 0.0000413 0.0003099 0.0001174 3.8828331 0.4722003 0.0276255 0.0244371 0.0188919 0.0000926
C16 0.0015874 0.0197864 0.0061696 0.0221443 0.0057595 0.0006668 0.0005628 0.0001947 0.0000372 0.0000029 0.0000194 0.0000114 0.0000589 0.0000198 0.4722003 3.7713401 0.4707100 0.4791521 0.4769786 0.0003314
C17 0.0004474 0.0052344 0.0007809 0.0023243 0.0004859 0.0000932 0.0001522 0.0000156 0.0000056 0.0000007 0.0000037 0.0000014 0.0000083 0.0000035 0.0276255 0.4707100 3.9454438 0.0297215 0.0293290 0.0001807
C18 0.0045715 0.0016979 0.0006467 0.0029110 0.0008312 0.0001317 0.0001423 0.0000377 0.0000104 0.0000009 0.0000066 0.0000025 0.0000151 0.0000062 0.0244371 0.4791521 0.0297215 3.9635402 0.0245494 0.0005053
C19 0.0245405 0.4884096 0.0203134 0.0168632 0.0019485 0.0001407 0.0002877 0.0000300 0.0000196 0.0000020 0.0000051 0.0000018 0.0000098 0.0000044 0.0188919 0.4769786 0.0293290 0.0245494 3.8714199 0.0060366
