

C1 3.9647694 0.5057875 0.0275212 0.0044748 0.0034221 0.0006543 0.0002072 0.0000191 0.0001295 0.0000699 0.4752853
C2 0.5057875 3.8578478 0.4822816 0.0188025 0.0299470 0.0040266 0.0008671 0.0000768 0.0009692 0.0010442 0.0204190
C3 0.0275212 0.4822816 3.9269645 0.4831101 0.0589678 0.0244747 0.0038265 0.0003315 0.0110061 0.0092566 0.0088742
C4 0.0044748 0.0188025 0.4831101 3.2341246 0.7057223 0.4817545 0.0173398 0.0031634 0.0455796 0.0016854 0.0006460
O5 0.0034221 0.0299470 0.0589678 0.7057223 8.0555936 0.0573576 0.0185604 0.0200318 0.0242762 0.0010971 0.0009100
C6 0.0006543 0.0040266 0.0244747 0.4817545 0.0573576 3.9381457 0.4875470 0.0239271 0.5198759 0.0193496 0.0001090
C7 0.0002072 0.0008671 0.0038265 0.0173398 0.0185604 0.4875470 3.8582031 0.5016905 0.0386470 0.0058517 0.0000216
C8 0.0000191 0.0000768 0.0003315 0.0031634 0.0200318 0.0239271 0.5016905 3.9578108 0.0083701 0.0020208 0.0000041
S9 0.0001295 0.0009692 0.0110061 0.0455796 0.0242762 0.5198759 0.0386470 0.0083701 14.6278031 0.5561015 0.0002106
C10 0.0000699 0.0010442 0.0092566 0.0016854 0.0010971 0.0193496 0.0058517 0.0020208 0.5561015 4.0865443 0.0001556
