

C1 3.9720032 0.5150061 0.0332587 0.0162331 0.0056388 0.0013203 0.0003397 0.0008281 0.0000551 0.0000064 0.0000142 0.0000010 0.4706715
C2 0.5150061 3.9136657 0.8643271 0.0333644 0.0313285 0.0143625 0.0039467 0.0175363 0.0005250 0.0000671 0.0002075 0.0000147 0.0214961
C3 0.0332587 0.8643271 3.8866066 0.5086101 0.4964528 0.0352121 0.0028903 0.0134829 0.0004440 0.0001194 0.0004447 0.0000356 0.0118053
C4 0.0162331 0.0333644 0.5086101 3.9829362 0.0245612 0.0060449 0.0004572 0.0008114 0.0001613 0.0000339 0.0000856 0.0000110 0.0036425
C5 0.0056388 0.0313285 0.4964528 0.0245612 3.6057928 0.4124500 0.0116513 0.0146014 0.0041432 0.0004665 0.0008939 0.0002206 0.0008152
O6 0.0013203 0.0143625 0.0352121 0.0060449 0.4124500 7.8899062 0.4320750 0.1321348 0.0324778 0.0135955 0.0100435 0.0012594 0.0002430
C7 0.0003397 0.0039467 0.0028903 0.0004572 0.0116513 0.4320750 2.9480647 0.6632358 0.4996742 0.0201963 0.0414409 0.0059543 0.0000362
O8 0.0008281 0.0175363 0.0134829 0.0008114 0.0146014 0.1321348 0.6632358 8.0892591 0.0535966 0.0068005 0.0436241 0.0030415 0.0001955
C9 0.0000551 0.0005250 0.0004440 0.0001613 0.0041432 0.0324778 0.4996742 0.0535966 3.8911006 0.5099664 0.8405416 0.0338251 0.0000098
C10 0.0000064 0.0000671 0.0001194 0.0000339 0.0004665 0.0135955 0.0201963 0.0068005 0.5099664 3.9724820 0.0317405 0.0168000 0.0000030
C11 0.0000142 0.0002075 0.0004447 0.0000856 0.0008939 0.0100435 0.0414409 0.0436241 0.8405416 0.0317405 3.9186036 0.5242107 0.0000063
C12 0.0000010 0.0000147 0.0000356 0.0000110 0.0002206 0.0012594 0.0059543 0.0030415 0.0338251 0.0168000 0.5242107 3.9816412 0.0000005
