

C1 4.0400470 0.9072785 0.0361083 0.0112608 0.0018117 0.0125655 0.0011880 0.0001220 0.0000192 0.0000102 0.0000988 0.0000412 0.0005091 0.0000647 0.0001187 0.4891024
C2 0.9072785 3.9410635 0.5068531 0.0207246 0.0111185 0.0254795 0.0041117 0.0007369 0.0000379 0.0000224 0.0002064 0.0001176 0.0010652 0.0000878 0.0001641 0.0320202
C3 0.0361083 0.5068531 3.8782697 0.4467652 0.0267302 0.0506997 0.0234350 0.0076206 0.0004625 0.0001606 0.0007443 0.0007326 0.0047872 0.0003501 0.0005045 0.0067882
C4 0.0112608 0.0207246 0.4467652 3.4457457 0.4667487 0.4212526 0.4683590 0.0186237 0.0041289 0.0003321 0.0031246 0.0012947 0.0183381 0.0015944 0.0062423 0.0010636
C5 0.0018117 0.0111185 0.0267302 0.4667487 3.9750127 0.0491895 0.0219267 0.0048698 0.0006451 0.0000801 0.0005013 0.0003154 0.0052229 0.0036235 0.0080957 0.0000959
O6 0.0125655 0.0254795 0.0506997 0.4212526 0.0491895 8.0221313 0.0316292 0.0061004 0.0008697 0.0003165 0.0007157 0.0057071 0.0028852 0.0005857 0.0181825 0.0004000
C7 0.0011880 0.0041117 0.0234350 0.4683590 0.0219267 0.0316292 3.8160927 0.4762157 0.0244875 0.0038048 0.0215417 0.0258537 0.4682970 0.0240065 0.0189147 0.0002205
C8 0.0001220 0.0007369 0.0076206 0.0186237 0.0048698 0.0061004 0.4762157 3.8257156 0.4741938 0.0224733 0.0306097 0.4677137 0.0207534 0.0026634 0.0016917 0.0000106
C9 0.0000192 0.0000379 0.0004625 0.0041289 0.0006451 0.0008697 0.0244875 0.4741938 3.8949438 0.4772712 0.0228277 0.0304183 0.0028472 0.0010007 0.0006203 0.0000017
C10 0.0000102 0.0000224 0.0001606 0.0003321 0.0000801 0.0003165 0.0038048 0.0224733 0.4772712 3.8841739 0.4855194 0.0293285 0.0196564 0.0121402 0.0042428 0.0000012
C11 0.0000988 0.0002064 0.0007443 0.0031246 0.0005013 0.0007157 0.0215417 0.0306097 0.0228277 0.4855194 3.8218981 0.4685373 0.4524950 0.0250075 0.0268386 0.0000187
C12 0.0000412 0.0001176 0.0007326 0.0012947 0.0003154 0.0057071 0.0258537 0.4677137 0.0304183 0.0293285 0.4685373 3.9055958 0.0269656 0.0049926 0.0074270 0.0000047
C13 0.0005091 0.0010652 0.0047872 0.0183381 0.0052229 0.0028852 0.4682970 0.0207534 0.0028472 0.0196564 0.4524950 0.0269656 3.7703875 0.4767658 0.4863280 0.0000908
C14 0.0000647 0.0000878 0.0003501 0.0015944 0.0036235 0.0005857 0.0240065 0.0026634 0.0010007 0.0121402 0.0250075 0.0049926 0.4767658 3.9606484 0.0281288 0.0000063
C15 0.0001187 0.0001641 0.0005045 0.0062423 0.0080957 0.0181825 0.0189147 0.0016917 0.0006203 0.0042428 0.0268386 0.0074270 0.4863280 0.0281288 3.9615270 0.0000071
