

C1 3.6271778 0.4342376 0.0138284 0.0094984 0.0008243 0.0005956 0.0008385 0.0001842 0.0001112 0.0001172 0.0007325 0.0040887 0.4589482
O2 0.4342376 7.9377494 0.4496219 0.0611446 0.0085553 0.0129299 0.0057960 0.0012737 0.0008656 0.0035028 0.0181949 0.0433805 0.0392361
C3 0.0138284 0.4496219 3.5649729 0.6900783 0.0368313 0.0470485 0.0282626 0.0053385 0.0030275 0.0145862 0.0290778 0.5973839 0.0026215
C4 0.0094984 0.0611446 0.6900783 3.9625560 0.6596737 0.0356186 0.0259239 0.0028874 0.0117693 0.0029312 0.0143475 0.0289402 0.0055294
C5 0.0008243 0.0085553 0.0368313 0.6596737 3.9480258 0.7304028 0.0333256 0.0171082 0.0032927 0.0130015 0.0029851 0.0281849 0.0004573
C6 0.0005956 0.0129299 0.0470485 0.0356186 0.7304028 3.9568828 0.6311307 0.0324277 0.0157088 0.0031414 0.0052353 0.0307357 0.0009641
C7 0.0008385 0.0057960 0.0282626 0.0259239 0.0333256 0.6311307 3.8527428 0.6352806 0.0332354 0.0292399 0.0300907 0.6064736 0.0002016
C8 0.0001842 0.0012737 0.0053385 0.0028874 0.0171082 0.0324277 0.6352806 3.9523607 0.7263750 0.0369576 0.0560731 0.0292600 0.0000629
C9 0.0001112 0.0008656 0.0030275 0.0117693 0.0032927 0.0157088 0.0332354 0.7263750 3.9642647 0.6617317 0.0361978 0.0300731 0.0000817
C10 0.0001172 0.0035028 0.0145862 0.0029312 0.0130015 0.0031414 0.0292399 0.0369576 0.6617317 3.9516292 0.7278507 0.0332325 0.0001261
C11 0.0007325 0.0181949 0.0290778 0.0143475 0.0029851 0.0052353 0.0300907 0.0560731 0.0361978 0.7278507 3.9500209 0.6366452 0.0002346
C12 0.0040887 0.0433805 0.5973839 0.0289402 0.0281849 0.0307357 0.6064736 0.0292600 0.0300731 0.0332325 0.6366452 3.8603849 0.0007004
