

C1 3.9570019 0.4912186 0.0268470 0.0129519 0.0012837 0.0001765 0.0000292 0.0000066 0.0000010 0.0000003 0.0000001 0.0000000 0.0000001 0.0000002 0.0000006 0.4709300
C2 0.4912186 3.8734361 0.4873457 0.0260314 0.0056409 0.0011514 0.0001979 0.0000301 0.0000050 0.0000037 0.0000011 0.0000002 0.0000004 0.0000005 0.0000020 0.0202081
C3 0.0268470 0.4873457 3.8710021 0.4886404 0.0247981 0.0086885 0.0010891 0.0000663 0.0000210 0.0000152 0.0000044 0.0000008 0.0000009 0.0000012 0.0000052 0.0100839
C4 0.0129519 0.0260314 0.4886404 3.8636903 0.4952122 0.0222667 0.0052629 0.0012704 0.0002460 0.0000105 0.0000020 0.0000019 0.0000203 0.0000145 0.0000905 0.0039825
C5 0.0012837 0.0056409 0.0247981 0.4952122 3.8621367 0.4849630 0.0281526 0.0057531 0.0010954 0.0000693 0.0000131 0.0000065 0.0000640 0.0000398 0.0002849 0.0002757
C6 0.0001765 0.0011514 0.0086885 0.0222667 0.4849630 3.8716401 0.4881033 0.0249402 0.0058901 0.0010652 0.0002145 0.0000464 0.0002260 0.0001762 0.0011507 0.0003528
C7 0.0000292 0.0001979 0.0010891 0.0052629 0.0281526 0.4881033 3.8524791 0.4918744 0.0261126 0.0105386 0.0015598 0.0002964 0.0007972 0.0005531 0.0058821 0.0000465
C8 0.0000066 0.0000301 0.0000663 0.0012704 0.0057531 0.0249402 0.4918744 3.8805977 0.4692917 0.0222153 0.0025256 0.0006817 0.0039991 0.0014918 0.0376900 0.0000028
C9 0.0000010 0.0000050 0.0000210 0.0002460 0.0010954 0.0058901 0.0261126 0.4692917 3.5382618 0.4738918 0.0213153 0.0060294 0.0117237 0.0087469 0.4095828 0.0000011
C10 0.0000003 0.0000037 0.0000152 0.0000105 0.0000693 0.0010652 0.0105386 0.0222153 0.4738918 3.8848404 0.4939608 0.0256996 0.0035797 0.0013922 0.0347624 0.0000004
C11 0.0000001 0.0000011 0.0000044 0.0000020 0.0000131 0.0002145 0.0015598 0.0025256 0.0213153 0.4939608 3.8716611 0.4870427 0.0233456 0.0087392 0.0206917 0.0000001
C12 0.0000000 0.0000002 0.0000008 0.0000019 0.0000065 0.0000464 0.0002964 0.0006817 0.0060294 0.0256996 0.4870427 3.9066787 0.4651491 0.0559679 0.0405779 0.0000001
C13 0.0000001 0.0000004 0.0000009 0.0000203 0.0000640 0.0002260 0.0007972 0.0039991 0.0117237 0.0035797 0.0233456 0.4651491 2.9288721 0.7033484 0.4419430 0.0000001
O14 0.0000002 0.0000005 0.0000012 0.0000145 0.0000398 0.0001762 0.0005531 0.0014918 0.0087469 0.0013922 0.0087392 0.0559679 0.7033484 8.1102271 0.1217968 0.0000002
O15 0.0000006 0.0000020 0.0000052 0.0000905 0.0002849 0.0011507 0.0058821 0.0376900 0.4095828 0.0347624 0.0206917 0.0405779 0.4419430 0.1217968 7.8630005 0.0000006
