

C1 3.9551184 0.4819675 0.0297249 0.0302506 0.0050640 0.0027919 0.0006823 0.0002109 0.0000700 0.0000095 0.0000385 0.0000096 0.0000652 0.4719701
C2 0.4819675 3.7941611 0.4862464 0.4813131 0.0174767 0.0209337 0.0040313 0.0010137 0.0001727 0.0000320 0.0000713 0.0000320 0.0001666 0.0210313
C3 0.0297249 0.4862464 3.9551975 0.0244887 0.0035588 0.0188087 0.0004273 0.0000734 0.0000209 0.0000025 0.0000044 0.0000042 0.0000180 0.0029230
C4 0.0302506 0.4813131 0.0244887 3.9213715 0.4766559 0.0608521 0.0271388 0.0044398 0.0008046 0.0001273 0.0002720 0.0001338 0.0007954 0.0116767
C5 0.0050640 0.0174767 0.0035588 0.4766559 3.2004926 0.7041306 0.4799516 0.0192273 0.0058460 0.0006138 0.0020381 0.0005835 0.0052253 0.0008972
O6 0.0027919 0.0209337 0.0188087 0.0608521 0.7041306 8.1117758 0.0620988 0.0259265 0.0083020 0.0012269 0.0009571 0.0011665 0.0072849 0.0009171
C7 0.0006823 0.0040313 0.0004273 0.0271388 0.4799516 0.0620988 3.9354393 0.5030324 0.0299296 0.0048027 0.0027453 0.0045958 0.0261784 0.0001078
C8 0.0002109 0.0010137 0.0000734 0.0044398 0.0192273 0.0259265 0.5030324 3.8482897 0.6787537 0.0340570 0.0460609 0.0347576 0.6746408 0.0000222
C9 0.0000700 0.0001727 0.0000209 0.0008046 0.0058460 0.0083020 0.0299296 0.6787537 3.9508900 0.6874153 0.0365053 0.0522963 0.0369059 0.0000058
C10 0.0000095 0.0000320 0.0000025 0.0001273 0.0006138 0.0012269 0.0048027 0.0340570 0.6874153 3.9568220 0.7018320 0.0376902 0.0512869 0.0000015
C11 0.0000385 0.0000713 0.0000044 0.0002720 0.0020381 0.0009571 0.0027453 0.0460609 0.0365053 0.7018320 3.9496574 0.6940376 0.0364837 0.0000027
C12 0.0000096 0.0000320 0.0000042 0.0001338 0.0005835 0.0011665 0.0045958 0.0347576 0.0522963 0.0376902 0.6940376 3.9475731 0.6972106 0.0000016
C13 0.0000652 0.0001666 0.0000180 0.0007954 0.0052253 0.0072849 0.0261784 0.6746408 0.0369059 0.0512869 0.0364837 0.6972106 3.9285266 0.0000074
