

C1 3.9502473 0.4975847 0.0263564 0.0130863 0.0010830 0.0005170 0.0001539 0.0000183 0.0000215 0.0000047 0.0000024 0.0000005 0.0000016 0.0000004 0.0000023 0.0000033 0.4812251
C2 0.4975847 3.8734739 0.4822756 0.0268478 0.0059334 0.0012437 0.0002733 0.0000536 0.0001104 0.0000055 0.0000057 0.0000011 0.0000044 0.0000008 0.0000060 0.0000038 0.0219290
C3 0.0263564 0.4822756 3.8759596 0.4924960 0.0225958 0.0089426 0.0013512 0.0001352 0.0005058 0.0000262 0.0000131 0.0000028 0.0000087 0.0000019 0.0000134 0.0000180 0.0048773
C4 0.0130863 0.0268478 0.4924960 3.8714546 0.4907020 0.0267370 0.0070669 0.0007132 0.0016475 0.0002044 0.0000623 0.0000111 0.0000329 0.0000088 0.0000558 0.0000908 0.0022784
C5 0.0010830 0.0059334 0.0225958 0.4907020 3.8951180 0.4838127 0.0374351 0.0036765 0.0191097 0.0004520 0.0002448 0.0000446 0.0001456 0.0000301 0.0002642 0.0002720 0.0002481
C6 0.0005170 0.0012437 0.0089426 0.0267370 0.4838127 3.5993432 0.4020557 0.0122225 0.0166889 0.0035822 0.0007352 0.0001740 0.0001347 0.0000648 0.0003168 0.0010119 0.0001842
O7 0.0001539 0.0002733 0.0013512 0.0070669 0.0374351 0.4020557 7.9194470 0.4349273 0.1362066 0.0306733 0.0060405 0.0015249 0.0020936 0.0006686 0.0059544 0.0330259 0.0000687
C8 0.0000183 0.0000536 0.0001352 0.0007132 0.0036765 0.0122225 0.4349273 2.9914835 0.6597308 0.5205340 0.0279310 0.0061718 0.0054960 0.0037865 0.0310673 0.0097609 0.0000037
O9 0.0000215 0.0001104 0.0005058 0.0016475 0.0191097 0.0166889 0.1362066 0.6597308 8.0310623 0.0511186 0.0289569 0.0028336 0.0081332 0.0022252 0.0192545 0.0056727 0.0000051
C10 0.0000047 0.0000055 0.0000262 0.0002044 0.0004520 0.0035822 0.0306733 0.5205340 0.0511186 3.8666663 0.6348373 0.0353682 0.0376638 0.0302385 0.6526121 0.0575373 0.0000022
C11 0.0000024 0.0000057 0.0000131 0.0000623 0.0002448 0.0007352 0.0060405 0.0279310 0.0289569 0.6348373 3.9246587 0.7245386 0.0381790 0.0531648 0.0332598 0.0081273 0.0000006
C12 0.0000005 0.0000011 0.0000028 0.0000111 0.0000446 0.0001740 0.0015249 0.0061718 0.0028336 0.0353682 0.7245386 3.9496367 0.6691514 0.0373658 0.0384489 0.0118716 0.0000002
C13 0.0000016 0.0000044 0.0000087 0.0000329 0.0001456 0.0001347 0.0020936 0.0054960 0.0081332 0.0376638 0.0381790 0.6691514 3.9482197 0.7240561 0.0364934 0.0087445 0.0000003
C14 0.0000004 0.0000008 0.0000019 0.0000088 0.0000301 0.0000648 0.0006686 0.0037865 0.0022252 0.0302385 0.0531648 0.0373658 0.7240561 3.9573895 0.6265966 0.0582441 0.0000001
C15 0.0000023 0.0000060 0.0000134 0.0000558 0.0002642 0.0003168 0.0059544 0.0310673 0.0192545 0.6526121 0.0332598 0.0384489 0.0364934 0.6265966 3.5145443 0.4641267 0.0000005
O16 0.0000033 0.0000038 0.0000180 0.0000908 0.0002720 0.0010119 0.0330259 0.0097609 0.0056727 0.0575373 0.0081273 0.0118716 0.0087445 0.0582441 0.4641267 8.2029887 0.0000024
