

C1 3.9870258 0.4854295 0.0573138 0.0353171 0.0048514 0.0005555 0.0000637 0.0000125 0.0000051 0.0000370 0.0002627 0.0000717 0.0000127 0.0000038 0.0000099 0.0000543 0.0000108 0.0000013 0.0000002 0.0000049 0.0000077 0.0000015 0.0000022 0.0000014 0.0000006 0.0000003 0.0000085 0.4740711
C2 0.4854295 2.9407337 0.6768692 0.4416361 0.0118825 0.0037051 0.0004466 0.0000345 0.0000073 0.0000803 0.0007301 0.0002266 0.0000342 0.0000097 0.0000291 0.0000810 0.0000202 0.0000018 0.0000008 0.0000135 0.0000323 0.0000053 0.0000067 0.0000050 0.0000028 0.0000010 0.0000450 0.0204092
O3 0.0573138 0.6768692 8.1277382 0.1383650 0.0215538 0.0021747 0.0008614 0.0001135 0.0000207 0.0001850 0.0003153 0.0000744 0.0000143 0.0000041 0.0000155 0.0001319 0.0000313 0.0000072 0.0000038 0.0001685 0.0000422 0.0000084 0.0000097 0.0000239 0.0000390 0.0000079 0.0004328 0.0106757
O4 0.0353171 0.4416361 0.1383650 7.8598420 0.4144445 0.0339391 0.0143844 0.0014597 0.0001474 0.0034005 0.0051703 0.0011582 0.0001675 0.0000448 0.0001375 0.0019990 0.0004119 0.0000250 0.0000058 0.0001561 0.0003526 0.0000517 0.0000552 0.0000550 0.0000224 0.0000042 0.0003001 0.0083175
C5 0.0048514 0.0118825 0.0215538 0.4144445 3.6193364 0.4703163 0.0339864 0.0033313 0.0004845 0.0023489 0.0227884 0.0049450 0.0005296 0.0001737 0.0004868 0.0119433 0.0015265 0.0000665 0.0000271 0.0005888 0.0021427 0.0002736 0.0002224 0.0002618 0.0000628 0.0000118 0.0011943 0.0004257
C6 0.0005555 0.0037051 0.0021747 0.0339391 0.4703163 3.5467409 0.4020357 0.0107183 0.0043449 0.0202275 0.4549412 0.0337243 0.0031850 0.0004575 0.0023754 0.0182696 0.0055240 0.0005828 0.0002135 0.0005339 0.0031741 0.0002557 0.0001311 0.0004673 0.0000341 0.0000081 0.0001487 0.0000745
O7 0.0000637 0.0004466 0.0008614 0.0143844 0.0339864 0.4020357 7.8732920 0.4302651 0.0340402 0.1402138 0.0407652 0.0173003 0.0021799 0.0001404 0.0064959 0.0049258 0.0010513 0.0001708 0.0000480 0.0001462 0.0006549 0.0000874 0.0000387 0.0001616 0.0000258 0.0000055 0.0000763 0.0000289
C8 0.0000125 0.0000345 0.0001135 0.0014597 0.0033313 0.0107183 0.4302651 2.9230477 0.4842812 0.6700674 0.0034475 0.0016127 0.0003165 0.0000771 0.0002902 0.0006521 0.0001978 0.0000262 0.0000099 0.0000327 0.0000472 0.0000045 0.0000026 0.0000189 0.0000027 0.0000008 0.0000079 0.0000330
C9 0.0000051 0.0000073 0.0000207 0.0001474 0.0004845 0.0043449 0.0340402 0.4842812 3.9846100 0.0574303 0.0004413 0.0001119 0.0001554 0.0000788 0.0003542 0.0001771 0.0000424 0.0000069 0.0000024 0.0000079 0.0000131 0.0000013 0.0000010 0.0000039 0.0000011 0.0000002 0.0000042 0.0000115
O10 0.0000370 0.0000803 0.0001850 0.0034005 0.0023489 0.0202275 0.1402138 0.6700674 0.0574303 8.1352331 0.0023559 0.0031569 0.0001688 0.0001161 0.0003389 0.0004365 0.0001320 0.0000234 0.0000067 0.0000352 0.0000650 0.0000195 0.0000346 0.0000185 0.0000056 0.0000017 0.0000172 0.0001181
