

C1 3.6490547 0.4390234 0.0145565 0.0127664 0.0011369 0.0005414 0.0000986 0.0001066 0.0000179 0.0000241 0.0000143 0.0000008 0.0000009 0.0000002 0.0000002 0.0000001 0.0000000 0.0000000 0.0000001 0.0000000 0.0000000 0.0000000 0.0009732 0.0041353 0.0008646 0.0000272 0.4639798
O2 0.4390234 7.8663778 0.4633470 0.0539386 0.0084190 0.0098794 0.0018799 0.0035320 0.0006456 0.0008102 0.0005085 0.0000262 0.0000320 0.0000046 0.0000044 0.0000015 0.0000001 0.0000003 0.0000008 0.0000002 0.0000001 0.0000001 0.0070490 0.0417212 0.0219591 0.0009073 0.0308785
C3 0.0145565 0.4633470 3.5450774 0.6718562 0.0345675 0.0349268 0.0039980 0.0092367 0.0013382 0.0019006 0.0011971 0.0000635 0.0000767 0.0000108 0.0000091 0.0000026 0.0000002 0.0000007 0.0000012 0.0000002 0.0000000 0.0000001 0.0335543 0.6118910 0.0408575 0.0042320 0.0049742
C4 0.0127664 0.0539386 0.6718562 3.9453743 0.6800974 0.0345347 0.0062912 0.0019123 0.0003420 0.0017377 0.0002160 0.0000140 0.0000166 0.0000025 0.0000037 0.0000011 0.0000002 0.0000003 0.0000007 0.0000002 0.0000000 0.0000002 0.0438416 0.0337568 0.0064332 0.0010107 0.0016601
C5 0.0011369 0.0084190 0.0345675 0.6800974 3.9404403 0.6797470 0.0293285 0.0183673 0.0025311 0.0166557 0.0020071 0.0001235 0.0001348 0.0000208 0.0000314 0.0000068 0.0000015 0.0000018 0.0000055 0.0000008 0.0000002 0.0000006 0.0370821 0.0389223 0.0102798 0.0005902 0.0001384
C6 0.0005414 0.0098794 0.0349268 0.0345347 0.6797470 3.8677541 0.5621110 0.0298696 0.0042646 0.0029411 0.0014102 0.0000741 0.0000636 0.0000114 0.0000181 0.0000045 0.0000007 0.0000007 0.0000025 0.0000004 0.0000001 0.0000004 0.6334118 0.0320546 0.0080703 0.0011021 0.0000937
C7 0.0000986 0.0018799 0.0039980 0.0062912 0.0293285 0.5621110 3.9266528 0.8489643 0.0337784 0.0224712 0.0159753 0.0011910 0.0007618 0.0001040 0.0001315 0.0000273 0.0000031 0.0000078 0.0000141 0.0000024 0.0000003 0.0000010 0.0334095 0.0051352 0.0012144 0.0000886 0.0000167
C8 0.0001066 0.0035320 0.0092367 0.0019123 0.0183673 0.0298696 0.8489643 3.9594393 0.5256956 0.0512555 0.0392707 0.0033424 0.0005935 0.0001746 0.0008727 0.0001954 0.0000278 0.0000566 0.0000701 0.0000202 0.0000013 0.0000076 0.0160553 0.0020768 0.0003028 0.0000303 0.0000117
C9 0.0000179 0.0006456 0.0013382 0.0003420 0.0025311 0.0042646 0.0337784 0.5256956 3.0222885 0.6453309 0.5061704 0.0136614 0.0041875 0.0008220 0.0028424 0.0003097 0.0000917 0.0001274 0.0001331 0.0000398 0.0000042 0.0000217 0.0015390 0.0004075 0.0000958 0.0000053 0.0000025
O10 0.0000241 0.0008102 0.0019006 0.0017377 0.0166557 0.0029411 0.0224712 0.0512555 0.6453309 8.1052765 0.1287251 0.0197930 0.0208065 0.0015935 0.0029606 0.0003153 0.0001602 0.0001073 0.0004458 0.0000271 0.0000075 0.0000405 0.0018457 0.0003979 0.0000953 0.0000104 0.0000056
