

C1 3.9452203 0.5005888 0.0253703 0.0078945 0.0014184 0.0003515 0.0000417 0.0000058 0.0000048 0.0000036 0.0000015 0.0000053 0.0000004 0.0000002 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.4725325
C2 0.5005888 3.8544633 0.4898264 0.0218577 0.0068770 0.0014116 0.0000958 0.0000420 0.0000226 0.0000128 0.0000120 0.0001028 0.0000069 0.0000033 0.0000012 0.0000000 0.0000000 0.0000000 0.0000001 0.0000000 0.0000000 0.0000000 0.0203709
C3 0.0253703 0.4898264 3.8620610 0.4924100 0.0209762 0.0085590 0.0008752 0.0004179 0.0000450 0.0000214 0.0000730 0.0001929 0.0000103 0.0000054 0.0000014 0.0000001 0.0000000 0.0000000 0.0000001 0.0000000 0.0000000 0.0000000 0.0023176
C4 0.0078945 0.0218577 0.4924100 3.8673694 0.4883499 0.0256970 0.0053173 0.0008344 0.0001555 0.0000795 0.0002029 0.0017420 0.0001361 0.0000627 0.0000182 0.0000006 0.0000003 0.0000001 0.0000002 0.0000001 0.0000000 0.0000000 0.0072251
C5 0.0014184 0.0068770 0.0209762 0.4883499 3.8726722 0.4922774 0.0224981 0.0068005 0.0013383 0.0006519 0.0015383 0.0016953 0.0001627 0.0000888 0.0000295 0.0000011 0.0000009 0.0000001 0.0000002 0.0000001 0.0000000 0.0000000 0.0024596
C6 0.0003515 0.0014116 0.0085590 0.0256970 0.4922774 3.8740313 0.4996769 0.0232715 0.0113015 0.0046599 0.0003062 0.0002810 0.0000212 0.0000125 0.0000021 0.0000003 0.0000001 0.0000000 0.0000001 0.0000000 0.0000000 0.0000000 0.0003591
C7 0.0000417 0.0000958 0.0008752 0.0053173 0.0224981 0.4996769 3.8690772 0.4857111 0.0275341 0.0100509 0.0009963 0.0002486 0.0000743 0.0000207 0.0000027 0.0000012 0.0000005 0.0000000 0.0000003 0.0000000 0.0000000 0.0000000 0.0000314
C8 0.0000058 0.0000420 0.0004179 0.0008344 0.0068005 0.0232715 0.4857111 3.8815291 0.5127109 0.0299399 0.0085288 0.0007787 0.0003125 0.0000767 0.0000075 0.0000067 0.0000023 0.0000001 0.0000007 0.0000001 0.0000000 0.0000000 0.0000038
C9 0.0000048 0.0000226 0.0000450 0.0001555 0.0013383 0.0113015 0.0275341 0.5127109 3.9614226 0.8869606 0.0340693 0.0102856 0.0010805 0.0003274 0.0000472 0.0000118 0.0000025 0.0000005 0.0000028 0.0000004 0.0000001 0.0000000 0.0000042
C10 0.0000036 0.0000128 0.0000214 0.0000795 0.0006519 0.0046599 0.0100509 0.0299399 0.8869606 3.9627680 0.5082253 0.0260864 0.0071542 0.0012537 0.0001057 0.0000436 0.0000130 0.0000011 0.0000072 0.0000010 0.0000002 0.0000001 0.0000032
