

C1 3.9648052 0.4835374 0.0292212 0.0059977 0.0004521 0.0013347 0.0001536 0.0000525 0.0000066 0.0000027 0.0000015 0.0000003 0.0000002 0.0000000 0.0000001 0.0000000 0.0000000 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.4804260
C2 0.4835374 3.8736497 0.4995527 0.0216003 0.0032328 0.0082313 0.0006824 0.0002283 0.0000189 0.0000046 0.0000046 0.0000011 0.0000002 0.0000000 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0209916
C3 0.0292212 0.4995527 3.8652348 0.5054004 0.0226194 0.0021150 0.0002158 0.0000461 0.0002514 0.0000463 0.0000121 0.0000040 0.0000018 0.0000002 0.0000003 0.0000001 0.0000000 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0049509
C4 0.0059977 0.0216003 0.5054004 3.8727512 0.4967539 0.0223670 0.0053229 0.0002131 0.0007880 0.0001608 0.0000305 0.0000083 0.0000043 0.0000004 0.0000007 0.0000002 0.0000000 0.0000002 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0003950
C5 0.0004521 0.0032328 0.0226194 0.4967539 3.8691707 0.4998319 0.0229232 0.0019668 0.0083350 0.0011385 0.0002676 0.0000779 0.0000328 0.0000032 0.0000038 0.0000010 0.0000003 0.0000014 0.0000002 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0002202
C6 0.0013347 0.0082313 0.0021150 0.0223670 0.4998319 3.8777284 0.5023187 0.0220317 0.0028260 0.0002572 0.0002922 0.0000594 0.0000089 0.0000015 0.0000024 0.0000002 0.0000001 0.0000005 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0002831
C7 0.0001536 0.0006824 0.0002158 0.0053229 0.0229232 0.5023187 3.8756878 0.5051069 0.0223253 0.0055440 0.0007519 0.0001284 0.0000320 0.0000025 0.0000058 0.0000008 0.0000003 0.0000008 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000280
C8 0.0000525 0.0002283 0.0000461 0.0002131 0.0019668 0.0220317 0.5051069 3.8652066 0.5025585 0.0234462 0.0081784 0.0011248 0.0001392 0.0000220 0.0000460 0.0000031 0.0000009 0.0000041 0.0000002 0.0000001 0.0000000 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000110
C9 0.0000066 0.0000189 0.0002514 0.0007880 0.0083350 0.0028260 0.0223253 0.5025585 3.8642443 0.4809977 0.0231312 0.0058735 0.0014816 0.0001008 0.0001913 0.0000387 0.0000119 0.0000351 0.0000033 0.0000005 0.0000001 0.0000001 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000033
C10 0.0000027 0.0000046 0.0000463 0.0001608 0.0011385 0.0002572 0.0055440 0.0234462 0.4809977 3.8624413 0.4911694 0.0269489 0.0067305 0.0007209 0.0017357 0.0001933 0.0000358 0.0001540 0.0000157 0.0000018 0.0000004 0.0000003 0.0000004 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000009
C11 0.0000015 0.0000046 0.0000121 0.0000305 0.0002676 0.0002922 0.0007519 0.0081784 0.0231312 0.4911694 3.8876882 0.4780910 0.0375967 0.0041356 0.0197860 0.0004184 0.0001487 0.0005668 0.0000424 0.0000061 0.0000011 0.0000011 0.0000012 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000005
