

C1 4.0299036 0.4923146 0.0626440 0.0243432 0.0039827 0.0015243 0.0006977 0.0001041 0.0007549 0.0000743 0.0201198 0.4667277
C2 0.4923146 3.2413933 0.7119728 0.4851398 0.0277739 0.0065350 0.0045439 0.0004940 0.0055725 0.0004066 0.0362929 0.0253347
O3 0.0626440 0.7119728 8.1006454 0.0579611 0.0296671 0.0039985 0.0094956 0.0006370 0.0043425 0.0003753 0.0194860 0.0142322
C4 0.0243432 0.4851398 0.0579611 3.5405138 0.6325326 0.0550334 0.0429600 0.0026793 0.0246581 0.0049858 0.6329319 0.0020632
C5 0.0039827 0.0277739 0.0296671 0.6325326 3.5694633 0.6587025 0.0222796 0.0047497 0.0425616 0.0025970 0.0513657 0.0007304
N6 0.0015243 0.0065350 0.0039985 0.0550334 0.6587025 6.4843406 0.6454649 0.0404891 0.0522423 0.0062767 0.0580100 0.0002513
C7 0.0006977 0.0045439 0.0094956 0.0429600 0.0222796 0.6454649 3.5097930 0.5018310 0.6195089 0.0240306 0.0554455 0.0003130
C8 0.0001041 0.0004940 0.0006370 0.0026793 0.0047497 0.0404891 0.5018310 3.9937205 0.0252330 0.0153604 0.0066392 0.0000303
C9 0.0007549 0.0055725 0.0043425 0.0246581 0.0425616 0.0522423 0.6195089 0.0252330 3.5035858 0.4992036 0.6446803 0.0001339
C10 0.0000743 0.0004066 0.0003753 0.0049858 0.0025970 0.0062767 0.0240306 0.0153604 0.4992036 3.9920531 0.0425957 0.0000250
N11 0.0201198 0.0362929 0.0194860 0.6329319 0.0513657 0.0580100 0.0554455 0.0066392 0.6446803 0.0425957 6.4792890 0.0039787
