

C1 3.6488555 0.4385886 0.0141242 0.0119341 0.0011807 0.0006009 0.0008838 0.0001764 0.0000576 0.0000085 0.0000194 0.0000015 0.0000024 0.0000006 0.0000001 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0040068 0.0010302 0.0000872 0.4560771
O2 0.4385886 7.8913359 0.4542344 0.0539748 0.0081351 0.0109074 0.0055272 0.0008532 0.0003255 0.0000472 0.0002440 0.0000078 0.0000123 0.0000050 0.0000005 0.0000004 0.0000001 0.0000001 0.0000001 0.0000001 0.0000001 0.0000003 0.0431327 0.0250471 0.0037149 0.0355535
C3 0.0141242 0.4542344 3.5621230 0.6616589 0.0349596 0.0406712 0.0324966 0.0037340 0.0010753 0.0001749 0.0008133 0.0000258 0.0000401 0.0000160 0.0000012 0.0000011 0.0000003 0.0000001 0.0000000 0.0000001 0.0000000 0.0000002 0.6325176 0.0468203 0.0045281 0.0029707
C4 0.0119341 0.0539748 0.6616589 3.9630129 0.6903821 0.0364648 0.0445219 0.0025743 0.0006584 0.0001963 0.0006188 0.0000394 0.0000363 0.0000184 0.0000008 0.0000012 0.0000003 0.0000001 0.0000001 0.0000001 0.0000001 0.0000002 0.0325388 0.0062358 0.0005118 0.0104542
C5 0.0011807 0.0081351 0.0349596 0.6903821 3.9401624 0.6910569 0.0358425 0.0045257 0.0017283 0.0004292 0.0021790 0.0000517 0.0000350 0.0000222 0.0000011 0.0000013 0.0000004 0.0000002 0.0000001 0.0000002 0.0000001 0.0000005 0.0462123 0.0073964 0.0017718 0.0009752
C6 0.0006009 0.0109074 0.0406712 0.0364648 0.6910569 3.9249794 0.6758785 0.0229817 0.0169232 0.0046129 0.0164365 0.0004150 0.0002526 0.0001231 0.0000059 0.0000063 0.0000015 0.0000004 0.0000001 0.0000003 0.0000002 0.0000009 0.0345626 0.0064565 0.0005647 0.0006991
C7 0.0008838 0.0055272 0.0324966 0.0445219 0.0358425 0.6758785 3.8591880 0.4905776 0.0337544 0.0041115 0.0120950 0.0004111 0.0007020 0.0001691 0.0000135 0.0000131 0.0000030 0.0000005 0.0000002 0.0000003 0.0000003 0.0000013 0.6544213 0.0441681 0.0043825 0.0002843
C8 0.0001764 0.0008532 0.0037340 0.0025743 0.0045257 0.0229817 0.4905776 3.6294614 0.4616439 0.0140638 0.0141857 0.0032962 0.0016425 0.0006824 0.0001191 0.0000142 0.0000042 0.0000013 0.0000003 0.0000008 0.0000003 0.0000028 0.0249713 0.0158792 0.0019538 0.0000212
N9 0.0000576 0.0003255 0.0010753 0.0006584 0.0017283 0.0169232 0.0337544 0.4616439 6.3291735 0.5408687 0.1332460 0.0289251 0.0323761 0.0061479 0.0007195 0.0002225 0.0000509 0.0000085 0.0000029 0.0000035 0.0000041 0.0000239 0.0047893 0.0016820 0.0003385 0.0000113
C10 0.0000085 0.0000472 0.0001749 0.0001963 0.0004292 0.0046129 0.0041115 0.0140638 0.5408687 2.9648138 0.6541391 0.4511569 0.0515227 0.0289672 0.0033618 0.0004785 0.0001582 0.0000246 0.0000062 0.0000108 0.0000075 0.0000546 0.0005337 0.0002736 0.0000379 0.0000025
O11 0.0000194 0.0002440 0.0008133 0.0006188 0.0021790 0.0164365 0.0120950 0.0141857 0.1332460 0.6541391 8.1055824 0.0532396 0.0223946 0.0315478 0.0016437 0.0007969 0.0001850 0.0000572 0.0000125 0.0000258 0.0000149 0.0000674 0.0012377 0.0002992 0.0001274 0.0000124
