

C1 3.9635378 0.5023648 0.0221204 0.0030285 0.0092587 0.0027249 0.0003633 0.0000403 0.0000865 0.0000225 0.0000016 0.0000003 0.0000002 0.0000001 0.0000000 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000001 0.0000000 0.0000003 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000001 0.4723806
C2 0.5023648 3.8671843 0.5014402 0.0236026 0.0030614 0.0004803 0.0000851 0.0000253 0.0000263 0.0000069 0.0000008 0.0000001 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000001 0.0000000 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0193589
C3 0.0221204 0.5014402 3.8609260 0.5002991 0.0206879 0.0074612 0.0008044 0.0003287 0.0005731 0.0000616 0.0000082 0.0000011 0.0000005 0.0000002 0.0000000 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000003 0.0000000 0.0000002 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0042635
C4 0.0030285 0.0236026 0.5002991 3.8753430 0.4942998 0.0267075 0.0052803 0.0008899 0.0017441 0.0002273 0.0000133 0.0000023 0.0000009 0.0000002 0.0000000 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000006 0.0000004 0.0000009 0.0000001 0.0000001 0.0000000 0.0000000 0.0000001 0.0000001 0.0000005 0.0004419
C5 0.0092587 0.0030614 0.0206879 0.4942998 3.8693824 0.4863599 0.0230749 0.0055617 0.0184556 0.0007870 0.0000529 0.0000081 0.0000023 0.0000005 0.0000001 0.0000002 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000023 0.0000011 0.0000031 0.0000002 0.0000001 0.0000000 0.0000000 0.0000004 0.0000001 0.0000012 0.0047551
C6 0.0027249 0.0004803 0.0074612 0.0267075 0.4863599 3.8773147 0.4843854 0.0281710 0.0118929 0.0055136 0.0003794 0.0000414 0.0000204 0.0000057 0.0000014 0.0000007 0.0000004 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000099 0.0000017 0.0000109 0.0000006 0.0000002 0.0000001 0.0000001 0.0000005 0.0000004 0.0000034 0.0057152
C7 0.0003633 0.0000851 0.0008044 0.0052803 0.0230749 0.4843854 3.8801457 0.4708041 0.0527449 0.0324803 0.0046344 0.0005131 0.0002770 0.0000756 0.0000180 0.0000054 0.0000058 0.0000017 0.0000001 0.0000001 0.0000000 0.0000000 0.0000000 0.0000509 0.0000128 0.0000230 0.0000023 0.0000022 0.0000004 0.0000005 0.0000036 0.0000075 0.0000497 0.0013053
C8 0.0000403 0.0000253 0.0003287 0.0008899 0.0055617 0.0281710 0.4708041 2.9498786 0.6649827 0.4439548 0.0119235 0.0038018 0.0008055 0.0002177 0.0000559 0.0000178 0.0000132 0.0000039 0.0000002 0.0000001 0.0000000 0.0000000 0.0000000 0.0004697 0.0000373 0.0000612 0.0000054 0.0000067 0.0000010 0.0000003 0.0000006 0.0000011 0.0000091 0.0001450
O9 0.0000865 0.0000263 0.0005731 0.0017441 0.0184556 0.0118929 0.0527449 0.6649827 8.0994379 0.1381116 0.0207906 0.0021236 0.0003511 0.0000800 0.0000188 0.0000123 0.0000046 0.0000015 0.0000002 0.0000001 0.0000000 0.0000000 0.0000000 0.0008753 0.0001051 0.0001508 0.0000173 0.0000053 0.0000008 0.0000006 0.0000011 0.0000011 0.0000056 0.0000892
O10 0.0000225 0.0000069 0.0000616 0.0002273 0.0007870 0.0055136 0.0324803 0.4439548 0.1381116 7.8770537 0.4113770 0.0351724 0.0059196 0.0012981 0.0002683 0.0000858 0.0000716 0.0000201 0.0000009 0.0000007 0.0000002 0.0000000 0.0000000 0.0157433 0.0013695 0.0024831 0.0001154 0.0002179 0.0000277 0.0000051 0.0000133 0.0000036 0.0000076 0.0000508
