

C1 3.9561821 0.5178502 0.0246435 0.0345349 0.0051681 0.0007915 0.0001173 0.0005374 0.0000364 0.0000073 0.0000022 0.0000008 0.0000018 0.0000001 0.0000000 0.0000000 0.0000000 0.4740154
C2 0.5178502 3.8908802 0.5088037 0.8466844 0.0322075 0.0089253 0.0007084 0.0071084 0.0002974 0.0001109 0.0000259 0.0000118 0.0000264 0.0000015 0.0000002 0.0000001 0.0000003 0.0214952
C3 0.0246435 0.5088037 3.9709768 0.0336383 0.0149552 0.0014796 0.0007096 0.0004077 0.0000707 0.0000198 0.0000034 0.0000010 0.0000056 0.0000002 0.0000001 0.0000000 0.0000000 0.0060526
C4 0.0345349 0.8466844 0.0336383 3.9416118 0.5161375 0.0234012 0.0052758 0.0189599 0.0005046 0.0001426 0.0000428 0.0000041 0.0000190 0.0000010 0.0000003 0.0000001 0.0000004 0.0079591
C5 0.0051681 0.0322075 0.0149552 0.5161375 3.8954165 0.5230639 0.0311158 0.0045079 0.0057596 0.0008473 0.0003137 0.0000465 0.0001425 0.0000121 0.0000021 0.0000004 0.0000038 0.0006726
C6 0.0007915 0.0089253 0.0014796 0.0234012 0.5230639 3.9797427 0.8690813 0.0332286 0.0359618 0.0099372 0.0022509 0.0002398 0.0009387 0.0000607 0.0000175 0.0000033 0.0000225 0.0000592
C7 0.0001173 0.0007084 0.0007096 0.0052758 0.0311158 0.8690813 3.8881245 0.5116886 0.4832770 0.0317950 0.0075577 0.0007400 0.0018752 0.0002257 0.0000246 0.0000048 0.0000573 0.0000689
C8 0.0005374 0.0071084 0.0004077 0.0189599 0.0045079 0.0332286 0.5116886 3.9666455 0.0211258 0.0081094 0.0012383 0.0001238 0.0005686 0.0000214 0.0000069 0.0000019 0.0000031 0.0003126
C9 0.0000364 0.0002974 0.0000707 0.0005046 0.0057596 0.0359618 0.4832770 0.0211258 3.8798221 0.4823555 0.0365879 0.0040328 0.0192481 0.0004239 0.0001054 0.0000203 0.0001892 0.0000179
C10 0.0000073 0.0001109 0.0000198 0.0001426 0.0008473 0.0099372 0.0317950 0.0081094 0.4823555 3.5803963 0.4117479 0.0121564 0.0172680 0.0037906 0.0004960 0.0000684 0.0004644 0.0000015
O11 0.0000022 0.0000259 0.0000034 0.0000428 0.0003137 0.0022509 0.0075577 0.0012383 0.0365879 0.4117479 7.8719554 0.4400401 0.1387003 0.0303753 0.0136156 0.0015205 0.0190311 0.0000012
C12 0.0000008 0.0000118 0.0000010 0.0000041 0.0000465 0.0002398 0.0007400 0.0001238 0.0040328 0.0121564 0.4400401 2.9589748 0.6705758 0.4727419 0.0205348 0.0052409 0.0040865 0.0000003
O13 0.0000018 0.0000264 0.0000056 0.0000190 0.0001425 0.0009387 0.0018752 0.0005686 0.0192481 0.0172680 0.1387003 0.6705758 8.1193550 0.0519257 0.0076598 0.0016199 0.0007121 0.0000014
C14 0.0000001 0.0000015 0.0000002 0.0000010 0.0000121 0.0000607 0.0002257 0.0000214 0.0004239 0.0037906 0.0303753 0.4727419 0.0519257 3.8788205 0.4827875 0.0282426 0.0259554 0.0000001
C15 0.0000000 0.0000002 0.0000001 0.0000003 0.0000021 0.0000175 0.0000246 0.0000069 0.0001054 0.0004960 0.0136156 0.0205348 0.0076598 0.4827875 3.8020079 0.4905093 0.4818855 0.0000001
C16 0.0000000 0.0000001 0.0000000 0.0000001 0.0000004 0.0000033 0.0000048 0.0000019 0.0000203 0.0000684 0.0015205 0.0052409 0.0016199 0.0282426 0.4905093 3.9579977 0.0300590 0.0000000
C17 0.0000000 0.0000003 0.0000000 0.0000004 0.0000038 0.0000225 0.0000573 0.0000031 0.0001892 0.0004644 0.0190311 0.0040865 0.0007121 0.0259554 0.4818855 0.0300590 3.9638024 0.0000000
