

C1 3.9549603 0.4836720 0.0219384 0.0027993 0.0104044 0.0010615 0.0000657 0.0000729 0.0005042 0.0304643 0.0055962 0.0008734 0.0001308 0.0001064 0.0000370 0.0000133 0.0000201 0.0000222 0.0000675 0.0000591 0.0004540 0.0001021 0.0000558 0.0000320 0.0000071 0.0000100 0.0000122 0.0001330 0.0001920 0.4685709
C2 0.4836720 3.8118152 0.5026125 0.0208763 0.0029500 0.0002249 0.0000484 0.0000395 0.0005004 0.4965357 0.0194894 0.0060460 0.0005585 0.0005003 0.0001645 0.0000309 0.0000546 0.0000533 0.0003497 0.0005429 0.0034537 0.0006783 0.0001448 0.0001206 0.0000272 0.0000457 0.0000373 0.0002244 0.0002496 0.0199604
C3 0.0219384 0.5026125 3.8572703 0.5043493 0.0230361 0.0048630 0.0008579 0.0008023 0.0012931 0.0193451 0.0037360 0.0004655 0.0000719 0.0000487 0.0000228 0.0000132 0.0000129 0.0000208 0.0001382 0.0001198 0.0086021 0.0007233 0.0004403 0.0003068 0.0000960 0.0001265 0.0001525 0.0020693 0.0028922 0.0013300
C4 0.0027993 0.0208763 0.5043493 3.8972746 0.4877400 0.0197182 0.0051659 0.0088108 0.0139846 0.0015783 0.0002215 0.0000621 0.0000526 0.0000100 0.0000060 0.0000020 0.0000017 0.0000020 0.0000139 0.0000126 0.0029067 0.0051216 0.0036458 0.0012973 0.0001556 0.0000729 0.0001056 0.0002582 0.0010146 0.0004268
C5 0.0104044 0.0029500 0.0230361 0.4877400 3.8746124 0.4554542 0.0289161 0.0219858 0.0463434 0.0001994 0.0001063 0.0000229 0.0000059 0.0000033 0.0000013 0.0000006 0.0000005 0.0000008 0.0000021 0.0000016 0.0002242 0.0003057 0.0003071 0.0001703 0.0000270 0.0000069 0.0000184 0.0000904 0.0001334 0.0030897
C6 0.0010615 0.0002249 0.0048630 0.0197182 0.4554542 3.4437807 0.4642404 0.4758588 0.4188462 0.0000185 0.0000168 0.0000033 0.0000012 0.0000008 0.0000002 0.0000001 0.0000001 0.0000001 0.0000004 0.0000004 0.0000242 0.0001051 0.0001951 0.0000248 0.0000084 0.0000025 0.0000065 0.0000191 0.0000188 0.0002163
C7 0.0000657 0.0000484 0.0008579 0.0051659 0.0289161 0.4642404 3.9655653 0.0254152 0.0522942 0.0000035 0.0000066 0.0000022 0.0000006 0.0000005 0.0000001 0.0000002 0.0000001 0.0000001 0.0000002 0.0000002 0.0000106 0.0000293 0.0000855 0.0000123 0.0000059 0.0000011 0.0000029 0.0000066 0.0000053 0.0000333
C8 0.0000729 0.0000395 0.0008023 0.0088108 0.0219858 0.4758588 0.0254152 3.9674038 0.0402533 0.0000160 0.0000056 0.0000071 0.0000064 0.0000013 0.0000006 0.0000002 0.0000003 0.0000003 0.0000005 0.0000013 0.0001545 0.0010596 0.0021295 0.0001557 0.0000728 0.0000122 0.0000393 0.0000131 0.0000851 0.0000446
O9 0.0005042 0.0005004 0.0012931 0.0139846 0.0463434 0.4188462 0.0522942 0.0402533 8.0675435 0.0000260 0.0000049 0.0000019 0.0000014 0.0000011 0.0000005 0.0000007 0.0000004 0.0000014 0.0000012 0.0000009 0.0000155 0.0000446 0.0000396 0.0000205 0.0000298 0.0000092 0.0000067 0.0000085 0.0000069 0.0002508
C10 0.0304643 0.4965357 0.0193451 0.0015783 0.0001994 0.0000185 0.0000035 0.0000160 0.0000260 3.8817871 0.4730722 0.0353307 0.0025942 0.0020405 0.0009009 0.0003209 0.0004541 0.0007049 0.0046950 0.0044005 0.0326155 0.0088998 0.0018332 0.0010428 0.0002297 0.0002589 0.0001965 0.0006414 0.0024872 0.0092324
