                                                       3397conf_1.sum LIDI values in a Matrix 
                                                    Note the DI values are divided by 2

          O1        C2        O3        

O1    7.9432678 0.7873268 0.1821420
C2    0.7873268 2.5915149 0.7849985
O3    0.1821420 0.7849985 7.9562826
