

C1 3.9790484 0.4817586 0.0451798 0.0104120 0.0041694 0.0019247 0.0001969 0.0000247 0.0000165 0.0000050 0.0000003 0.0000001 0.0000007 0.0000001 0.0000001 0.0000088 0.0000009 0.0000006 0.0000007 0.0000004 0.0000060 0.4717929
C2 0.4817586 3.5475782 0.4311870 0.0171062 0.0030245 0.0036894 0.0007140 0.0000577 0.0000421 0.0000167 0.0000007 0.0000007 0.0000005 0.0000001 0.0000001 0.0000201 0.0000019 0.0000013 0.0000019 0.0000026 0.0000270 0.0189937
O3 0.0451798 0.4311870 7.9418922 0.4111260 0.0427229 0.0746794 0.0039043 0.0009169 0.0002585 0.0000713 0.0000059 0.0000026 0.0000080 0.0000015 0.0000027 0.0002737 0.0000295 0.0000170 0.0000113 0.0000025 0.0000177 0.0094404
C4 0.0104120 0.0171062 0.4111260 3.1331105 0.4589980 0.4016527 0.0166322 0.0042498 0.0007990 0.0001876 0.0000142 0.0000027 0.0000048 0.0000018 0.0000004 0.0009250 0.0000584 0.0000514 0.0000139 0.0000010 0.0000089 0.0021146
C5 0.0041694 0.0030245 0.0427229 0.4589980 3.9842751 0.0485182 0.0034000 0.0006522 0.0003714 0.0001251 0.0000050 0.0000029 0.0000075 0.0000013 0.0000004 0.0002313 0.0000146 0.0000114 0.0000060 0.0000005 0.0000061 0.0068116
O6 0.0019247 0.0036894 0.0746794 0.4016527 0.0485182 7.8852382 0.4304813 0.0370295 0.0199059 0.0029622 0.0003455 0.0000570 0.0002123 0.0000286 0.0000106 0.0075411 0.0004336 0.0002549 0.0001580 0.0000220 0.0002842 0.0004191
C7 0.0001969 0.0007140 0.0039043 0.0166322 0.0034000 0.4304813 3.5543352 0.4490024 0.0233732 0.0063777 0.0005666 0.0001282 0.0001125 0.0001031 0.0000093 0.0429641 0.0019092 0.0010682 0.0006268 0.0001080 0.0012444 0.0000300
C8 0.0000247 0.0000577 0.0009169 0.0042498 0.0006522 0.0370295 0.4490024 3.4163475 0.4456374 0.0411284 0.0044395 0.0009556 0.0010972 0.0008896 0.0000970 0.4172462 0.0116596 0.0024351 0.0032822 0.0003652 0.0013283 0.0000072
C9 0.0000165 0.0000421 0.0002585 0.0007990 0.0003714 0.0199059 0.0233732 0.4456374 3.5200460 0.4279551 0.0124351 0.0026695 0.0036014 0.0004012 0.0001084 0.0464456 0.0023162 0.0002592 0.0013972 0.0001113 0.0001382 0.0000023
O10 0.0000050 0.0000167 0.0000713 0.0001876 0.0001251 0.0029622 0.0063777 0.0411284 0.4279551 7.9907822 0.4049376 0.0465832 0.0767064 0.0040273 0.0015801 0.0150521 0.0006900 0.0044792 0.0002784 0.0000222 0.0000252 0.0000013
C11 0.0000003 0.0000007 0.0000059 0.0000142 0.0000050 0.0003455 0.0005666 0.0044395 0.0124351 0.4049376 3.1250646 0.4518398 0.3997055 0.0148238 0.0073334 0.0007617 0.0000647 0.0001559 0.0000175 0.0000022 0.0000102 0.0000001
C12 0.0000001 0.0000007 0.0000026 0.0000027 0.0000029 0.0000570 0.0001282 0.0009556 0.0026695 0.0465832 0.4518398 3.9748979 0.0500503 0.0029108 0.0084667 0.0002960 0.0000230 0.0001111 0.0000066 0.0000006 0.0000035 0.0000001
