

C1 3.5926253 0.4430721 0.0192563 0.0045656 0.0002793 0.0001673 0.0011107 0.0000814 0.0000749 0.0000177 0.0000025 0.0000021 0.0000001 0.0000001 0.0000003 0.0000019 0.0000001 0.0000001 0.0000000 0.0000003 0.0000003 0.0000006 0.0000065 0.0003021 0.0009108 0.0029330 0.0008513 0.4578611
O2 0.4430721 7.8628547 0.4129164 0.0684047 0.0020009 0.0031130 0.0392201 0.0012481 0.0006432 0.0001815 0.0000135 0.0000211 0.0000009 0.0000008 0.0000019 0.0000322 0.0000003 0.0000003 0.0000001 0.0000012 0.0000018 0.0000044 0.0000422 0.0018918 0.0237333 0.0371877 0.0101240 0.0408446
C3 0.0192563 0.4129164 3.1315701 0.4004733 0.0103459 0.0014666 0.0016959 0.0004120 0.0038951 0.0003733 0.0000476 0.0000292 0.0000013 0.0000007 0.0000013 0.0000299 0.0000014 0.0000004 0.0000001 0.0000044 0.0000016 0.0000133 0.0002407 0.0183965 0.0056878 0.4342702 0.0461499 0.0045295
O4 0.0045656 0.0684047 0.4004733 7.9520390 0.4280388 0.0419147 0.0352252 0.0068802 0.0365994 0.0050007 0.0004893 0.0002226 0.0000145 0.0000075 0.0000254 0.0002639 0.0000043 0.0000016 0.0000003 0.0000217 0.0000109 0.0001014 0.0001136 0.0060131 0.0018730 0.0383919 0.0194555 0.0016231
C5 0.0002793 0.0020009 0.0103459 0.4280388 3.4555189 0.4447303 0.0449000 0.0326324 0.4399672 0.0413352 0.0020229 0.0009002 0.0000272 0.0000107 0.0000107 0.0001487 0.0000143 0.0000039 0.0000006 0.0002030 0.0000784 0.0008294 0.0002921 0.0182077 0.0071773 0.0046086 0.0010697 0.0000820
C6 0.0001673 0.0031130 0.0014666 0.0419147 0.4447303 2.9093275 0.6877451 0.4218453 0.0240258 0.0053013 0.0003494 0.0001353 0.0000045 0.0000043 0.0000037 0.0000212 0.0000021 0.0000008 0.0000001 0.0000493 0.0000212 0.0001596 0.0000303 0.0018829 0.0190500 0.0002873 0.0001661 0.0000384
O7 0.0011107 0.0392201 0.0016959 0.0352252 0.0449000 0.6877451 8.0390433 0.1451656 0.0088422 0.0025308 0.0001909 0.0001278 0.0000034 0.0000029 0.0000041 0.0000334 0.0000017 0.0000008 0.0000003 0.0000333 0.0000176 0.0001006 0.0000414 0.0008237 0.0185167 0.0003544 0.0002551 0.0002764
O8 0.0000814 0.0012481 0.0004120 0.0068802 0.0326324 0.4218453 0.1451656 8.1341284 0.0135690 0.0024585 0.0004634 0.0002554 0.0000122 0.0000059 0.0000081 0.0000436 0.0000054 0.0000031 0.0000007 0.0000084 0.0000086 0.0000585 0.0000630 0.0011111 0.0103860 0.0004955 0.0001265 0.0000367
C9 0.0000749 0.0006432 0.0038951 0.0365994 0.4399672 0.0240258 0.0088422 0.0135690 3.4990791 0.4205931 0.0170658 0.0044977 0.0003201 0.0001031 0.0000667 0.0010101 0.0000657 0.0000199 0.0000018 0.0003903 0.0001466 0.0022845 0.0028212 0.4540473 0.0475262 0.0208605 0.0065680 0.0000462
O10 0.0000177 0.0001815 0.0003733 0.0050007 0.0413352 0.0053013 0.0025308 0.0024585 0.4205931 7.8552204 0.4071471 0.0710304 0.0026987 0.0011183 0.0008815 0.0301729 0.0007249 0.0002752 0.0000276 0.0056520 0.0020185 0.0433000 0.0138060 0.0341449 0.0097767 0.0019899 0.0300802 0.0000104
C11 0.0000025 0.0000135 0.0000476 0.0004893 0.0020229 0.0003494 0.0001909 0.0004634 0.0170658 0.4071471 3.1174282 0.4084115 0.0110854 0.0018507 0.0005219 0.0027792 0.0028085 0.0004085 0.0000617 0.0173519 0.0072120 0.4349177 0.0409039 0.0018645 0.0007116 0.0003049 0.0011412 0.0000016
