

O1 8.0261241 0.4558099 0.0440757 0.0097911 0.0013201 0.0004569 0.0000957 0.0000177 0.0000046 0.0000003 0.0000003 0.0000001 0.0000000 0.0000002 0.0000000 0.0000001 0.0000003 0.0000002 0.0000001 0.0000010 0.0000004 0.0000016 0.0000131 0.0000249 0.0001854 0.0009127 0.0084556 0.0418626 0.0001881 0.0002473 0.0000103 0.0001148 0.0000030 0.0000047 0.0000012 0.0000019 0.0000001 0.0000013 0.0000002 0.0000004 0.0000011 0.0000010 0.0000038 0.0000035 0.3561490
C2 0.4558099 3.5426203 0.4577878 0.0397618 0.0042161 0.0008314 0.0001458 0.0000392 0.0000071 0.0000005 0.0000003 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000001 0.0000001 0.0000003 0.0000007 0.0000036 0.0000176 0.0000532 0.0004532 0.0031876 0.0217282 0.0028551 0.0009420 0.0015017 0.0000193 0.0000719 0.0000016 0.0000012 0.0000004 0.0000004 0.0000000 0.0000005 0.0000003 0.0000001 0.0000021 0.0000005 0.0000070 0.0000028 0.0085247
C3 0.0440757 0.4577878 3.5098409 0.4230526 0.0122786 0.0048480 0.0005610 0.0000810 0.0000191 0.0000012 0.0000006 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000002 0.0000001 0.0000010 0.0000048 0.0000187 0.0001059 0.0005295 0.0021505 0.0173657 0.4365822 0.0463162 0.0110267 0.0144608 0.0000917 0.0011297 0.0000128 0.0000090 0.0000023 0.0000012 0.0000000 0.0000011 0.0000008 0.0000003 0.0000042 0.0000010 0.0000187 0.0000123 0.0025059
O4 0.0097911 0.0397618 0.4230526 7.9166241 0.4122726 0.0748034 0.0058901 0.0006132 0.0001781 0.0000120 0.0000063 0.0000006 0.0000002 0.0000006 0.0000001 0.0000001 0.0000006 0.0000006 0.0000003 0.0000023 0.0000025 0.0000081 0.0000811 0.0002608 0.0067903 0.0089221 0.0386693 0.0103270 0.0340464 0.0046722 0.0000757 0.0001735 0.0000173 0.0000073 0.0000021 0.0000022 0.0000009 0.0000236 0.0000067 0.0000030 0.0000380 0.0000091 0.0001706 0.0001237 0.0006209
C5 0.0013201 0.0042161 0.0122786 0.4122726 3.1619059 0.4125352 0.0154284 0.0041967 0.0006455 0.0000491 0.0000242 0.0000009 0.0000005 0.0000004 0.0000001 0.0000001 0.0000002 0.0000002 0.0000003 0.0000010 0.0000004 0.0000028 0.0000357 0.0001289 0.0039598 0.0167946 0.0034315 0.0006393 0.4405207 0.0417509 0.0001389 0.0001507 0.0000249 0.0000055 0.0000010 0.0000006 0.0000006 0.0000298 0.0000206 0.0000055 0.0001470 0.0000237 0.0006192 0.0001561 0.0000231
O6 0.0004569 0.0008314 0.0048480 0.0748034 0.4125352 7.8603640 0.4328341 0.0396090 0.0075555 0.0004520 0.0001097 0.0000074 0.0000050 0.0000032 0.0000005 0.0000007 0.0000015 0.0000043 0.0000101 0.0000238 0.0000075 0.0000155 0.0005643 0.0006167 0.0256132 0.0019063 0.0005983 0.0002274 0.0392355 0.0097740 0.0003120 0.0000433 0.0000639 0.0000202 0.0000093 0.0000046 0.0000343 0.0008767 0.0001437 0.0000537 0.0008947 0.0001396 0.0044711 0.0036150 0.0000167
C7 0.0000957 0.0001458 0.0005610 0.0058901 0.0154284 0.4328341 3.5260589 0.4426245 0.0442714 0.0027826 0.0009006 0.0000275 0.0000138 0.0000116 0.0000013 0.0000030 0.0000033 0.0000035 0.0000119 0.0000036 0.0000013 0.0000013 0.0000146 0.0000175 0.0007615 0.0003908 0.0001638 0.0000234 0.0039251 0.0006356 0.0000119 0.0000046 0.0000029 0.0000010 0.0000002 0.0000003 0.0000095 0.0001479 0.0007763 0.0002133 0.0041914 0.0006998 0.0214775 0.0228465 0.0000031
C8 0.0000177 0.0000392 0.0000810 0.0006132 0.0041967 0.0396090 0.4426245 3.4803481 0.4261719 0.0101249 0.0064173 0.0001730 0.0001337 0.0000531 0.0000075 0.0000124 0.0000084 0.0000179 0.0000382 0.0000094 0.0000012 0.0000006 0.0000055 0.0000024 0.0000614 0.0000481 0.0000392 0.0000048 0.0009200 0.0002699 0.0000011 0.0000008 0.0000002 0.0000003 0.0000001 0.0000003 0.0001014 0.0014786 0.0064317 0.0009235 0.0183985 0.0042273 0.4556943 0.0378803 0.0000004
O9 0.0000046 0.0000071 0.0000191 0.0001781 0.0006455 0.0075555 0.0442714 0.4261719 7.8633955 0.4053023 0.0721700 0.0028482 0.0006854 0.0003840 0.0000616 0.0000932 0.0000861 0.0005415 0.0019024 0.0003886 0.0000418 0.0000145 0.0001801 0.0000063 0.0002614 0.0000133 0.0000085 0.0000042 0.0000928 0.0000336 0.0000040 0.0000021 0.0000008 0.0000011 0.0000024 0.0000023 0.0021263 0.0384852 0.0386585 0.0085099 0.0052665 0.0011469 0.0359165 0.0074320 0.0000003
C10 0.0000003 0.0000005 0.0000012 0.0000120 0.0000491 0.0004520 0.0027826 0.0101249 0.4053023 3.1370308 0.4080242 0.0113632 0.0037258 0.0005179 0.0002613 0.0004413 0.0001014 0.0000874 0.0003531 0.0000884 0.0000077 0.0000012 0.0000052 0.0000002 0.0000072 0.0000006 0.0000006 0.0000003 0.0000127 0.0000032 0.0000001 0.0000001 0.0000001 0.0000001 0.0000002 0.0000003 0.0011227 0.0011974 0.4389712 0.0360057 0.0211704 0.0055455 0.0087954 0.0118217 0.0000000
