

C1 4.0611295 0.9138005 0.0382902 0.0124542 0.0031284 0.0005138 0.0008374 0.0001302 0.0000357 0.0000251 0.0000032 0.0000012 0.0000003 0.0000002 0.0000004 0.0000014 0.0004721 0.0001525 0.0000077 0.0019960 0.4872347
C2 0.9138005 3.9440229 0.5115865 0.0307156 0.0087338 0.0011431 0.0023709 0.0003758 0.0000988 0.0000598 0.0000087 0.0000028 0.0000005 0.0000003 0.0000010 0.0000035 0.0008070 0.0001630 0.0000140 0.0073460 0.0327047
C3 0.0382902 0.5115865 3.8763460 0.4988867 0.0274087 0.0047976 0.0025607 0.0004481 0.0000972 0.0000572 0.0000093 0.0000032 0.0000005 0.0000004 0.0000010 0.0000036 0.0045134 0.0010251 0.0000680 0.0282223 0.0067787
C4 0.0124542 0.0307156 0.4988867 3.8616609 0.6802213 0.0374628 0.0433184 0.0062622 0.0015828 0.0008855 0.0001356 0.0000397 0.0000069 0.0000037 0.0000153 0.0000525 0.0332462 0.0075851 0.0009970 0.6712309 0.0010968
C5 0.0031284 0.0087338 0.0274087 0.6802213 3.9359298 0.6920770 0.0349037 0.0063732 0.0006640 0.0011524 0.0001528 0.0000482 0.0000052 0.0000199 0.0000108 0.0000487 0.0402056 0.0106268 0.0005533 0.0351550 0.0002510
C6 0.0005138 0.0011431 0.0047976 0.0374628 0.6920770 3.9170074 0.6658461 0.0465555 0.0054390 0.0093394 0.0006379 0.0002409 0.0000288 0.0000974 0.0000575 0.0002609 0.0326507 0.0058957 0.0009271 0.0484667 0.0000389
C7 0.0008374 0.0023709 0.0025607 0.0433184 0.0349037 0.6658461 3.5471984 0.4199684 0.0109987 0.0276904 0.0035231 0.0006384 0.0000496 0.0001054 0.0001500 0.0006582 0.6296074 0.0431414 0.0041027 0.0332642 0.0001230
O8 0.0001302 0.0003758 0.0004481 0.0062622 0.0063732 0.0465555 0.4199684 7.8527644 0.4324270 0.1246561 0.0330173 0.0164075 0.0014089 0.0023751 0.0016406 0.0065344 0.0432949 0.0229392 0.0009590 0.0054094 0.0000211
C9 0.0000357 0.0000988 0.0000972 0.0015828 0.0006640 0.0054390 0.0109987 0.4324270 2.9714609 0.6765513 0.5121353 0.0311183 0.0047090 0.0063069 0.0054662 0.0293124 0.0048207 0.0029682 0.0000760 0.0005575 0.0000053
O10 0.0000251 0.0000598 0.0000572 0.0008855 0.0011524 0.0093394 0.0276904 0.1246561 0.6765513 8.0604330 0.0518759 0.0199194 0.0029814 0.0097114 0.0026845 0.0302014 0.0080639 0.0050041 0.0001208 0.0011335 0.0000036
C11 0.0000032 0.0000087 0.0000093 0.0001356 0.0001528 0.0006379 0.0035231 0.0330173 0.5121353 0.0518759 3.8719533 0.6613293 0.0354735 0.0461314 0.0367310 0.6627856 0.0006429 0.0004265 0.0000125 0.0001270 0.0000004
C12 0.0000012 0.0000028 0.0000032 0.0000397 0.0000482 0.0002409 0.0006384 0.0164075 0.0311183 0.0199194 0.6613293 3.9509675 0.7005495 0.0383434 0.0490967 0.0324818 0.0002392 0.0001983 0.0000064 0.0000483 0.0000002
C13 0.0000003 0.0000005 0.0000005 0.0000069 0.0000052 0.0000288 0.0000496 0.0014089 0.0047090 0.0029814 0.0354735 0.7005495 3.9540210 0.6971376 0.0350774 0.0470943 0.0000261 0.0000189 0.0000006 0.0000055 0.0000001
C14 0.0000002 0.0000003 0.0000004 0.0000037 0.0000199 0.0000974 0.0001054 0.0023751 0.0063069 0.0097114 0.0461314 0.0383434 0.6971376 3.9473258 0.6845171 0.0378982 0.0000958 0.0000297 0.0000008 0.0000195 0.0000000
C15 0.0000004 0.0000010 0.0000010 0.0000153 0.0000108 0.0000575 0.0001500 0.0016406 0.0054662 0.0026845 0.0367310 0.0490967 0.0350774 0.6845171 3.9501541 0.7054090 0.0000552 0.0000253 0.0000008 0.0000102 0.0000001
C16 0.0000014 0.0000035 0.0000036 0.0000525 0.0000487 0.0002609 0.0006582 0.0065344 0.0293124 0.0302014 0.6627856 0.0324818 0.0470943 0.0378982 0.7054090 3.9323171 0.0002498 0.0000690 0.0000022 0.0000447 0.0000002
C17 0.0004721 0.0008070 0.0045134 0.0332462 0.0402056 0.0326507 0.6296074 0.0432949 0.0048207 0.0080639 0.0006429 0.0002392 0.0000261 0.0000958 0.0000552 0.0002498 3.5548527 0.4577307 0.0141358 0.6625769 0.0000624
O18 0.0001525 0.0001630 0.0010251 0.0075851 0.0106268 0.0058957 0.0431414 0.0229392 0.0029682 0.0050041 0.0004265 0.0001983 0.0000189 0.0000297 0.0000253 0.0000690 0.4577307 7.8780106 0.4389348 0.0517008 0.0000167
C19 0.0000077 0.0000140 0.0000680 0.0009970 0.0005533 0.0009271 0.0041027 0.0009590 0.0000760 0.0001208 0.0000125 0.0000064 0.0000006 0.0000008 0.0000008 0.0000022 0.0141358 0.4389348 3.6486535 0.0107706 0.0000011
C20 0.0019960 0.0073460 0.0282223 0.6712309 0.0351550 0.0484667 0.0332642 0.0054094 0.0005575 0.0011335 0.0001270 0.0000483 0.0000055 0.0000195 0.0000102 0.0000447 0.6625769 0.0517008 0.0107706 3.9591143 0.0002989
