

C1 3.9668274 0.4900853 0.0286444 0.0235147 0.0042657 0.0002884 0.0012174 0.0041957 0.0004717 0.0000277 0.0000047 0.0000015 0.0000075 0.0000017 0.0000003 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000004 0.0000003 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.4733481
C2 0.4900853 3.7944305 0.4665975 0.4957640 0.0190845 0.0018501 0.0044919 0.0004508 0.0001200 0.0000264 0.0000060 0.0000003 0.0000006 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000005 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0206388
C3 0.0286444 0.4665975 3.9680562 0.0322973 0.0061510 0.0004507 0.0006370 0.0000833 0.0000302 0.0000035 0.0000010 0.0000001 0.0000002 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000003 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0038400
C4 0.0235147 0.4957640 0.0322973 3.8673617 0.5061482 0.0222619 0.0024232 0.0003989 0.0002477 0.0000288 0.0000023 0.0000003 0.0000017 0.0000005 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000037 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0020692
C5 0.0042657 0.0190845 0.0061510 0.5061482 3.8785752 0.5026178 0.0220508 0.0071934 0.0016688 0.0001431 0.0000126 0.0000017 0.0000055 0.0000016 0.0000002 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000001 0.0000000 0.0000099 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0002086
C6 0.0002884 0.0018501 0.0004507 0.0222619 0.5026178 3.8746880 0.5002241 0.0219940 0.0104634 0.0013329 0.0000893 0.0000083 0.0000121 0.0000034 0.0000005 0.0000002 0.0000001 0.0000001 0.0000003 0.0000001 0.0000009 0.0000017 0.0000008 0.0000005 0.0000623 0.0000002 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0001282
C7 0.0012174 0.0044919 0.0006370 0.0024232 0.0220508 0.5002241 3.8751840 0.4877123 0.0253261 0.0050573 0.0012466 0.0000585 0.0000462 0.0000087 0.0000029 0.0000004 0.0000002 0.0000000 0.0000002 0.0000001 0.0000001 0.0000006 0.0000009 0.0000005 0.0000928 0.0000011 0.0000008 0.0000001 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0015156
C8 0.0041957 0.0004508 0.0000833 0.0003989 0.0071934 0.0219940 0.4877123 3.8713895 0.4757894 0.0284640 0.0058389 0.0003435 0.0008197 0.0001729 0.0000252 0.0000019 0.0000005 0.0000001 0.0000003 0.0000000 0.0000000 0.0000001 0.0000002 0.0000001 0.0000198 0.0000172 0.0000044 0.0000004 0.0000003 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0045136
C9 0.0004717 0.0001200 0.0000302 0.0002477 0.0016688 0.0104634 0.0253261 0.4757894 3.8648536 0.4985435 0.0233075 0.0022190 0.0066371 0.0010476 0.0001386 0.0000236 0.0000014 0.0000004 0.0000014 0.0000003 0.0000001 0.0000003 0.0000001 0.0000002 0.0000310 0.0000698 0.0000075 0.0000016 0.0000008 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0006846
C10 0.0000277 0.0000264 0.0000035 0.0000288 0.0001431 0.0013329 0.0050573 0.0284640 0.4985435 3.8631392 0.5060291 0.0218321 0.0025116 0.0003617 0.0002295 0.0000367 0.0000129 0.0000006 0.0000026 0.0000005 0.0000001 0.0000000 0.0000000 0.0000000 0.0000050 0.0000404 0.0000919 0.0000121 0.0000049 0.0000017 0.0000001 0.0000000 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000298
