

C1 4.0295967 0.8676912 0.0364042 0.0056767 0.0007384 0.0072628 0.0070697 0.0012084 0.0331346 0.0111297 0.0102690 0.0011519 0.0001100 0.0009629 0.0000900 0.0000255 0.0000036 0.0000006 0.0000001 0.0000007 0.0000003 0.0000001 0.0000003 0.0000001 0.0000001 0.0000001 0.0000001 0.0000002 0.0000016 0.0000007 0.0000026 0.4854861
C2 0.8676912 3.8817292 0.5042748 0.0204623 0.0067317 0.0227630 0.0145938 0.0047683 0.4832694 0.0242706 0.0114597 0.0015371 0.0000910 0.0004989 0.0000949 0.0000083 0.0000015 0.0000003 0.0000000 0.0000005 0.0000001 0.0000000 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000001 0.0000011 0.0000005 0.0000017 0.0321105
C3 0.0364042 0.5042748 3.8908032 0.4951171 0.0209283 0.0049104 0.0035562 0.0006125 0.0175968 0.0024465 0.0006307 0.0000784 0.0000706 0.0000491 0.0000069 0.0000010 0.0000001 0.0000000 0.0000000 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000001 0.0000000 0.0000001 0.0080552
C4 0.0056767 0.0204623 0.4951171 3.8778858 0.4945886 0.0190819 0.0098411 0.0049745 0.0039873 0.0006082 0.0000906 0.0000113 0.0000083 0.0000058 0.0000007 0.0000002 0.0000001 0.0000000 0.0000000 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0007853
C5 0.0007384 0.0067317 0.0209283 0.4945886 3.8741489 0.4712829 0.0260807 0.0268796 0.0223047 0.0087196 0.0010560 0.0000635 0.0000419 0.0000470 0.0000055 0.0000019 0.0000007 0.0000002 0.0000000 0.0000002 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0002144
C6 0.0072628 0.0227630 0.0049104 0.0190819 0.4712829 3.7486130 0.4758716 0.4856207 0.4677890 0.0195263 0.0048277 0.0009705 0.0000447 0.0004986 0.0000606 0.0000302 0.0000104 0.0000022 0.0000001 0.0000008 0.0000008 0.0000001 0.0000002 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000001 0.0000002 0.0000003 0.0010490
C7 0.0070697 0.0145938 0.0035562 0.0098411 0.0260807 0.4758716 3.9568268 0.0289536 0.0249071 0.0050544 0.0008164 0.0002859 0.0000233 0.0001905 0.0000215 0.0000112 0.0000036 0.0000008 0.0000001 0.0000005 0.0000003 0.0000001 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000001 0.0000001 0.0000002 0.0003038
C8 0.0012084 0.0047683 0.0006125 0.0049745 0.0268796 0.4856207 0.0289536 3.9562506 0.0219294 0.0072897 0.0008778 0.0000738 0.0000111 0.0000398 0.0000028 0.0000021 0.0000005 0.0000001 0.0000000 0.0000013 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0003107
C9 0.0331346 0.4832694 0.0175968 0.0039873 0.0223047 0.4677890 0.0249071 0.0219294 3.8129228 0.4768543 0.0240622 0.0052919 0.0009128 0.0020407 0.0002282 0.0001154 0.0000319 0.0000081 0.0000004 0.0000010 0.0000028 0.0000004 0.0000004 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000004 0.0000008 0.0000011 0.0067371
C10 0.0111297 0.0242706 0.0024465 0.0006082 0.0087196 0.0195263 0.0050544 0.0072897 0.4768543 3.8721842 0.4802729 0.0300436 0.0085899 0.0119926 0.0009204 0.0004689 0.0001310 0.0000280 0.0000013 0.0000040 0.0000097 0.0000016 0.0000028 0.0000007 0.0000002 0.0000002 0.0000001 0.0000003 0.0000029 0.0000040 0.0000076 0.0008969
C11 0.0102690 0.0114597 0.0006307 0.0000906 0.0010560 0.0048277 0.0008164 0.0008778 0.0240622 0.4802729 3.8682657 0.5002866 0.0217742 0.0351837 0.0060898 0.0007162 0.0002338 0.0000540 0.0000024 0.0000067 0.0000171 0.0000028 0.0000038 0.0000011 0.0000003 0.0000005 0.0000007 0.0000021 0.0000269 0.0000196 0.0000446 0.0003556
C12 0.0011519 0.0015371 0.0000784 0.0000113 0.0000635 0.0009705 0.0002859 0.0000738 0.0052919 0.0300436 0.5002866 3.8959531 0.5054776 0.8678632 0.0309130 0.0092527 0.0019087 0.0003232 0.0000173 0.0000556 0.0001159 0.0000212 0.0000554 0.0000165 0.0000045 0.0000048 0.0000048 0.0000097 0.0001494 0.0001418 0.0003185 0.0000431
C13 0.0001100 0.0000910 0.0000706 0.0000083 0.0000419 0.0000447 0.0000233 0.0000111 0.0009128 0.0085899 0.0217742 0.5054776 3.9652755 0.0321783 0.0119836 0.0011180 0.0001235 0.0000284 0.0000162 0.0000108 0.0000083 0.0000012 0.0000035 0.0000010 0.0000003 0.0000005 0.0000011 0.0000027 0.0000234 0.0000130 0.0000400 0.0000074
C14 0.0009629 0.0004989 0.0000491 0.0000058 0.0000470 0.0004986 0.0001905 0.0000398 0.0020407 0.0119926 0.0351837 0.8678632 0.0321783 3.9638695 0.4966984 0.0295839 0.0056735 0.0008967 0.0000699 0.0002873 0.0002433 0.0000481 0.0000780 0.0000189 0.0000044 0.0000055 0.0000225 0.0000718 0.0007038 0.0004284 0.0006425 0.0000436
C15 0.0000900 0.0000949 0.0000069 0.0000007 0.0000055 0.0000606 0.0000215 0.0000028 0.0002282 0.0009204 0.0060898 0.0309130 0.0119836 0.4966984 3.8775419 0.4917394 0.0215813 0.0050193 0.0009964 0.0023896 0.0009001 0.0001719 0.0002880 0.0000667 0.0000154 0.0000331 0.0001297 0.0003773 0.0045547 0.0035284 0.0086082 0.0000031
C16 0.0000255 0.0000083 0.0000010 0.0000002 0.0000019 0.0000302 0.0000112 0.0000021 0.0001154 0.0004689 0.0007162 0.0092527 0.0011180 0.0295839 0.4917394 3.8745621 0.4830837 0.0214753 0.0106495 0.0260527 0.0038678 0.0011191 0.0036192 0.0006782 0.0001245 0.0000947 0.0001212 0.0002799 0.0015557 0.0180144 0.0105594 0.0000013
C17 0.0000036 0.0000015 0.0000001 0.0000001 0.0000007 0.0000104 0.0000036 0.0000005 0.0000319 0.0001310 0.0002338 0.0019087 0.0001235 0.0056735 0.0215813 0.4830837 3.8228894 0.4494905 0.0187476 0.0468238 0.0187606 0.0116833 0.0201199 0.0035792 0.0004905 0.0003356 0.0005120 0.0047332 0.0261132 0.4785881 0.0199059 0.0000002
C18 0.0000006 0.0000003 0.0000000 0.0000000 0.0000002 0.0000022 0.0000008 0.0000001 0.0000081 0.0000280 0.0000540 0.0003232 0.0000284 0.0008967 0.0050193 0.0214753 0.4494905 3.5018779 0.4744241 0.4144306 0.4653637 0.0199177 0.0110273 0.0007668 0.0004650 0.0001219 0.0001072 0.0009082 0.0036573 0.0174082 0.0009155 0.0000001
C19 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000001 0.0000001 0.0000000 0.0000004 0.0000013 0.0000024 0.0000173 0.0000162 0.0000699 0.0009964 0.0106495 0.0187476 0.4744241 3.9664380 0.0442784 0.0234074 0.0020230 0.0048066 0.0004095 0.0001234 0.0001818 0.0000940 0.0000927 0.0004030 0.0021931 0.0023616 0.0000001
O20 0.0000007 0.0000005 0.0000001 0.0000001 0.0000002 0.0000008 0.0000005 0.0000013 0.0000010 0.0000040 0.0000067 0.0000556 0.0000108 0.0002873 0.0023896 0.0260527 0.0468238 0.4144306 0.0442784 8.0082151 0.0506983 0.0054849 0.0013208 0.0001619 0.0001588 0.0000260 0.0000535 0.0002904 0.0009673 0.0068876 0.0007625 0.0000004
