

C1 3.9917876 0.4781777 0.0549399 0.0366711 0.0045798 0.0005755 0.0005668 0.0000483 0.0000034 0.0000009 0.0000005 0.0000002 0.0000002 0.0000006 0.0000024 0.0000124 0.0000060 0.4684690
C2 0.4781777 2.9380836 0.6720895 0.4547230 0.0112496 0.0040037 0.0035412 0.0002733 0.0000233 0.0000050 0.0000026 0.0000011 0.0000004 0.0000020 0.0000082 0.0000294 0.0000163 0.0213942
O3 0.0549399 0.6720895 8.1139261 0.1358523 0.0249129 0.0035158 0.0030943 0.0008213 0.0000991 0.0000145 0.0000106 0.0000041 0.0000010 0.0000039 0.0000091 0.0000316 0.0000240 0.0128979
O4 0.0366711 0.4547230 0.1358523 7.8447697 0.3907232 0.0452864 0.0357705 0.0082628 0.0005660 0.0000977 0.0000350 0.0000098 0.0000058 0.0000297 0.0001868 0.0003105 0.0001665 0.0052434
C5 0.0045798 0.0112496 0.0249129 0.3907232 3.6000389 0.4951203 0.4872260 0.0206864 0.0018271 0.0002545 0.0002897 0.0000351 0.0000071 0.0000258 0.0001310 0.0004215 0.0004052 0.0008088
C6 0.0005755 0.0040037 0.0035158 0.0452864 0.4951203 3.9585648 0.0206114 0.0019560 0.0026708 0.0003093 0.0001050 0.0000250 0.0000127 0.0001200 0.0004531 0.0001328 0.0072581 0.0002046
C7 0.0005668 0.0035412 0.0030943 0.0357705 0.4872260 0.0206114 3.8733995 0.5066880 0.0195238 0.0053636 0.0008013 0.0010144 0.0000821 0.0002592 0.0023960 0.0068513 0.0013330 0.0000450
C8 0.0000483 0.0002733 0.0008213 0.0082628 0.0206864 0.0019560 0.5066880 3.8855269 0.4923509 0.0253520 0.0082979 0.0043415 0.0005592 0.0033089 0.0200799 0.0121039 0.0016097 0.0000049
C9 0.0000034 0.0000233 0.0000991 0.0005660 0.0018271 0.0026708 0.0195238 0.4923509 3.8036667 0.4607717 0.0206745 0.0238103 0.0053964 0.0181902 0.4691991 0.0192370 0.0260340 0.0000007
C10 0.0000009 0.0000050 0.0000145 0.0000977 0.0002545 0.0003093 0.0053636 0.0253520 0.4607717 3.8083999 0.4968566 0.4887867 0.0210260 0.0137292 0.0208136 0.0011890 0.0036891 0.0000002
C11 0.0000005 0.0000026 0.0000106 0.0000350 0.0002897 0.0001050 0.0008013 0.0082979 0.0206745 0.4968566 3.9649540 0.0233209 0.0029081 0.0092633 0.0040618 0.0029687 0.0006442 0.0000001
C12 0.0000002 0.0000011 0.0000041 0.0000098 0.0000351 0.0000250 0.0010144 0.0043415 0.0238103 0.4887867 0.0233209 3.8684537 0.4836835 0.0212799 0.0048457 0.0004791 0.0004718 0.0000001
C13 0.0000002 0.0000004 0.0000010 0.0000058 0.0000071 0.0000127 0.0000821 0.0005592 0.0053964 0.0210260 0.0029081 0.4836835 3.8858768 0.4947702 0.0194090 0.0051086 0.0040540 0.0000000
C14 0.0000006 0.0000020 0.0000039 0.0000297 0.0000258 0.0001200 0.0002592 0.0033089 0.0181902 0.0137292 0.0092633 0.0212799 0.4947702 3.8637044 0.4707340 0.0303157 0.0283204 0.0000001
C15 0.0000024 0.0000082 0.0000091 0.0001868 0.0001310 0.0004531 0.0023960 0.0200799 0.4691991 0.0208136 0.0040618 0.0048457 0.0194090 0.4707340 3.7783640 0.4824359 0.4708743 0.0000004
C16 0.0000124 0.0000294 0.0000316 0.0003105 0.0004215 0.0001328 0.0068513 0.0121039 0.0192370 0.0011890 0.0029687 0.0004791 0.0051086 0.0303157 0.4824359 3.9603867 0.0296120 0.0000011
C17 0.0000060 0.0000163 0.0000240 0.0001665 0.0004052 0.0072581 0.0013330 0.0016097 0.0260340 0.0036891 0.0006442 0.0004718 0.0040540 0.0283204 0.4708743 0.0296120 3.9558766 0.0000017
