

C1 3.9850383 0.5216528 0.0316411 0.0127644 0.0061057 0.0032192 0.0013223 0.0002217 0.0000365 0.0000152 0.0000032 0.0000090 0.0000033 0.0000180 0.4758407
C2 0.5216528 3.9252047 0.8379582 0.0310757 0.0462618 0.0475697 0.0111006 0.0009290 0.0005078 0.0001136 0.0000332 0.0000598 0.0000329 0.0001888 0.0240882
C3 0.0316411 0.8379582 3.8733898 0.5122595 0.5095962 0.0500444 0.0316502 0.0036008 0.0004309 0.0002837 0.0000531 0.0001422 0.0000619 0.0003282 0.0076251
C4 0.0127644 0.0310757 0.5122595 3.9784312 0.0207268 0.0064850 0.0134873 0.0004365 0.0001167 0.0000455 0.0000116 0.0000235 0.0000229 0.0000818 0.0012273
C5 0.0061057 0.0462618 0.5095962 0.0207268 2.9838837 0.6654416 0.4331642 0.0119136 0.0036047 0.0008225 0.0001465 0.0002512 0.0002185 0.0010948 0.0011287
O6 0.0032192 0.0475697 0.0500444 0.0064850 0.6654416 8.0529644 0.1339788 0.0136444 0.0147030 0.0021280 0.0011372 0.0009336 0.0028092 0.0194301 0.0009333
O7 0.0013223 0.0111006 0.0316502 0.0134873 0.4331642 0.1339788 7.9069060 0.4114284 0.0393894 0.0096152 0.0011858 0.0027572 0.0012034 0.0071269 0.0003865
C8 0.0002217 0.0009290 0.0036008 0.0004365 0.0119136 0.0136444 0.4114284 3.5725624 0.4908766 0.0283680 0.0047411 0.0034228 0.0046244 0.0291895 0.0000439
C9 0.0000365 0.0005078 0.0004309 0.0001167 0.0036047 0.0147030 0.0393894 0.4908766 3.8657350 0.6743317 0.0352467 0.0483530 0.0354963 0.6761545 0.0000218
C10 0.0000152 0.0001136 0.0002837 0.0000455 0.0008225 0.0021280 0.0096152 0.0283680 0.6743317 3.9493949 0.7004155 0.0376795 0.0499717 0.0346042 0.0000109
C11 0.0000032 0.0000332 0.0000531 0.0000116 0.0001465 0.0011372 0.0011858 0.0047411 0.0352467 0.7004155 3.9508100 0.6905408 0.0355291 0.0503571 0.0000026
C12 0.0000090 0.0000598 0.0001422 0.0000235 0.0002512 0.0009336 0.0027572 0.0034228 0.0483530 0.0376795 0.6905408 3.9451799 0.7001986 0.0374697 0.0000082
C13 0.0000033 0.0000329 0.0000619 0.0000229 0.0002185 0.0028092 0.0012034 0.0046244 0.0354963 0.0499717 0.0355291 0.7001986 3.9489467 0.6886437 0.0000021
C14 0.0000180 0.0001888 0.0003282 0.0000818 0.0010948 0.0194301 0.0071269 0.0291895 0.6761545 0.0346042 0.0503571 0.0374697 0.6886437 3.9228227 0.0000128
