

C1 3.9706386 0.5037102 0.0232205 0.0026382 0.0101945 0.0011105 0.0000737 0.0000221 0.0000191 0.0000031 0.0000002 0.0000001 0.0000001 0.0000000 0.0000000 0.0000000 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.4773555
C2 0.5037102 3.8616365 0.4998499 0.0222810 0.0031821 0.0003550 0.0000619 0.0000086 0.0000055 0.0000005 0.0000003 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0206480
C3 0.0232205 0.4998499 3.8686344 0.5009694 0.0219325 0.0056576 0.0009571 0.0001527 0.0000233 0.0000041 0.0000026 0.0000003 0.0000001 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0017154
C4 0.0026382 0.0222810 0.5009694 3.8660430 0.4990140 0.0238482 0.0086194 0.0011358 0.0001173 0.0000192 0.0000195 0.0000028 0.0000004 0.0000003 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0003245
C5 0.0101945 0.0031821 0.0219325 0.4990140 3.8713146 0.4818444 0.0235023 0.0060609 0.0011913 0.0001714 0.0000187 0.0000033 0.0000033 0.0000033 0.0000004 0.0000001 0.0000001 0.0000001 0.0000000 0.0000000 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0029382
C6 0.0011105 0.0003550 0.0056576 0.0238482 0.4818444 3.8615037 0.4946965 0.0252450 0.0091516 0.0011022 0.0001181 0.0000185 0.0000208 0.0000126 0.0000018 0.0000003 0.0000003 0.0000005 0.0000000 0.0000000 0.0000002 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0002466
C7 0.0000737 0.0000619 0.0009571 0.0086194 0.0235023 0.4946965 3.8629202 0.4878710 0.0228987 0.0054023 0.0010525 0.0001667 0.0000224 0.0000372 0.0000035 0.0000007 0.0000009 0.0000007 0.0000000 0.0000000 0.0000002 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000657
C8 0.0000221 0.0000086 0.0001527 0.0011358 0.0060609 0.0252450 0.4878710 3.8737156 0.4943352 0.0220903 0.0081488 0.0010358 0.0001060 0.0002777 0.0000262 0.0000081 0.0000054 0.0000038 0.0000002 0.0000000 0.0000007 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000105
C9 0.0000191 0.0000055 0.0000233 0.0001173 0.0011913 0.0091516 0.0228987 0.4943352 3.8709417 0.4920622 0.0246911 0.0054365 0.0011755 0.0001628 0.0000152 0.0000040 0.0000035 0.0000164 0.0000007 0.0000001 0.0000060 0.0000000 0.0000001 0.0000000 0.0000001 0.0000001 0.0000000 0.0000000 0.0000001 0.0000123
C10 0.0000031 0.0000005 0.0000041 0.0000192 0.0001714 0.0011022 0.0054023 0.0220903 0.4920622 3.8730987 0.4906107 0.0247278 0.0093379 0.0015353 0.0001398 0.0000262 0.0000195 0.0000902 0.0000044 0.0000006 0.0000181 0.0000002 0.0000002 0.0000001 0.0000001 0.0000003 0.0000001 0.0000002 0.0000001 0.0000020
C11 0.0000002 0.0000003 0.0000026 0.0000195 0.0000187 0.0001181 0.0010525 0.0081488 0.0246911 0.4906107 3.8645482 0.4946369 0.0226972 0.0092195 0.0010879 0.0003058 0.0001403 0.0004815 0.0000181 0.0000017 0.0000368 0.0000005 0.0000004 0.0000001 0.0000002 0.0000011 0.0000003 0.0000010 0.0000006 0.0000002
C12 0.0000001 0.0000001 0.0000003 0.0000028 0.0000033 0.0000185 0.0001667 0.0010358 0.0054365 0.0247278 0.4946369 3.8747575 0.4923696 0.0246272 0.0056682 0.0005505 0.0001557 0.0010312 0.0000295 0.0000074 0.0002118 0.0000046 0.0000011 0.0000003 0.0000006 0.0000021 0.0000007 0.0000022 0.0000011 0.0000001
C13 0.0000001 0.0000000 0.0000001 0.0000004 0.0000033 0.0000208 0.0000224 0.0001060 0.0011755 0.0093379 0.0226972 0.4923696 3.8879562 0.4892669 0.0267976 0.0048598 0.0009445 0.0146342 0.0004361 0.0000530 0.0008492 0.0000164 0.0000061 0.0000034 0.0000036 0.0000229 0.0000047 0.0000204 0.0000086 0.0000001
C14 0.0000000 0.0000000 0.0000001 0.0000003 0.0000033 0.0000126 0.0000372 0.0002777 0.0001628 0.0015353 0.0092195 0.0246272 0.4892669 3.8769557 0.4938247 0.0209904 0.0088107 0.0082595 0.0003471 0.0000601 0.0000998 0.0000109 0.0000050 0.0000018 0.0000016 0.0000032 0.0000013 0.0000035 0.0000013 0.0000000
C15 0.0000000 0.0000000 0.0000000 0.0000000 0.0000004 0.0000018 0.0000035 0.0000262 0.0000152 0.0001398 0.0010879 0.0056682 0.0267976 0.4938247 3.8908917 0.4811700 0.0525375 0.0278290 0.0040889 0.0005086 0.0000606 0.0002545 0.0000382 0.0000058 0.0000039 0.0000114 0.0000027 0.0000424 0.0000072 0.0000000
