

C1 3.9592903 0.4946814 0.0267849 0.0055923 0.0011889 0.0001627 0.0000140 0.0000315 0.0000036 0.0000014 0.0000005 0.0000001 0.0000001 0.0000000 0.0000001 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.4836729
C2 0.4946814 3.8703883 0.4850691 0.0245969 0.0085517 0.0016837 0.0001671 0.0003341 0.0000384 0.0000141 0.0000018 0.0000005 0.0000001 0.0000000 0.0000001 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0207701
C3 0.0267849 0.4850691 3.8604267 0.4937343 0.0206848 0.0090687 0.0010380 0.0001131 0.0000179 0.0000131 0.0000099 0.0000009 0.0000003 0.0000000 0.0000001 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0054577
C4 0.0055923 0.0245969 0.4937343 3.8674887 0.4867288 0.0260459 0.0056661 0.0011565 0.0001743 0.0000213 0.0000307 0.0000026 0.0000007 0.0000001 0.0000002 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000001 0.0000001 0.0013155
C5 0.0011889 0.0085517 0.0206848 0.4867288 3.8732224 0.4929639 0.0223840 0.0083997 0.0009727 0.0000928 0.0002416 0.0000221 0.0000047 0.0000005 0.0000005 0.0000007 0.0000001 0.0000001 0.0000001 0.0000002 0.0000004 0.0000004 0.0000001 0.0000011 0.0000012 0.0000850
C6 0.0001627 0.0016837 0.0090687 0.0260459 0.4929639 3.8577451 0.4921840 0.0249881 0.0055274 0.0009374 0.0001400 0.0000130 0.0000022 0.0000002 0.0000003 0.0000005 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000001 0.0000001 0.0000169
C7 0.0000140 0.0001671 0.0010380 0.0056661 0.0223840 0.4921840 3.8685432 0.4926761 0.0231428 0.0071609 0.0012662 0.0001190 0.0000110 0.0000021 0.0000017 0.0000022 0.0000002 0.0000001 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000015
C8 0.0000315 0.0003341 0.0001131 0.0011565 0.0083997 0.0249881 0.4926761 3.8633692 0.4901847 0.0215617 0.0079701 0.0010294 0.0000702 0.0000171 0.0000081 0.0000197 0.0000012 0.0000006 0.0000006 0.0000001 0.0000001 0.0000000 0.0000001 0.0000000 0.0000001 0.0000027
C9 0.0000036 0.0000384 0.0000179 0.0001743 0.0009727 0.0055274 0.0231428 0.4901847 3.8630528 0.4980311 0.0243689 0.0053612 0.0012189 0.0002059 0.0001341 0.0000219 0.0000016 0.0000013 0.0000017 0.0000003 0.0000001 0.0000000 0.0000001 0.0000001 0.0000001 0.0000007
C10 0.0000014 0.0000141 0.0000131 0.0000213 0.0000928 0.0009374 0.0071609 0.0215617 0.4980311 3.8626982 0.4868789 0.0271000 0.0058355 0.0009408 0.0004408 0.0001137 0.0000115 0.0000055 0.0000083 0.0000010 0.0000009 0.0000001 0.0000008 0.0000002 0.0000009 0.0000002
C11 0.0000005 0.0000018 0.0000099 0.0000307 0.0002416 0.0001400 0.0012662 0.0079701 0.0243689 0.4868789 3.8755629 0.4896703 0.0259625 0.0050616 0.0016337 0.0023151 0.0001232 0.0000306 0.0000365 0.0000056 0.0000022 0.0000003 0.0000015 0.0000005 0.0000022 0.0000004
C12 0.0000001 0.0000005 0.0000009 0.0000026 0.0000221 0.0000130 0.0001190 0.0010294 0.0053612 0.0271000 0.4896703 3.8581210 0.4886489 0.0231202 0.0078916 0.0215269 0.0007852 0.0001974 0.0001608 0.0000203 0.0000119 0.0000016 0.0000089 0.0000019 0.0000114 0.0000003
C13 0.0000001 0.0000001 0.0000003 0.0000007 0.0000047 0.0000022 0.0000110 0.0000702 0.0012189 0.0058355 0.0259625 0.4886489 3.8908608 0.4728736 0.0541030 0.0296585 0.0040847 0.0004778 0.0006461 0.0000574 0.0000634 0.0000081 0.0000538 0.0000086 0.0000624 0.0000001
C14 0.0000000 0.0000000 0.0000000 0.0000001 0.0000005 0.0000002 0.0000021 0.0000171 0.0002059 0.0009408 0.0050616 0.0231202 0.4728736 2.9615920 0.6739682 0.4406532 0.0120246 0.0059759 0.0029777 0.0002502 0.0001897 0.0000215 0.0001311 0.0000210 0.0001740 0.0000000
O15 0.0000001 0.0000001 0.0000001 0.0000002 0.0000005 0.0000003 0.0000017 0.0000081 0.0001341 0.0004408 0.0016337 0.0078916 0.0541030 0.6739682 8.0837716 0.1359457 0.0195820 0.0322906 0.0264577 0.0020751 0.0007683 0.0001058 0.0004580 0.0001579 0.0007726 0.0000002
O16 0.0000001 0.0000001 0.0000001 0.0000001 0.0000007 0.0000005 0.0000022 0.0000197 0.0000219 0.0001137 0.0023151 0.0215269 0.0296585 0.4406532 0.1359457 7.8579831 0.4102057 0.0468237 0.0123556 0.0012408 0.0009559 0.0001086 0.0006393 0.0000922 0.0008835 0.0000002
C17 0.0000000 0.0000000 0.0000000 0.0000000 0.0000001 0.0000001 0.0000002 0.0000012 0.0000016 0.0000115 0.0001232 0.0007852 0.0040847 0.0120246 0.0195820 0.4102057 3.6130577 0.4904299 0.0343939 0.0056410 0.0015193 0.0002332 0.0007314 0.0001820 0.0018900 0.0000000
C18 0.0000000 0.0000000 0.0000000 0.0000000 0.0000001 0.0000000 0.0000001 0.0000006 0.0000013 0.0000055 0.0000306 0.0001974 0.0004778 0.0059759 0.0322906 0.0468237 0.4904299 3.9140310 0.8554875 0.0352201 0.0204004 0.0023389 0.0119626 0.0024406 0.0236431 0.0000000
C19 0.0000000 0.0000000 0.0000000 0.0000000 0.0000001 0.0000000 0.0000001 0.0000006 0.0000017 0.0000083 0.0000365 0.0001608 0.0006461 0.0029777 0.0264577 0.0123556 0.0343939 0.8554875 3.9136453 0.5428350 0.0292808 0.0044085 0.0028961 0.0062311 0.0264687 0.0000000
C20 0.0000000 0.0000000 0.0000000 0.0000000 0.0000002 0.0000000 0.0000000 0.0000001 0.0000003 0.0000010 0.0000056 0.0000203 0.0000574 0.0002502 0.0020751 0.0012408 0.0056410 0.0352201 0.5428350 3.8763848 0.6533461 0.0335757 0.0432917 0.0341801 0.6802934 0.0000000
C21 0.0000000 0.0000000 0.0000000 0.0000000 0.0000004 0.0000000 0.0000000 0.0000001 0.0000001 0.0000009 0.0000022 0.0000119 0.0000634 0.0001897 0.0007683 0.0009559 0.0015193 0.0204004 0.0292808 0.6533461 3.9612318 0.7084465 0.0365792 0.0504599 0.0366644 0.0000000
C22 0.0000000 0.0000000 0.0000000 0.0000000 0.0000004 0.0000000 0.0000000 0.0000000 0.0000000 0.0000001 0.0000003 0.0000016 0.0000081 0.0000215 0.0001058 0.0001086 0.0002332 0.0023389 0.0044085 0.0335757 0.7084465 3.9392594 0.6880832 0.0374416 0.0491103 0.0000000
C23 0.0000000 0.0000000 0.0000000 0.0000000 0.0000001 0.0000000 0.0000000 0.0000001 0.0000001 0.0000008 0.0000015 0.0000089 0.0000538 0.0001311 0.0004580 0.0006393 0.0007314 0.0119626 0.0028961 0.0432917 0.0365792 0.6880832 3.9486490 0.6992469 0.0357155 0.0000000
