

C1 3.9670192 0.4964993 0.0247838 0.0059504 0.0003389 0.0020804 0.0002937 0.0000271 0.0000051 0.0000019 0.0000006 0.0000001 0.0000001 0.0000000 0.0000001 0.0000000 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.4721954
C2 0.4964993 3.8561886 0.5039871 0.0201220 0.0020759 0.0051539 0.0006163 0.0001896 0.0000119 0.0000021 0.0000011 0.0000003 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0198750
C3 0.0247838 0.5039871 3.8674567 0.5069059 0.0220344 0.0025585 0.0002720 0.0002708 0.0000251 0.0000045 0.0000038 0.0000007 0.0000002 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0033597
C4 0.0059504 0.0201220 0.5069059 3.8719532 0.5003632 0.0214406 0.0055576 0.0008444 0.0000862 0.0000381 0.0000225 0.0000025 0.0000010 0.0000005 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0058252
C5 0.0003389 0.0020759 0.0220344 0.5003632 3.8681693 0.4996530 0.0255407 0.0082694 0.0012709 0.0002435 0.0001367 0.0000229 0.0000045 0.0000021 0.0000001 0.0000001 0.0000002 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0005028
C6 0.0020804 0.0051539 0.0025585 0.0214406 0.4996530 3.8686709 0.4854921 0.0207404 0.0057074 0.0010181 0.0002489 0.0000303 0.0000042 0.0000010 0.0000003 0.0000001 0.0000002 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0035374
C7 0.0002937 0.0006163 0.0002720 0.0055576 0.0255407 0.4854921 3.8692288 0.4987930 0.0218302 0.0062881 0.0011415 0.0000904 0.0000364 0.0000126 0.0000009 0.0000003 0.0000006 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0004694
C8 0.0000271 0.0001896 0.0002708 0.0008444 0.0082694 0.0207404 0.4987930 3.8659538 0.4967420 0.0214084 0.0066567 0.0007924 0.0003610 0.0000866 0.0000042 0.0000013 0.0000035 0.0000003 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000244
C9 0.0000051 0.0000119 0.0000251 0.0000862 0.0012709 0.0057074 0.0218302 0.4967420 3.8598249 0.4927567 0.0227277 0.0053092 0.0007646 0.0001102 0.0000173 0.0000028 0.0000051 0.0000005 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000207
C10 0.0000019 0.0000021 0.0000045 0.0000381 0.0002435 0.0010181 0.0062881 0.0214084 0.4927567 3.8670911 0.4930696 0.0231141 0.0069778 0.0009027 0.0000961 0.0000178 0.0000272 0.0000037 0.0000007 0.0000002 0.0000001 0.0000000 0.0000000 0.0000077
C11 0.0000006 0.0000011 0.0000038 0.0000225 0.0001367 0.0002489 0.0011415 0.0066567 0.0227277 0.4930696 3.8648113 0.4946986 0.0225912 0.0053467 0.0009716 0.0001167 0.0002040 0.0000217 0.0000043 0.0000008 0.0000003 0.0000000 0.0000001 0.0000028
C12 0.0000001 0.0000003 0.0000007 0.0000025 0.0000229 0.0000303 0.0000904 0.0007924 0.0053092 0.0231141 0.4946986 3.8640219 0.4946281 0.0234214 0.0078744 0.0008744 0.0007270 0.0001344 0.0000183 0.0000025 0.0000015 0.0000002 0.0000004 0.0000006
C13 0.0000001 0.0000001 0.0000002 0.0000010 0.0000045 0.0000042 0.0000364 0.0003610 0.0007646 0.0069778 0.0225912 0.4946281 3.8713829 0.4925535 0.0240068 0.0050407 0.0027616 0.0008933 0.0002203 0.0000476 0.0000155 0.0000012 0.0000054 0.0000002
C14 0.0000000 0.0000000 0.0000001 0.0000005 0.0000021 0.0000010 0.0000126 0.0000866 0.0001102 0.0009027 0.0053467 0.0234214 0.4925535 3.8572464 0.4908042 0.0206154 0.0255723 0.0046978 0.0007836 0.0001348 0.0000533 0.0000041 0.0000156 0.0000002
C15 0.0000001 0.0000000 0.0000000 0.0000000 0.0000001 0.0000003 0.0000009 0.0000042 0.0000173 0.0000961 0.0009716 0.0078744 0.0240068 0.4908042 3.8980408 0.4720220 0.0483502 0.0353119 0.0043296 0.0005122 0.0002661 0.0000310 0.0000697 0.0000002
C16 0.0000000 0.0000000 0.0000000 0.0000000 0.0000001 0.0000001 0.0000003 0.0000013 0.0000028 0.0000178 0.0001167 0.0008744 0.0050407 0.0206154 0.4720220 2.9510663 0.6716027 0.4450850 0.0118660 0.0042295 0.0009257 0.0001216 0.0002207 0.0000001
O17 0.0000001 0.0000000 0.0000000 0.0000000 0.0000002 0.0000002 0.0000006 0.0000035 0.0000051 0.0000272 0.0002040 0.0007270 0.0027616 0.0255723 0.0483502 0.6716027 8.1082907 0.1361904 0.0206052 0.0024191 0.0003627 0.0001525 0.0000620 0.0000002
O18 0.0000000 0.0000000 0.0000000 0.0000000 0.0000001 0.0000001 0.0000001 0.0000003 0.0000005 0.0000037 0.0000217 0.0001344 0.0008933 0.0046978 0.0353119 0.4450850 0.1361904 7.8983149 0.4109728 0.0399645 0.0064303 0.0015076 0.0010907 0.0000001
C19 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000001 0.0000001 0.0000007 0.0000043 0.0000183 0.0002203 0.0007836 0.0043296 0.0118660 0.0206052 0.4109728 3.6131895 0.4788337 0.0252361 0.0110184 0.0053376 0.0000000
C20 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000002 0.0000008 0.0000025 0.0000476 0.0001348 0.0005122 0.0042295 0.0024191 0.0399645 0.4788337 3.8699799 0.4798446 0.0263078 0.0256968 0.0000000
C21 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000001 0.0000003 0.0000015 0.0000155 0.0000533 0.0002661 0.0009257 0.0003627 0.0064303 0.0252361 0.4798446 3.8000627 0.4905218 0.4954164 0.0000000
C22 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000002 0.0000012 0.0000041 0.0000310 0.0001216 0.0001525 0.0015076 0.0110184 0.0263078 0.4905218 3.9737580 0.0257211 0.0000000
C23 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000001 0.0000004 0.0000054 0.0000156 0.0000697 0.0002207 0.0000620 0.0010907 0.0053376 0.0256968 0.4954164 0.0257211 3.9747780 0.0000000
