

C1 3.9618792 0.4940600 0.0303514 0.0062413 0.0013861 0.0000682 0.0001612 0.0000116 0.0000038 0.0000006 0.0000011 0.0000087 0.0000010 0.0000001 0.0000001 0.0000000 0.0000000 0.0000013 0.0000001 0.0000000 0.0000003 0.0000009 0.0000008 0.0000004 0.0000000 0.0000000 0.0000000 0.0000000 0.4754919
C2 0.4940600 3.8824066 0.4912962 0.0228308 0.0108732 0.0003587 0.0006282 0.0000505 0.0000079 0.0000017 0.0000045 0.0000312 0.0000048 0.0000003 0.0000002 0.0000001 0.0000000 0.0000037 0.0000004 0.0000001 0.0000006 0.0000017 0.0000019 0.0000007 0.0000001 0.0000001 0.0000000 0.0000000 0.0216867
C3 0.0303514 0.4912962 3.8599241 0.4816428 0.0358706 0.0046202 0.0024715 0.0005726 0.0001743 0.0000070 0.0000046 0.0000249 0.0000046 0.0000005 0.0000002 0.0000001 0.0000000 0.0000200 0.0000012 0.0000003 0.0000022 0.0000393 0.0000288 0.0000066 0.0000007 0.0000006 0.0000002 0.0000000 0.0073116
C4 0.0062413 0.0228308 0.4816428 3.6121216 0.4084810 0.0122627 0.0239348 0.0037919 0.0007175 0.0000339 0.0000419 0.0002165 0.0000298 0.0000054 0.0000017 0.0000003 0.0000001 0.0001073 0.0000094 0.0000015 0.0000091 0.0001422 0.0001057 0.0000280 0.0000027 0.0000021 0.0000007 0.0000001 0.0007089
O5 0.0013861 0.0108732 0.0358706 0.4084810 7.8697195 0.4439643 0.1346523 0.0357785 0.0045107 0.0003965 0.0004993 0.0012853 0.0005742 0.0000354 0.0000102 0.0000036 0.0000007 0.0009505 0.0000964 0.0000271 0.0000616 0.0007013 0.0004809 0.0001626 0.0000139 0.0000086 0.0000028 0.0000004 0.0001061
C6 0.0000682 0.0003587 0.0046202 0.0122627 0.4439643 2.9229416 0.6711016 0.4860871 0.0175632 0.0021978 0.0018935 0.0052135 0.0006896 0.0000823 0.0000270 0.0000045 0.0000007 0.0051104 0.0002074 0.0000476 0.0001819 0.0038856 0.0018318 0.0010529 0.0000450 0.0000314 0.0000076 0.0000011 0.0000085
O7 0.0001612 0.0006282 0.0024715 0.0239348 0.1346523 0.6711016 8.0215294 0.0486333 0.0081811 0.0035519 0.0182040 0.0233207 0.0164857 0.0023517 0.0003900 0.0000648 0.0000102 0.0282237 0.0008145 0.0002057 0.0009167 0.0007119 0.0005421 0.0006377 0.0000301 0.0000155 0.0000038 0.0000006 0.0000169
C8 0.0000116 0.0000505 0.0005726 0.0037919 0.0357785 0.4860871 0.0486333 3.9098748 0.4686731 0.0209813 0.0024428 0.0020914 0.0004378 0.0000316 0.0000197 0.0000031 0.0000007 0.0401553 0.0033859 0.0005680 0.0012463 0.0243190 0.0087599 0.0090077 0.0003101 0.0001755 0.0000406 0.0000039 0.0000014
C9 0.0000038 0.0000079 0.0001743 0.0007175 0.0045107 0.0175632 0.0081811 0.4686731 3.4692193 0.4746148 0.0206639 0.0096285 0.0035785 0.0002689 0.0001554 0.0000303 0.0000062 0.4010022 0.0102318 0.0052330 0.0086435 0.4277215 0.0460432 0.0290490 0.0040527 0.0003444 0.0001926 0.0000413 0.0000004
C10 0.0000006 0.0000017 0.0000070 0.0000339 0.0003965 0.0021978 0.0035519 0.0209813 0.4746148 3.9149254 0.4854217 0.0554540 0.0351890 0.0038740 0.0004427 0.0001738 0.0000394 0.0338197 0.0028475 0.0005280 0.0207204 0.0240161 0.0077210 0.0112913 0.0003840 0.0001869 0.0000504 0.0000028 0.0000001
C11 0.0000011 0.0000045 0.0000046 0.0000419 0.0004993 0.0018935 0.0182040 0.0024428 0.0206639 0.4854217 2.9161649 0.6701894 0.4478217 0.0123061 0.0048729 0.0009306 0.0001435 0.0041999 0.0002305 0.0000558 0.0012519 0.0039707 0.0018902 0.0011334 0.0000510 0.0000334 0.0000055 0.0000007 0.0000001
O12 0.0000087 0.0000312 0.0000249 0.0002165 0.0012853 0.0052135 0.0233207 0.0020914 0.0096285 0.0554540 0.6701894 8.0799320 0.1272808 0.0123821 0.0167309 0.0014170 0.0002416 0.0013020 0.0001878 0.0000711 0.0011715 0.0014870 0.0010431 0.0004405 0.0000453 0.0000067 0.0000022 0.0000007 0.0000022
O13 0.0000010 0.0000048 0.0000046 0.0000298 0.0005742 0.0006896 0.0164857 0.0004378 0.0035785 0.0351890 0.4478217 0.1272808 7.8366572 0.4093819 0.0440826 0.0073106 0.0015224 0.0108414 0.0057613 0.0011391 0.0099149 0.0004556 0.0003929 0.0002911 0.0000111 0.0000085 0.0000019 0.0000003 0.0000004
C14 0.0000001 0.0000003 0.0000005 0.0000054 0.0000354 0.0000823 0.0023517 0.0000316 0.0002689 0.0038740 0.0123061 0.0123821 0.4093819 3.6035709 0.4724695 0.0270938 0.0063675 0.0002571 0.0001231 0.0000461 0.0002343 0.0000830 0.0000385 0.0000548 0.0000014 0.0000017 0.0000004 0.0000000 0.0000001
C15 0.0000001 0.0000002 0.0000002 0.0000017 0.0000102 0.0000270 0.0003900 0.0000197 0.0001554 0.0004427 0.0048729 0.0167309 0.0440826 0.4724695 3.8770604 0.4923790 0.0297350 0.0001641 0.0000496 0.0000085 0.0000780 0.0000128 0.0000135 0.0000076 0.0000005 0.0000002 0.0000001 0.0000000 0.0000001
C16 0.0000000 0.0000001 0.0000001 0.0000003 0.0000036 0.0000045 0.0000648 0.0000031 0.0000303 0.0001738 0.0009306 0.0014170 0.0073106 0.0270938 0.4923790 3.8724362 0.4943552 0.0000423 0.0000148 0.0000027 0.0000254 0.0000025 0.0000020 0.0000044 0.0000002 0.0000001 0.0000000 0.0000000 0.0000000
C17 0.0000000 0.0000000 0.0000000 0.0000001 0.0000007 0.0000007 0.0000102 0.0000007 0.0000062 0.0000394 0.0001435 0.0002416 0.0015224 0.0063675 0.0297350 0.4943552 3.9681876 0.0000117 0.0000041 0.0000006 0.0000071 0.0000005 0.0000005 0.0000013 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000
O18 0.0000013 0.0000037 0.0000200 0.0001073 0.0009505 0.0051104 0.0282237 0.0401553 0.4010022 0.0338197 0.0041999 0.0013020 0.0108414 0.0002571 0.0001641 0.0000423 0.0000117 7.7947451 0.4303876 0.0357450 0.1302598 0.0304995 0.0377151 0.0051537 0.0009378 0.0000761 0.0000295 0.0000163 0.0000007
C19 0.0000001 0.0000004 0.0000012 0.0000094 0.0000964 0.0002074 0.0008145 0.0033859 0.0102318 0.0028475 0.0002305 0.0001878 0.0057613 0.0001231 0.0000496 0.0000148 0.0000041 0.4303876 2.9114527 0.4739233 0.6680260 0.0021857 0.0093769 0.0004887 0.0000701 0.0000165 0.0000034 0.0000015 0.0000001
C20 0.0000000 0.0000001 0.0000003 0.0000015 0.0000271 0.0000476 0.0002057 0.0005680 0.0052330 0.0005280 0.0000558 0.0000711 0.0011391 0.0000461 0.0000085 0.0000027 0.0000006 0.0357450 0.4739233 3.9826176 0.0551739 0.0003380 0.0007984 0.0001039 0.0000173 0.0000032 0.0000005 0.0000005 0.0000001
O21 0.0000003 0.0000006 0.0000022 0.0000091 0.0000616 0.0001819 0.0009167 0.0012463 0.0086435 0.0207204 0.0012519 0.0011715 0.0099149 0.0002343 0.0000780 0.0000254 0.0000071 0.1302598 0.6680260 0.0551739 8.0797499 0.0070792 0.0355344 0.0013455 0.0001316 0.0000879 0.0000157 0.0000061 0.0000002
C22 0.0000009 0.0000017 0.0000393 0.0001422 0.0007013 0.0038856 0.0007119 0.0243190 0.4277215 0.0240161 0.0039707 0.0014870 0.0004556 0.0000830 0.0000128 0.0000025 0.0000005 0.0304995 0.0021857 0.0003380 0.0070792 2.8757739 0.6764623 0.4412685 0.0116389 0.0036725 0.0006566 0.0002011 0.0000001
O23 0.0000008 0.0000019 0.0000288 0.0001057 0.0004809 0.0018318 0.0005421 0.0087599 0.0460432 0.0077210 0.0018902 0.0010431 0.0003929 0.0000385 0.0000135 0.0000020 0.0000005 0.0377151 0.0093769 0.0007984 0.0355344 0.6764623 8.0301281 0.1376715 0.0123259 0.0147668 0.0012932 0.0004298 0.0000003
O24 0.0000004 0.0000007 0.0000066 0.0000280 0.0001626 0.0010529 0.0006377 0.0090077 0.0290490 0.0112913 0.0011334 0.0004405 0.0002911 0.0000548 0.0000076 0.0000044 0.0000013 0.0051537 0.0004887 0.0001039 0.0013455 0.4412685 0.1376715 7.9213321 0.4042573 0.0394541 0.0071025 0.0010454 0.0000003
C25 0.0000000 0.0000001 0.0000007 0.0000027 0.0000139 0.0000450 0.0000301 0.0003101 0.0040527 0.0003840 0.0000510 0.0000453 0.0000111 0.0000014 0.0000005 0.0000002 0.0000001 0.0009378 0.0000701 0.0000173 0.0001316 0.0116389 0.0123259 0.4042573 3.6069623 0.4778250 0.0266459 0.0101273 0.0000001
C26 0.0000000 0.0000001 0.0000006 0.0000021 0.0000086 0.0000314 0.0000155 0.0001755 0.0003444 0.0001869 0.0000334 0.0000067 0.0000085 0.0000017 0.0000002 0.0000001 0.0000000 0.0000761 0.0000165 0.0000032 0.0000879 0.0036725 0.0147668 0.0394541 0.4778250 3.8761465 0.4912769 0.0252705 0.0000000
C27 0.0000000 0.0000000 0.0000002 0.0000007 0.0000028 0.0000076 0.0000038 0.0000406 0.0001926 0.0000504 0.0000055 0.0000022 0.0000019 0.0000004 0.0000001 0.0000000 0.0000000 0.0000295 0.0000034 0.0000005 0.0000157 0.0006566 0.0012932 0.0071025 0.0266459 0.4912769 3.8770001 0.4949998 0.0000000
C28 0.0000000 0.0000000 0.0000000 0.0000001 0.0000004 0.0000011 0.0000006 0.0000039 0.0000413 0.0000028 0.0000007 0.0000007 0.0000003 0.0000000 0.0000000 0.0000000 0.0000000 0.0000163 0.0000015 0.0000005 0.0000061 0.0002011 0.0004298 0.0010454 0.0101273 0.0252705 0.4949998 3.9670275 0.0000000
