

O1 8.0905227 0.7016386 0.1468539 0.0139394 0.0161695 0.0014146 0.0002580 0.0000529 0.0000139 0.0000933 0.0004223 0.0465361
C2 0.7016386 2.9621245 0.4561491 0.0127118 0.0040151 0.0010560 0.0001508 0.0000400 0.0000043 0.0000257 0.0001515 0.4417413
O3 0.1468539 0.4561491 7.9209324 0.4068690 0.0362497 0.0094411 0.0011567 0.0002837 0.0000819 0.0001999 0.0021050 0.0300817
C4 0.0139394 0.0127118 0.4068690 3.6053591 0.4797668 0.0212793 0.0056110 0.0006362 0.0002413 0.0010773 0.0078337 0.0044099
C5 0.0161695 0.0040151 0.0362497 0.4797668 3.8661155 0.4848455 0.0280934 0.0025409 0.0005309 0.0054469 0.0228413 0.0004557
C6 0.0014146 0.0010560 0.0094411 0.0212793 0.4848455 3.8104348 0.4757983 0.0215072 0.0040942 0.0254988 0.4786019 0.0000638
C7 0.0002580 0.0001508 0.0011567 0.0056110 0.0280934 0.4757983 3.8873287 0.4885277 0.0225807 0.0081013 0.0203101 0.0000155
C8 0.0000529 0.0000400 0.0002837 0.0006362 0.0025409 0.0215072 0.4885277 3.8673991 0.4887208 0.0214170 0.0186552 0.0000060
C9 0.0000139 0.0000043 0.0000819 0.0002413 0.0005309 0.0040942 0.0225807 0.4887208 3.8789749 0.4933520 0.0241445 0.0000013
C10 0.0000933 0.0000257 0.0001999 0.0010773 0.0054469 0.0254988 0.0081013 0.0214170 0.4933520 3.8788918 0.4835272 0.0000028
C11 0.0004223 0.0001515 0.0021050 0.0078337 0.0228413 0.4786019 0.0203101 0.0186552 0.0241445 0.4835272 3.8843055 0.0000154
