

C1 3.6533951 0.4389803 0.0167504 0.0121917 0.0009574 0.0003439 0.0001527 0.0000371 0.0000385 0.0000024 0.0000026 0.0000003 0.0000006 0.0000388 0.0001663 0.4647449
O2 0.4389803 7.9455466 0.4557291 0.0763082 0.0090109 0.0020128 0.0010379 0.0002011 0.0001883 0.0000116 0.0000117 0.0000030 0.0000024 0.0002679 0.0009147 0.0368765
C3 0.0167504 0.4557291 3.6264957 0.8497570 0.0341459 0.0190767 0.0081990 0.0013277 0.0008237 0.0000531 0.0000456 0.0000115 0.0000107 0.0013825 0.0082938 0.0045437
C4 0.0121917 0.0763082 0.8497570 3.9514330 0.5177892 0.0265278 0.0074346 0.0015846 0.0019795 0.0001297 0.0001245 0.0000205 0.0000182 0.0016824 0.0075700 0.0039790
C5 0.0009574 0.0090109 0.0341459 0.5177892 3.8794426 0.4902136 0.0263893 0.0047430 0.0023322 0.0002178 0.0001372 0.0000292 0.0000293 0.0048589 0.0263641 0.0001965
C6 0.0003439 0.0020128 0.0190767 0.0265278 0.4902136 3.8718062 0.6717912 0.0343925 0.0434728 0.0025512 0.0025647 0.0003609 0.0003447 0.0354230 0.6790709 0.0000436
C7 0.0001527 0.0010379 0.0081990 0.0074346 0.0263893 0.6717912 3.9575647 0.6938961 0.0338420 0.0045602 0.0006339 0.0008878 0.0004359 0.0508813 0.0365442 0.0000292
C8 0.0000371 0.0002011 0.0013277 0.0015846 0.0047430 0.0343925 0.6938961 3.9436179 0.6722100 0.0264510 0.0061444 0.0078761 0.0006741 0.0384902 0.0486786 0.0000105
C9 0.0000385 0.0001883 0.0008237 0.0019795 0.0023322 0.0434728 0.0338420 0.6722100 3.8662750 0.5084085 0.0237812 0.0077513 0.0062972 0.6740487 0.0332297 0.0000046
C10 0.0000024 0.0000116 0.0000531 0.0001297 0.0002178 0.0025512 0.0045602 0.0264510 0.5084085 3.8739164 0.4790579 0.0241782 0.0242472 0.0267724 0.0043707 0.0000005
C11 0.0000026 0.0000117 0.0000456 0.0001245 0.0001372 0.0025647 0.0006339 0.0061444 0.0237812 0.4790579 3.7865317 0.4890064 0.4898997 0.0062426 0.0005942 0.0000002
C12 0.0000003 0.0000030 0.0000115 0.0000205 0.0000292 0.0003609 0.0008878 0.0078761 0.0077513 0.0241782 0.4890064 3.9557675 0.0275544 0.0008700 0.0004410 0.0000002
C13 0.0000006 0.0000024 0.0000107 0.0000182 0.0000293 0.0003447 0.0004359 0.0006741 0.0062972 0.0242472 0.4898997 0.0275544 3.9678486 0.0072423 0.0007329 0.0000002
C14 0.0000388 0.0002679 0.0013825 0.0016824 0.0048589 0.0354230 0.0508813 0.0384902 0.6740487 0.0267724 0.0062426 0.0008700 0.0072423 3.9599321 0.6936625 0.0000185
C15 0.0001663 0.0009147 0.0082938 0.0075700 0.0263641 0.6790709 0.0365442 0.0486786 0.0332297 0.0043707 0.0005942 0.0004410 0.0007329 0.6936625 3.9385651 0.0000517
