

C1 3.9603121 0.4994508 0.0235702 0.0032820 0.0243869 0.0009148 0.0001071 0.0000206 0.0000151 0.0000031 0.4638496
C2 0.4994508 3.8620303 0.4892851 0.0249516 0.0121454 0.0047970 0.0005652 0.0002543 0.0000401 0.0000111 0.0198552
C3 0.0235702 0.4892851 3.8938672 0.4818138 0.0470567 0.0353960 0.0040140 0.0005070 0.0004828 0.0002300 0.0012578
C4 0.0032820 0.0249516 0.4818138 2.9645388 0.6667640 0.4480165 0.0113638 0.0043077 0.0040193 0.0008305 0.0012924
O5 0.0243869 0.0121454 0.0470567 0.6667640 8.0493441 0.1407240 0.0212587 0.0032614 0.0027031 0.0005752 0.0241908
O6 0.0009148 0.0047970 0.0353960 0.4480165 0.1407240 7.9122531 0.3948434 0.0408110 0.0380705 0.0068755 0.0006217
C7 0.0001071 0.0005652 0.0040140 0.0113638 0.0212587 0.3948434 3.5624748 0.4801379 0.4759097 0.0271143 0.0000543
C8 0.0000206 0.0002543 0.0005070 0.0043077 0.0032614 0.0408110 0.4801379 3.9666912 0.0237976 0.0144123 0.0000155
C9 0.0000151 0.0000401 0.0004828 0.0040193 0.0027031 0.0380705 0.4759097 0.0237976 3.8787382 0.4960710 0.0000082
C10 0.0000031 0.0000111 0.0002300 0.0008305 0.0005752 0.0068755 0.0271143 0.0144123 0.4960710 3.9585897 0.0000011
