

C1 3.9883990 0.4837536 0.0590375 0.0348676 0.0043934 0.0004343 0.0000861 0.0000071 0.0000379 0.0000118 0.0000041 0.0000041 0.0000002 0.0000000 0.0000008 0.0003214 0.0011402 0.0010710 0.0002477 0.0000167 0.0000032 0.0000368 0.0001389 0.0000379 0.0000143 0.0000050 0.0003089 0.0000112 0.0000033 0.0000004 0.0000002 0.0000010 0.0000019 0.0000017 0.0000002 0.0000001 0.0000004 0.0000270 0.0000125 0.0000025 0.0000007 0.0000029 0.0001906 0.0000464 0.0000080 0.0000008 0.0000226 0.4629169
C2 0.4837536 2.9315505 0.6672195 0.4442168 0.0118210 0.0034035 0.0010448 0.0000379 0.0001390 0.0000119 0.0000037 0.0000053 0.0000004 0.0000001 0.0000009 0.0004166 0.0014508 0.0001461 0.0000473 0.0000064 0.0000023 0.0000055 0.0001197 0.0000494 0.0000054 0.0000020 0.0000368 0.0000114 0.0000026 0.0000005 0.0000001 0.0000010 0.0000181 0.0000052 0.0000005 0.0000002 0.0000009 0.0000937 0.0000347 0.0000056 0.0000020 0.0000072 0.0005324 0.0001879 0.0000346 0.0000039 0.0000603 0.0223794
O3 0.0590375 0.6672195 8.1056192 0.1386058 0.0145225 0.0165459 0.0023466 0.0001141 0.0010847 0.0000374 0.0000146 0.0000110 0.0000016 0.0000007 0.0000025 0.0004660 0.0013971 0.0001862 0.0000750 0.0000090 0.0000054 0.0000116 0.0004795 0.0001701 0.0000142 0.0000038 0.0001462 0.0000615 0.0000168 0.0000017 0.0000007 0.0000066 0.0000251 0.0000438 0.0000033 0.0000008 0.0000038 0.0002052 0.0000592 0.0000099 0.0000031 0.0000184 0.0014482 0.0005335 0.0000551 0.0000122 0.0000936 0.0111444
O4 0.0348676 0.4442168 0.1386058 7.9112023 0.4123253 0.0345093 0.0159946 0.0005199 0.0001720 0.0000085 0.0000045 0.0000036 0.0000006 0.0000002 0.0000014 0.0001538 0.0004968 0.0000955 0.0000352 0.0000043 0.0000012 0.0000072 0.0000725 0.0000362 0.0000029 0.0000015 0.0000283 0.0000112 0.0000033 0.0000008 0.0000003 0.0000028 0.0002885 0.0000443 0.0000046 0.0000013 0.0000116 0.0010596 0.0004315 0.0000754 0.0000229 0.0000604 0.0057107 0.0019901 0.0002602 0.0000556 0.0003491 0.0043101
C5 0.0043934 0.0118210 0.0145225 0.4123253 3.5946334 0.4585668 0.0384835 0.0043677 0.0008953 0.0000456 0.0000430 0.0000095 0.0000017 0.0000004 0.0000016 0.0000436 0.0000200 0.0000034 0.0000013 0.0000002 0.0000001 0.0000006 0.0000035 0.0000009 0.0000002 0.0000001 0.0000024 0.0000075 0.0000019 0.0000003 0.0000001 0.0000010 0.0002334 0.0001032 0.0000068 0.0000019 0.0000129 0.0037824 0.0011640 0.0001499 0.0000504 0.0001232 0.0210806 0.0139082 0.0014856 0.0001716 0.0023598 0.0004444
C6 0.0004343 0.0034035 0.0165459 0.0345093 0.4585668 3.5035953 0.4200730 0.0112154 0.0081206 0.0003362 0.0002379 0.0000539 0.0000089 0.0000029 0.0000065 0.0002158 0.0000700 0.0000075 0.0000028 0.0000005 0.0000002 0.0000011 0.0000098 0.0000035 0.0000006 0.0000002 0.0000023 0.0000273 0.0000074 0.0000009 0.0000003 0.0000022 0.0029173 0.0010209 0.0000662 0.0000096 0.0000654 0.0232127 0.0051744 0.0005682 0.0001962 0.0005677 0.4412268 0.0327105 0.0036725 0.0004679 0.0022796 0.0001583
O7 0.0000861 0.0010448 0.0023466 0.0159946 0.0384835 0.4200730 7.9137522 0.4099508 0.0714399 0.0034870 0.0012212 0.0003055 0.0000522 0.0000174 0.0000299 0.0042815 0.0028559 0.0002446 0.0000968 0.0000153 0.0000051 0.0000128 0.0002702 0.0001231 0.0000145 0.0000058 0.0000258 0.0007180 0.0001799 0.0000296 0.0000075 0.0000382 0.0396171 0.0144473 0.0006249 0.0000817 0.0011227 0.0063502 0.0008311 0.0000838 0.0000296 0.0001426 0.0467921 0.0079972 0.0011727 0.0003148 0.0008228 0.0000297
C8 0.0000071 0.0000379 0.0001141 0.0005199 0.0043677 0.0112154 0.4099508 3.1335528 0.4003152 0.0102693 0.0064889 0.0009077 0.0000889 0.0000272 0.0001002 0.0132150 0.0004180 0.0000465 0.0000224 0.0000017 0.0000004 0.0000027 0.0003814 0.0000671 0.0000166 0.0000020 0.0000158 0.0035795 0.0007265 0.0000752 0.0000289 0.0000957 0.4326018 0.0379880 0.0032511 0.0004516 0.0020366 0.0192848 0.0052826 0.0006147 0.0002071 0.0004667 0.0029958 0.0003780 0.0000514 0.0000178 0.0000391 0.0000036
O9 0.0000379 0.0001390 0.0010847 0.0001720 0.0008953 0.0081206 0.0714399 0.4003152 7.9173193 0.3892871 0.0409302 0.0073095 0.0010398 0.0004362 0.0003668 0.0760903 0.0116950 0.0013085 0.0006361 0.0000681 0.0000198 0.0000484 0.0032134 0.0005231 0.0000692 0.0000181 0.0000743 0.0375660 0.0048875 0.0004048 0.0001578 0.0007760 0.0394839 0.0073558 0.0008687 0.0002426 0.0007158 0.0064134 0.0011534 0.0001307 0.0000279 0.0003290 0.0011617 0.0001726 0.0000213 0.0000051 0.0000558 0.0000444
C10 0.0000118 0.0000119 0.0000374 0.0000085 0.0000456 0.0003362 0.0034870 0.0102693 0.3892871 3.1395217 0.4485900 0.0295352 0.0033554 0.0005145 0.0020719 0.4033727 0.0137119 0.0042715 0.0004257 0.0000286 0.0000036 0.0000725 0.0183572 0.0021494 0.0003796 0.0000712 0.0002694 0.4286932 0.0301077 0.0030836 0.0004554 0.0021457 0.0019777 0.0003357 0.0000557 0.0000153 0.0001823 0.0002658 0.0000588 0.0000130 0.0000018 0.0000085 0.0000634 0.0000089 0.0000015 0.0000003 0.0000037 0.0000317
