

C1 3.9685053 0.5060616 0.0256905 0.0056080 0.0013170 0.0000746 0.0000285 0.0000079 0.0000008 0.0004603 0.0000007 0.0000004 0.0000011 0.0000026 0.0000741 0.0000318 0.0000016 0.0000014 0.4814035
C2 0.5060616 3.8646921 0.4872384 0.0285075 0.0054159 0.0010119 0.0001564 0.0000300 0.0000043 0.0001126 0.0000019 0.0000006 0.0000007 0.0000043 0.0000234 0.0000069 0.0000017 0.0000006 0.0210342
C3 0.0256905 0.4872384 3.8694731 0.4881643 0.0222869 0.0076581 0.0008337 0.0000521 0.0000195 0.0002530 0.0000091 0.0000011 0.0000013 0.0000221 0.0000873 0.0000186 0.0000042 0.0000022 0.0016929
C4 0.0056080 0.0285075 0.4881643 3.8647253 0.4970422 0.0239451 0.0052994 0.0011568 0.0000528 0.0001226 0.0000334 0.0000057 0.0000009 0.0000040 0.0000116 0.0000020 0.0000007 0.0000009 0.0004532
C5 0.0013170 0.0054159 0.0222869 0.4970422 3.8691843 0.4878861 0.0257243 0.0056008 0.0005444 0.0010800 0.0001823 0.0000231 0.0000056 0.0000066 0.0000032 0.0000031 0.0000022 0.0000079 0.0000906
C6 0.0000746 0.0010119 0.0076581 0.0239451 0.4878861 3.8791144 0.4904232 0.0237518 0.0036336 0.0161490 0.0006919 0.0000565 0.0000285 0.0000297 0.0000124 0.0000077 0.0000100 0.0000270 0.0000122
C7 0.0000285 0.0001564 0.0008337 0.0052994 0.0257243 0.4904232 3.8640149 0.4923421 0.0206539 0.0149451 0.0053785 0.0009461 0.0000748 0.0000738 0.0000154 0.0000346 0.0000102 0.0000550 0.0000022
C8 0.0000079 0.0000300 0.0000521 0.0011568 0.0056008 0.0237518 0.4923421 3.8943936 0.4771034 0.0460128 0.0393686 0.0040608 0.0004526 0.0003626 0.0000666 0.0001665 0.0000506 0.0003023 0.0000005
C9 0.0000008 0.0000043 0.0000195 0.0000528 0.0005444 0.0036336 0.0206539 0.4771034 2.9343744 0.6652184 0.4310454 0.0117462 0.0036362 0.0010734 0.0001956 0.0002484 0.0001404 0.0007998 0.0000002
O10 0.0004603 0.0001126 0.0002530 0.0001226 0.0010800 0.0161490 0.0149451 0.0460128 0.6652184 8.0894675 0.1365154 0.0145300 0.0151782 0.0193275 0.0027403 0.0010228 0.0010795 0.0021316 0.0000342
O11 0.0000007 0.0000019 0.0000091 0.0000334 0.0001823 0.0006919 0.0053785 0.0393686 0.4310454 0.1365154 7.9059665 0.4148844 0.0395593 0.0071091 0.0012030 0.0030360 0.0012526 0.0104931 0.0000003
C12 0.0000004 0.0000006 0.0000011 0.0000057 0.0000231 0.0000565 0.0009461 0.0040608 0.0117462 0.0145300 0.4148844 3.5817781 0.4930011 0.0270794 0.0043401 0.0034233 0.0048242 0.0294305 0.0000001
C13 0.0000011 0.0000007 0.0000013 0.0000009 0.0000056 0.0000285 0.0000748 0.0004526 0.0036362 0.0151782 0.0395593 0.4930011 3.8648099 0.6675371 0.0347054 0.0501490 0.0362632 0.6796862 0.0000002
C14 0.0000026 0.0000043 0.0000221 0.0000040 0.0000066 0.0000297 0.0000738 0.0003626 0.0010734 0.0193275 0.0071091 0.0270794 0.6675371 3.9309433 0.7025826 0.0377700 0.0509216 0.0351724 0.0000004
C15 0.0000741 0.0000234 0.0000873 0.0000116 0.0000032 0.0000124 0.0000154 0.0000666 0.0001956 0.0027403 0.0012030 0.0043401 0.0347054 0.7025826 3.9560079 0.6922917 0.0366362 0.0477437 0.0000078
C16 0.0000318 0.0000069 0.0000186 0.0000020 0.0000031 0.0000077 0.0000346 0.0001665 0.0002484 0.0010228 0.0030360 0.0034233 0.0501490 0.0377700 0.6922917 3.9543009 0.6924138 0.0356579 0.0000053
C17 0.0000016 0.0000017 0.0000042 0.0000007 0.0000022 0.0000100 0.0000102 0.0000506 0.0001404 0.0010795 0.0012526 0.0048242 0.0362632 0.0509216 0.0366362 0.6924138 3.9509697 0.6968196 0.0000003
C18 0.0000014 0.0000006 0.0000022 0.0000009 0.0000079 0.0000270 0.0000550 0.0003023 0.0007998 0.0021316 0.0104931 0.0294305 0.6796862 0.0351724 0.0477437 0.0356579 0.6968196 3.9445758 0.0000002
