

C1 3.9620232 0.5031591 0.0224032 0.0025463 0.0119964 0.0014345 0.0001201 0.0000327 0.0000036 0.0000010 0.0000229 0.0000005 0.0000003 0.0000001 0.0000000 0.0000000 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.4751153
C2 0.5031591 3.8717388 0.5005784 0.0233052 0.0038703 0.0004219 0.0000763 0.0000087 0.0000041 0.0000012 0.0000084 0.0000003 0.0000001 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0225258
C3 0.0224032 0.5005784 3.8707345 0.4976045 0.0230819 0.0061594 0.0012982 0.0001429 0.0000933 0.0000279 0.0001352 0.0000068 0.0000013 0.0000010 0.0000001 0.0000000 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0041202
C4 0.0025463 0.0233052 0.4976045 3.8669858 0.5019536 0.0230386 0.0090290 0.0009237 0.0003947 0.0000865 0.0003678 0.0000168 0.0000034 0.0000022 0.0000003 0.0000000 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0003009
C5 0.0119964 0.0038703 0.0230819 0.5019536 3.8719023 0.4726212 0.0249041 0.0057927 0.0005020 0.0001975 0.0026443 0.0000391 0.0000166 0.0000057 0.0000012 0.0000003 0.0000005 0.0000002 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0018238
C6 0.0014345 0.0004219 0.0061594 0.0230386 0.4726212 3.8657904 0.5005140 0.0211521 0.0040875 0.0019128 0.0208817 0.0002298 0.0000643 0.0000317 0.0000043 0.0000011 0.0000016 0.0000004 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0004242
C7 0.0001201 0.0000763 0.0012982 0.0090290 0.0249041 0.5005140 3.8819065 0.4912693 0.0360574 0.0029077 0.0042099 0.0003652 0.0000911 0.0001031 0.0000094 0.0000038 0.0000027 0.0000012 0.0000003 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000200
C8 0.0000327 0.0000087 0.0001429 0.0009237 0.0057927 0.0211521 0.4912693 3.5763511 0.4107703 0.0111766 0.0133058 0.0041643 0.0002936 0.0003031 0.0000194 0.0000074 0.0000100 0.0000019 0.0000005 0.0000001 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000092
O9 0.0000036 0.0000041 0.0000933 0.0003947 0.0005020 0.0040875 0.0360574 0.4107703 7.9410502 0.4355476 0.1382515 0.0304135 0.0096581 0.0147795 0.0009144 0.0003118 0.0002667 0.0000679 0.0000176 0.0000046 0.0000019 0.0000002 0.0000000 0.0000000 0.0000000 0.0000000 0.0000016
C10 0.0000010 0.0000012 0.0000279 0.0000865 0.0001975 0.0019128 0.0029077 0.0111766 0.4355476 2.9318102 0.6658197 0.4675669 0.0199833 0.0045457 0.0004738 0.0001294 0.0003789 0.0000301 0.0000054 0.0000014 0.0000006 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000005
O11 0.0000229 0.0000084 0.0001352 0.0003678 0.0026443 0.0208817 0.0042099 0.0133058 0.1382515 0.6658197 8.0970905 0.0601863 0.0089514 0.0009042 0.0001662 0.0000660 0.0001946 0.0000165 0.0000019 0.0000006 0.0000002 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000094
C12 0.0000005 0.0000003 0.0000068 0.0000168 0.0000391 0.0002298 0.0003652 0.0041643 0.0304135 0.4675669 0.0601863 3.8834575 0.4978773 0.0270917 0.0058060 0.0005651 0.0011272 0.0001812 0.0000201 0.0000028 0.0000022 0.0000005 0.0000001 0.0000000 0.0000000 0.0000000 0.0000003
C13 0.0000003 0.0000001 0.0000013 0.0000034 0.0000166 0.0000643 0.0000911 0.0002936 0.0096581 0.0199833 0.0089514 0.4978773 3.8751418 0.4905318 0.0245348 0.0039330 0.0184456 0.0007561 0.0000659 0.0000117 0.0000039 0.0000011 0.0000002 0.0000000 0.0000000 0.0000001 0.0000002
C14 0.0000001 0.0000001 0.0000010 0.0000022 0.0000057 0.0000317 0.0001031 0.0003031 0.0147795 0.0045457 0.0009042 0.0270917 0.4905318 3.8772896 0.4914862 0.0206445 0.0209922 0.0050301 0.0008700 0.0001658 0.0000786 0.0000088 0.0000013 0.0000002 0.0000001 0.0000003 0.0000001
C15 0.0000000 0.0000000 0.0000001 0.0000003 0.0000012 0.0000043 0.0000094 0.0000194 0.0009144 0.0004738 0.0001662 0.0058060 0.0245348 0.4914862 3.9005032 0.4792826 0.0483833 0.0345144 0.0042685 0.0005179 0.0003318 0.0000440 0.0000057 0.0000007 0.0000003 0.0000011 0.0000001
