

C1 3.9560730 0.6558776 0.0374524 0.0277905 0.0046577 0.0122541 0.0032574 0.0168318 0.0333883 0.7334644 0.4802344
C2 0.6558776 3.9537201 0.7360007 0.0320500 0.0176500 0.0033385 0.0127226 0.0034694 0.0277155 0.0365469 0.0230023
C3 0.0374524 0.7360007 3.9571581 0.6145675 0.0496903 0.0157523 0.0030844 0.0052886 0.0309346 0.0564118 0.0049942
C4 0.0277905 0.0320500 0.6145675 3.4974464 0.5959059 0.0223632 0.0280042 0.0302744 0.5926416 0.0281041 0.0014942
N5 0.0046577 0.0176500 0.0496903 0.5959059 6.5162219 0.6865481 0.0596915 0.0625401 0.0472596 0.0078074 0.0003249
C6 0.0122541 0.0033385 0.0157523 0.0223632 0.6865481 3.5420715 0.6440490 0.0347788 0.0269700 0.0027749 0.0006529
C7 0.0032574 0.0127226 0.0030844 0.0280042 0.0596915 0.6440490 3.9659636 0.7256134 0.0322915 0.0161767 0.0002478
C8 0.0168318 0.0034694 0.0052886 0.0302744 0.0625401 0.0347788 0.7256134 3.9477466 0.6349400 0.0321611 0.0012691
C9 0.0333883 0.0277155 0.0309346 0.5926416 0.0472596 0.0269700 0.0322915 0.6349400 3.8690158 0.6322791 0.0048354
C10 0.7334644 0.0365469 0.0564118 0.0281041 0.0078074 0.0027749 0.0161767 0.0321611 0.6322791 3.9541888 0.0253510
