

C1 3.9583134 0.4963667 0.0252136 0.0065028 0.0004316 0.0034882 0.0011672 0.0001361 0.0000363 0.0000069 0.0000014 0.0000004 0.0000002 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.4772295
C2 0.4963667 3.8619764 0.4989274 0.0208244 0.0025511 0.0094950 0.0064966 0.0005011 0.0001127 0.0000774 0.0000044 0.0000028 0.0000005 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0229055
C3 0.0252136 0.4989274 3.8692469 0.5030905 0.0223405 0.0036758 0.0009082 0.0001974 0.0000394 0.0000086 0.0000072 0.0000011 0.0000004 0.0000001 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0058795
C4 0.0065028 0.0208244 0.5030905 3.8666884 0.4920459 0.0245614 0.0103759 0.0008072 0.0003492 0.0000798 0.0000882 0.0000188 0.0000044 0.0000019 0.0000006 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0000000 0.0009962
C5 0.0004316 0.0025511 0.0223405 0.4920459 3.8785280 0.5184934 0.0320297 0.0079773 0.0009116 0.0002650 0.0005852 0.0000904 0.0000341 0.0000098 0.0000042 0.0000002 0.0000001 0.0000000 0.0000002 0.0000000 0.0000000 0.0000000 0.0000571
C6 0.0034882 0.0094950 0.0036758 0.0245614 0.5184934 3.9468121 0.8770099 0.0316951 0.0119973 0.0031673 0.0002692 0.0000926 0.0000165 0.0000053 0.0000009 0.0000002 0.0000001 0.0000000 0.0000001 0.0000001 0.0000000 0.0000000 0.0003073
C7 0.0011672 0.0064966 0.0009082 0.0103759 0.0320297 0.8770099 3.9580824 0.5084193 0.0336864 0.0118828 0.0009180 0.0003601 0.0000484 0.0000129 0.0000037 0.0000005 0.0000002 0.0000000 0.0000002 0.0000001 0.0000000 0.0000000 0.0001283
C8 0.0001361 0.0005011 0.0001974 0.0008072 0.0079773 0.0316951 0.5084193 3.8778450 0.5066165 0.0320496 0.0084496 0.0008195 0.0003676 0.0000842 0.0000150 0.0000021 0.0000004 0.0000002 0.0000006 0.0000001 0.0000000 0.0000000 0.0000140
C9 0.0000363 0.0001127 0.0000394 0.0003492 0.0009116 0.0119973 0.0336864 0.5066165 3.9734335 0.8888458 0.0321352 0.0115057 0.0014663 0.0002271 0.0000737 0.0000146 0.0000042 0.0000006 0.0000012 0.0000005 0.0000001 0.0000001 0.0000043
C10 0.0000069 0.0000774 0.0000086 0.0000798 0.0002650 0.0031673 0.0118828 0.0320496 0.8888458 3.9572766 0.5101360 0.0272650 0.0091330 0.0011326 0.0000770 0.0000481 0.0000067 0.0000017 0.0000031 0.0000012 0.0000002 0.0000001 0.0000008
