

C1 3.9543169 0.5016257 0.0260186 0.0059145 0.0031565 0.0010910 0.0001213 0.0000198 0.0000037 0.0000150 0.0000010 0.4811476
C2 0.5016257 3.8612757 0.4758263 0.0319721 0.0184942 0.0058512 0.0003234 0.0001338 0.0000203 0.0000871 0.0000050 0.0218007
C3 0.0260186 0.4758263 3.8852905 0.4706086 0.0551808 0.0331314 0.0039421 0.0003993 0.0001222 0.0003851 0.0000240 0.0024665
C4 0.0059145 0.0319721 0.4706086 2.9250155 0.6591003 0.4268564 0.0117215 0.0029236 0.0004334 0.0035715 0.0001312 0.0003609
O5 0.0031565 0.0184942 0.0551808 0.6591003 8.1166367 0.1413623 0.0120470 0.0030807 0.0046267 0.0138208 0.0007371 0.0002203
O6 0.0010910 0.0058512 0.0331314 0.4268564 0.1413623 7.9804012 0.4134144 0.0328431 0.0024094 0.0074761 0.0005284 0.0002049
C7 0.0001213 0.0003234 0.0039421 0.0117215 0.0120470 0.4134144 3.5583743 0.4964915 0.0201510 0.0025791 0.0055048 0.0000116
C8 0.0000198 0.0001338 0.0003993 0.0029236 0.0030807 0.0328431 0.4964915 3.8715112 0.4926961 0.0265356 0.0287755 0.0000050
C9 0.0000037 0.0000203 0.0001222 0.0004334 0.0046267 0.0024094 0.0201510 0.4926961 3.8047638 0.4882812 0.4811792 0.0000005
C10 0.0000150 0.0000871 0.0003851 0.0035715 0.0138208 0.0074761 0.0025791 0.0265356 0.4882812 3.9652168 0.0296347 0.0000009
C11 0.0000010 0.0000050 0.0000240 0.0001312 0.0007371 0.0005284 0.0055048 0.0287755 0.4811792 0.0296347 3.9490366 0.0000004
