

C1 3.9579608 0.4794675 0.0271301 0.0244925 0.0045006 0.0016227 0.0044788 0.0005230 0.0000753 0.0000244 0.0002008 0.0243899 0.0116047 0.4784711
C2 0.4794675 3.7462355 0.4935749 0.4612614 0.0192065 0.0111305 0.0204191 0.0027172 0.0004607 0.0001909 0.0007539 0.4573899 0.0429860 0.0188748
C3 0.0271301 0.4935749 3.9608178 0.0203503 0.0096131 0.0089196 0.0091452 0.0003853 0.0007695 0.0024733 0.0104826 0.0212829 0.0060537 0.0020299
C4 0.0244925 0.4612614 0.0203503 3.8428445 0.4897867 0.0228653 0.0074981 0.0005910 0.0003895 0.0001111 0.0002544 0.0419734 0.4696698 0.0054612
C5 0.0045006 0.0192065 0.0096131 0.4897867 3.8876833 0.4975216 0.0293901 0.0055810 0.0010974 0.0001518 0.0007128 0.0064279 0.0227567 0.0013019
C6 0.0016227 0.0111305 0.0089196 0.0228653 0.4975216 3.9377399 0.8474046 0.0354316 0.0116877 0.0020990 0.0175447 0.0298866 0.0196581 0.0001861
C7 0.0044788 0.0204191 0.0091452 0.0074981 0.0293901 0.8474046 3.8624437 0.4948310 0.0375303 0.0044510 0.0236672 0.4900674 0.0317646 0.0004160
C8 0.0005230 0.0027172 0.0003853 0.0005910 0.0055810 0.0354316 0.4948310 3.6099424 0.4098115 0.0127026 0.0201350 0.0217407 0.0021817 0.0000478
O9 0.0000753 0.0004607 0.0007695 0.0003895 0.0010974 0.0116877 0.0375303 0.4098115 7.8721719 0.4609787 0.1428950 0.0084849 0.0014203 0.0000489
C10 0.0000244 0.0001909 0.0024733 0.0001111 0.0001518 0.0020990 0.0044510 0.0127026 0.4609787 2.9843248 0.7056634 0.0006025 0.0001077 0.0000098
O11 0.0002008 0.0007539 0.0104826 0.0002544 0.0007128 0.0175447 0.0236672 0.0201350 0.1428950 0.7056634 8.0500759 0.0009784 0.0003600 0.0000239
C12 0.0243899 0.4573899 0.0212829 0.0419734 0.0064279 0.0298866 0.4900674 0.0217407 0.0084849 0.0006025 0.0009784 3.8660360 0.4631620 0.0060185
C13 0.0116047 0.0429860 0.0060537 0.4696698 0.0227567 0.0196581 0.0317646 0.0021817 0.0014203 0.0001077 0.0003600 0.4631620 3.9077820 0.0006542
