

C1 3.6909119 0.4237906 0.0121964 0.0233614 0.0042514 0.0005689 0.0000407 0.0001030 0.0001698 0.0007310 0.0002688 0.0002033 0.0000121 0.0000027 0.0000079 0.0000021 0.0000008 0.0000002 0.0000003 0.0000000 0.0000000 0.0000000 0.0000001 0.0000004 0.4658142
O2 0.4237906 7.8944060 0.4378494 0.1325071 0.0335610 0.0143290 0.0013216 0.0019420 0.0011091 0.0059055 0.0029741 0.0012346 0.0000890 0.0000316 0.0000316 0.0000087 0.0000040 0.0000011 0.0000012 0.0000001 0.0000001 0.0000001 0.0000005 0.0000019 0.0338760
C3 0.0121964 0.4378494 2.9537175 0.6573222 0.5100887 0.0290172 0.0059475 0.0051148 0.0038998 0.0274835 0.0110589 0.0017680 0.0001948 0.0000762 0.0000354 0.0000081 0.0000043 0.0000010 0.0000023 0.0000001 0.0000001 0.0000001 0.0000006 0.0000040 0.0041839
O4 0.0233614 0.1325071 0.6573222 8.0225060 0.0498543 0.0171647 0.0032079 0.0079199 0.0017159 0.0182818 0.0704468 0.0213753 0.0026272 0.0010943 0.0006027 0.0001069 0.0000366 0.0000116 0.0000123 0.0000008 0.0000008 0.0000007 0.0000070 0.0000279 0.0026824
C5 0.0042514 0.0335610 0.5100887 0.0498543 3.8696482 0.6666316 0.0363167 0.0398673 0.0311390 0.6356116 0.0424695 0.0088795 0.0007209 0.0003251 0.0001336 0.0000307 0.0000128 0.0000033 0.0000017 0.0000002 0.0000001 0.0000001 0.0000029 0.0000074 0.0006023
C6 0.0005689 0.0143290 0.0290172 0.0171647 0.6666316 3.9338624 0.6992313 0.0370490 0.0494757 0.0315585 0.0062452 0.0010600 0.0001795 0.0000504 0.0000155 0.0000042 0.0000036 0.0000006 0.0000012 0.0000001 0.0000001 0.0000001 0.0000006 0.0000022 0.0001744
C7 0.0000407 0.0013216 0.0059475 0.0032079 0.0363167 0.6992313 3.9575148 0.6843545 0.0354798 0.0427186 0.0102884 0.0015670 0.0000570 0.0001299 0.0000267 0.0000102 0.0000015 0.0000008 0.0000004 0.0000001 0.0000001 0.0000001 0.0000019 0.0000041 0.0000177
C8 0.0001030 0.0019420 0.0051148 0.0079199 0.0398673 0.0370490 0.6843545 3.9486698 0.7055259 0.0377026 0.0082111 0.0015129 0.0001639 0.0000462 0.0000772 0.0000195 0.0000077 0.0000016 0.0000046 0.0000003 0.0000003 0.0000003 0.0000013 0.0000078 0.0001094
C9 0.0001698 0.0011091 0.0038998 0.0017159 0.0311390 0.0494757 0.0354798 0.7055259 3.9531615 0.6505016 0.0471598 0.0113728 0.0007501 0.0002862 0.0003427 0.0000814 0.0000223 0.0000058 0.0000097 0.0000006 0.0000006 0.0000005 0.0000053 0.0000210 0.0000421
C10 0.0007310 0.0059055 0.0274835 0.0182818 0.6356116 0.0315585 0.0427186 0.0377026 0.6505016 3.6039147 0.5244170 0.0238657 0.0064872 0.0010075 0.0007277 0.0002156 0.0001013 0.0000129 0.0000519 0.0000025 0.0000027 0.0000026 0.0000126 0.0000921 0.0002543
