

O1 8.0218795 0.6688536 0.1337099 0.0302168 0.0098810 0.0015320 0.0011793 0.0015894 0.0109998 0.0527933 0.0326216 0.0030730 0.0086090 0.0022605 0.0195739 0.0057125 0.0011912
C2 0.6688536 2.9812102 0.4242923 0.0103906 0.0047715 0.0006307 0.0015409 0.0006829 0.0053621 0.5215007 0.0295640 0.0061477 0.0058528 0.0036317 0.0295613 0.0097226 0.0005042
O3 0.1337099 0.4242923 7.9220465 0.4074907 0.0449878 0.0062986 0.0070312 0.0065650 0.0509305 0.0317463 0.0060648 0.0014849 0.0019491 0.0006227 0.0053151 0.0318412 0.0066651
C4 0.0302168 0.0103906 0.4074907 3.5743681 0.6642201 0.0378697 0.0486047 0.0346723 0.6639535 0.0035539 0.0006736 0.0001559 0.0000913 0.0000660 0.0002649 0.0010770 0.0235776
C5 0.0098810 0.0047715 0.0449878 0.6642201 3.9198454 0.7018727 0.0360074 0.0482608 0.0332917 0.0006105 0.0002380 0.0000552 0.0000881 0.0000205 0.0001695 0.0003471 0.4744338
C6 0.0015320 0.0006307 0.0062986 0.0378697 0.7018727 3.9399835 0.6881859 0.0366568 0.0509329 0.0001530 0.0000484 0.0000109 0.0000194 0.0000055 0.0000331 0.0000681 0.0228135
C7 0.0011793 0.0015409 0.0070312 0.0486047 0.0360074 0.6881859 3.9501181 0.6954896 0.0384881 0.0000993 0.0000513 0.0000160 0.0000036 0.0000036 0.0000149 0.0001424 0.0051476
C8 0.0015894 0.0006829 0.0065650 0.0346723 0.0482608 0.0366568 0.6954896 3.9455806 0.6962354 0.0001527 0.0000526 0.0000116 0.0000227 0.0000059 0.0000381 0.0000712 0.0025549
C9 0.0109998 0.0053621 0.0509305 0.6639535 0.0332917 0.0509329 0.0384881 0.6962354 3.9297009 0.0006356 0.0002568 0.0000586 0.0000956 0.0000215 0.0001846 0.0003689 0.0043402
C10 0.0527933 0.5215007 0.0317463 0.0035539 0.0006105 0.0001530 0.0000993 0.0001527 0.0006356 3.8787180 0.6387388 0.0344740 0.0382700 0.0294503 0.6464859 0.0580365 0.0000945
C11 0.0326216 0.0295640 0.0060648 0.0006736 0.0002380 0.0000484 0.0000513 0.0000526 0.0002568 0.6387388 3.9416220 0.7187171 0.0405118 0.0515549 0.0331059 0.0083038 0.0000202
C12 0.0030730 0.0061477 0.0014849 0.0001559 0.0000552 0.0000109 0.0000160 0.0000116 0.0000586 0.0344740 0.7187171 3.9483092 0.6730481 0.0353121 0.0386996 0.0118200 0.0000057
C13 0.0086090 0.0058528 0.0019491 0.0000913 0.0000881 0.0000194 0.0000036 0.0000227 0.0000956 0.0382700 0.0405118 0.6730481 3.9371526 0.7183722 0.0390168 0.0085706 0.0000068
C14 0.0022605 0.0036317 0.0006227 0.0000660 0.0000205 0.0000055 0.0000036 0.0000059 0.0000215 0.0294503 0.0515549 0.0353121 0.7183722 3.9439074 0.6337174 0.0548544 0.0000042
C15 0.0195739 0.0295613 0.0053151 0.0002649 0.0001695 0.0000331 0.0000149 0.0000381 0.0001846 0.6464859 0.0331059 0.0386996 0.0390168 0.6337174 3.5338500 0.4655354 0.0000155
O16 0.0057125 0.0097226 0.0318412 0.0010770 0.0003471 0.0000681 0.0001424 0.0000712 0.0003689 0.0580365 0.0083038 0.0118200 0.0085706 0.0548544 0.4655354 8.1881652 0.0000760
