                                                       3409conf_1.sum LIDI values in a Matrix 
                                                    Note the DI values are divided by 2

          O1        H2        H3        

O1    8.3551617 0.3629252 0.3623705
H2    0.3629252 0.0916995 0.0056201
H3    0.3623705 0.0056201 0.0912987
