                                                       1361conf_1.sum LIDI values in a Matrix 
                                                    Note the DI values are divided by 2

          C1        C2        C3        C4        C5        C6        O7        C8        C9        C10       O11       C12       C13       H14       H15       H16       H17       H18       H19       H20       H21       H22       H23       H24       H25       H26       H27       

H17   0.0061377 0.0242497 0.4804530 0.0244568 0.0045687 0.0007010 0.0000724 0.0000105 0.0000139 0.0000125 0.0000757 0.0028915 0.0048937 0.0005484 0.0046454 0.0003436 0.4397951 0.0031593 0.0002176 0.0000029 0.0000048 0.0000059 0.0000073 0.0000042 0.0000043 0.0001905 0.0011051
H18   0.0007213 0.0044574 0.0237291 0.4742567 0.0217642 0.0028870 0.0078686 0.0002568 0.0001010 0.0000710 0.0024249 0.0048344 0.0025754 0.0001492 0.0000495 0.0000733 0.0031593 0.4105194 0.0002574 0.0000414 0.0001409 0.0000320 0.0000198 0.0000081 0.0000091 0.0011126 0.0001703
H19   0.0000473 0.0003919 0.0007592 0.0037028 0.0168188 0.4144803 0.0374294 0.0070359 0.0056997 0.0136411 0.0376626 0.0086047 0.0007019 0.0000076 0.0000194 0.0000176 0.0002176 0.0002574 0.4399038 0.0006474 0.0049425 0.0004976 0.0069969 0.0017695 0.0031834 0.0073316 0.0000437
H20   0.0000084 0.0001182 0.0000400 0.0002465 0.0009207 0.0041666 0.0316826 0.4618249 0.0171401 0.0030424 0.0031630 0.0002850 0.0000513 0.0000046 0.0000009 0.0000097 0.0000029 0.0000414 0.0006474 0.4324150 0.0157442 0.0039272 0.0006091 0.0003356 0.0005603 0.0000190 0.0000085
H21   0.0000021 0.0000121 0.0000353 0.0002000 0.0003584 0.0035110 0.0378018 0.4461675 0.0175851 0.0127175 0.0041391 0.0000801 0.0000139 0.0000006 0.0000006 0.0000010 0.0000048 0.0001409 0.0049425 0.0157442 0.4352773 0.0026912 0.0141274 0.0006256 0.0009881 0.0000253 0.0000040
H22   0.0000092 0.0001381 0.0000538 0.0003146 0.0009352 0.0041851 0.0033423 0.0186134 0.4525703 0.0195106 0.0300141 0.0002602 0.0000361 0.0000071 0.0000014 0.0000096 0.0000059 0.0000320 0.0004976 0.0039272 0.0026912 0.4339732 0.0041084 0.0051551 0.0010272 0.0000225 0.0000052
H23   0.0000008 0.0000050 0.0000178 0.0000981 0.0002926 0.0024654 0.0024974 0.0104964 0.0183718 0.4701557 0.0034145 0.0000469 0.0000063 0.0000002 0.0000004 0.0000003 0.0000073 0.0000198 0.0069969 0.0006091 0.0141274 0.0041084 0.4373998 0.0185607 0.0182878 0.0000558 0.0000009
H24   0.0000016 0.0000205 0.0000169 0.0001027 0.0001579 0.0017210 0.0006101 0.0016651 0.0220364 0.4791747 0.0052413 0.0000779 0.0000108 0.0000005 0.0000004 0.0000018 0.0000042 0.0000081 0.0017695 0.0003356 0.0006256 0.0051551 0.0185607 0.4394490 0.0173133 0.0000180 0.0000026
H25   0.0000028 0.0000260 0.0000290 0.0000761 0.0002332 0.0016352 0.0014583 0.0036669 0.0184529 0.4711327 0.0139801 0.0002307 0.0000320 0.0000008 0.0000006 0.0000017 0.0000043 0.0000091 0.0031834 0.0005603 0.0009881 0.0010272 0.0182878 0.0173133 0.4163403 0.0002668 0.0000031
H26   0.0007482 0.0047172 0.0027748 0.0048577 0.0229015 0.0063546 0.0011102 0.0000789 0.0001028 0.0002038 0.0009637 0.4753553 0.0238285 0.0000488 0.0002020 0.0000324 0.0001905 0.0011126 0.0073316 0.0000190 0.0000253 0.0000225 0.0000558 0.0000180 0.0002668 0.4273826 0.0032699
H27   0.0074743 0.0235113 0.0050659 0.0028771 0.0048579 0.0006880 0.0001526 0.0000391 0.0000245 0.0000049 0.0001086 0.0248813 0.4774823 0.0047566 0.0007315 0.0009418 0.0011051 0.0001703 0.0000437 0.0000085 0.0000040 0.0000052 0.0000009 0.0000026 0.0000031 0.0032699 0.4393811
